fecha_hora,real,v4 actual (5 modelos) [CV],v4 + TFT [CV],v4 + LSTM [CV],v4 + TFT + LSTM [CV],ventanas promediadas (N-BEATSx y N-HiTS) [CV],recalibrados [CV],recalibrados + congelados [CV],v4 actual (5 modelos) [desplegable],v4 + TFT [desplegable],v4 + LSTM [desplegable],v4 + TFT + LSTM [desplegable],ventanas promediadas (N-BEATSx y N-HiTS) [desplegable],recalibrados [desplegable],recalibrados + congelados [desplegable]
2026-01-01 01:00:00,307.90985,312.8740633471259,316.5838264257994,312.8740633471259,316.5838264257994,314.4877727878834,267.72479939969537,312.8740633471259,,,,,,,
2026-01-01 02:00:00,296.32185,305.99724019886247,309.94083359567514,305.99724019886247,309.94083359567514,298.7185969528933,264.58399148106065,305.99724019886247,,,,,,,
2026-01-01 03:00:00,296.32185,298.0138943322437,301.4047814553217,298.0138943322437,301.4047814553217,284.789426696718,263.1250762478098,298.0138943322437,,,,,,,
2026-01-01 04:00:00,296.32185,292.43857538269054,295.3635068381736,292.43857538269054,295.3635068381736,281.6533384873922,262.96336497562834,292.43857538269054,,,,,,,
2026-01-01 05:00:00,296.32185,298.63431063679815,300.04781235664416,298.63431063679815,300.04781235664416,283.84046680381,264.57672050286993,298.63431063679815,,,,,,,
2026-01-01 06:00:00,296.32185,294.11435138232366,294.11435138232366,271.22896595887164,271.22896595887164,277.8109403306,258.8156721807319,293.95740742100423,,,,,,,
2026-01-01 07:00:00,296.32185,297.2709493436502,297.2709493436502,270.12860723464746,270.12860723464746,280.9567806009856,259.9208593548971,297.10979534511466,,,,,,,
2026-01-01 08:00:00,272.90985,298.47792554925405,298.47792554925405,267.1230310507782,267.1230310507782,283.09644726839934,259.7014423661348,298.2611754208694,,,,,,,
2026-01-01 09:00:00,104.99185,298.41796529839047,298.41796529839047,262.9038479947767,262.9038479947767,285.7915699444507,261.3237005426146,298.2179445406487,,,,,,,
2026-01-01 10:00:00,103.53785,302.74039674298393,302.74039674298393,262.9245092970545,262.9245092970545,291.42379796054763,262.95273062620464,302.5036573710702,,,,,,,
2026-01-01 11:00:00,244.80985,299.9015143279907,299.9015143279907,256.3341792820299,256.3341792820299,295.0670711242321,264.94481150204,299.63911328082884,,,,,,,
2026-01-01 12:00:00,272.90985,297.06181438458833,294.9914964380627,297.06181438458833,294.9914964380627,293.44821326534327,266.9809405983242,292.6935225828993,,,,,,,
2026-01-01 13:00:00,292.90985,296.99468776817656,295.1686760153029,296.99468776817656,295.1686760153029,296.88940584418475,268.6068085784671,292.6189752223578,,,,,,,
2026-01-01 14:00:00,296.32185,299.1734013708674,297.36298852973607,299.1734013708674,297.36298852973607,301.60863097774563,271.2918799282341,294.87604385974345,,,,,,,
2026-01-01 15:00:00,296.32185,300.7833909943492,298.98727216300034,300.7833909943492,298.98727216300034,302.87416403049684,275.18761449011987,296.7233731577945,,,,,,,
2026-01-01 16:00:00,296.32185,303.0562492027705,300.9767484557729,303.0562492027705,300.9767484557729,305.2885670164874,278.16212984044694,299.48712712668436,,,,,,,
2026-01-01 17:00:00,327.90985,307.6537099602832,305.4608128021061,307.6537099602832,305.4608128021061,312.03804488206856,285.71270774849063,303.98645449291615,,,,,,,
2026-01-01 18:00:00,332.90985,313.59272681816424,312.66715499329973,313.59272681816424,312.66715499329973,316.79331207479817,292.9978186005021,313.5744356107774,,,,,,,
2026-01-01 19:00:00,332.90985,314.2664562627201,313.37762976094143,314.2664562627201,313.37762976094143,319.16278959601857,294.310090216372,314.2505733516906,,,,,,,
2026-01-01 20:00:00,332.90985,312.3216999093657,311.47369767544814,312.3216999093657,311.47369767544814,317.99285393084534,295.67009433801354,312.1937088255305,,,,,,,
2026-01-01 21:00:00,332.90985,310.83427550213094,310.01406094951716,310.83427550213094,310.01406094951716,315.157879320223,294.3162518945547,310.6642295007082,,,,,,,
2026-01-01 22:00:00,332.90985,305.1731523411963,304.3758153345253,305.1731523411964,304.3758153345253,306.2069779412548,281.67416439500926,305.2292551574735,,,,,,,
2026-01-01 23:00:00,327.90985,303.31626329208785,301.91075115574364,303.31626329208785,301.91075115574364,303.80647386810296,274.70653822686074,303.4374610413371,,,,,,,
2026-01-02 00:00:00,329.20101,319.56787843751766,312.44605661015675,319.56787843751766,312.44605661015675,324.4452393787992,332.7491034345808,319.56787843751766,,,,,,,
2026-01-02 01:00:00,326.20101,326.1774480459229,326.7553183104573,326.1774480459229,326.7553183104573,328.27876073913137,318.4330704483714,326.1774480459229,,,,,,,
2026-01-02 02:00:00,326.20101,323.74464720059,324.54671872232313,323.74464720059,324.54671872232313,326.41598022769745,310.3472506248664,323.74464720059,,,,,,,
2026-01-02 03:00:00,329.20101,320.3623252208856,321.1604818541904,320.3623252208856,321.1604818541904,325.47807840924884,309.99996287781016,320.3623252208856,,,,,,,
2026-01-02 04:00:00,326.20101,318.0284166328572,319.0576341676437,318.0284166328572,319.0576341676437,323.8924387146169,310.7662305390614,318.0284166328572,,,,,,,
2026-01-02 05:00:00,329.20101,318.44149629915154,319.636423853005,318.44149629915154,319.636423853005,322.3667465121101,310.65273986180057,318.44149629915154,,,,,,,
2026-01-02 06:00:00,329.20101,307.75802682239964,307.75802682239964,306.76724696939766,306.76724696939766,308.618845951564,305.6402003129999,307.75802682239964,,,,,,,
2026-01-02 07:00:00,329.20101,305.7277827094729,305.7277827094729,304.70555477733745,304.70555477733745,307.3182701968731,304.5485514768604,305.7277827094729,,,,,,,
2026-01-02 08:00:00,329.20101,301.6907552828226,301.6907552828226,300.8808865007698,300.8808865007698,304.4411714177594,292.1144052635122,301.6907552828226,,,,,,,
2026-01-02 09:00:00,326.20101,270.9730067420833,270.9730067420833,271.33709011415294,271.33709011415294,282.5889063230047,219.60453126251022,270.9730067420833,,,,,,,
2026-01-02 10:00:00,326.20101,271.586380420855,271.586380420855,271.8681975157023,271.8681975157023,284.5254909281415,219.75124515837464,271.586380420855,,,,,,,
2026-01-02 11:00:00,329.20101,296.3857157097062,296.3857157097062,295.82220491433884,295.82220491433884,304.7747488011804,282.17266675244764,296.3857157097062,,,,,,,
2026-01-02 12:00:00,329.20101,304.9027037068052,306.3695129294684,305.4923123763673,306.75908632888854,302.1083159269256,296.3694746915058,304.90270370680526,,,,,,,
2026-01-02 13:00:00,329.20101,311.95334451411776,312.8582497277585,312.3910435958559,313.12184556414843,309.78247500867576,306.7731226913704,311.95334451411776,,,,,,,
2026-01-02 14:00:00,329.20101,315.4400051495002,316.22718458288745,315.90154698686604,316.4770816250515,313.1760287072756,311.74736827237507,315.4400051495003,,,,,,,
