fecha_hora,real,prediccion
2026-01-01 00:00:00,327.90985,240.9189869452852
2026-01-01 01:00:00,307.90985,239.24300839857298
2026-01-01 02:00:00,296.32185,241.05769405589453
2026-01-01 03:00:00,296.32185,240.94954229153328
2026-01-01 04:00:00,296.32185,240.3579430474907
2026-01-01 05:00:00,296.32185,238.18842839992726
2026-01-01 06:00:00,296.32185,233.176902075281
2026-01-01 07:00:00,296.32185,232.23109648878204
2026-01-01 08:00:00,272.90985,231.9207665249458
2026-01-01 09:00:00,104.99185,233.23612022479384
2026-01-01 10:00:00,103.53785,233.23155792422583
2026-01-01 11:00:00,244.80985,234.59468134647815
2026-01-01 12:00:00,272.90985,235.6535448799882
2026-01-01 13:00:00,292.90985,235.71557023998795
2026-01-01 14:00:00,296.32185,236.67251281853797
2026-01-01 15:00:00,296.32185,237.44132283802202
2026-01-01 16:00:00,296.32185,237.38871233282836
2026-01-01 17:00:00,327.90985,247.56072252795857
2026-01-01 18:00:00,332.90985,252.1412694072675
2026-01-01 19:00:00,332.90985,258.1182907529261
2026-01-01 20:00:00,332.90985,259.91002119270655
2026-01-01 21:00:00,332.90985,257.5524555887568
2026-01-01 22:00:00,332.90985,248.21461119765343
2026-01-01 23:00:00,327.90985,244.89185903914432
2026-01-02 00:00:00,329.20101,322.05499888973185
2026-01-02 01:00:00,326.20101,306.2606540146165
2026-01-02 02:00:00,326.20101,287.3006476714594
2026-01-02 03:00:00,329.20101,287.78984500927226
2026-01-02 04:00:00,326.20101,287.97436992561063
2026-01-02 05:00:00,329.20101,290.4572193356124
2026-01-02 06:00:00,329.20101,293.68142722030274
2026-01-02 07:00:00,329.20101,297.3439372723757
2026-01-02 08:00:00,329.20101,282.2770976999339
2026-01-02 09:00:00,326.20101,184.62998527672062
2026-01-02 10:00:00,326.20101,189.25167505144614
2026-01-02 11:00:00,329.20101,267.77229570611007
2026-01-02 12:00:00,329.20101,285.7711328243885
2026-01-02 13:00:00,329.20101,299.0933461015613
2026-01-02 14:00:00,329.20101,302.4942069370308
2026-01-02 15:00:00,331.20101,302.4910256587762
2026-01-02 16:00:00,331.20101,305.1371795997672
2026-01-02 17:00:00,352.17901,344.25601097296965
2026-01-02 18:00:00,352.17901,345.31729255929497
2026-01-02 19:00:00,352.17901,342.34997524219165
2026-01-02 20:00:00,352.17901,341.9824262707537
2026-01-02 21:00:00,352.17901,339.9720639632944
2026-01-02 22:00:00,352.17901,332.4231523667936
2026-01-02 23:00:00,331.20101,332.09803728940017
2026-01-03 00:00:00,342.48147,317.09495599184464
2026-01-03 01:00:00,342.48147,315.35771552365276
2026-01-03 02:00:00,327.48147,312.8666451293268
2026-01-03 03:00:00,327.48147,312.84145323867625
2026-01-03 04:00:00,327.48147,312.68226156232043
2026-01-03 05:00:00,327.48147,311.0047640070184
2026-01-03 06:00:00,327.48147,299.86594575191305
2026-01-03 07:00:00,327.48147,301.540011132887
2026-01-03 08:00:00,327.48147,300.8120735124665
2026-01-03 09:00:00,327.48147,300.6857563951337
2026-01-03 10:00:00,327.48147,318.66305479393617
2026-01-03 11:00:00,327.48147,327.11284948774306
2026-01-03 12:00:00,327.48147,328.35023751766806
2026-01-03 13:00:00,327.48147,323.9787864762195
2026-01-03 14:00:00,332.48147,329.04736396642727
2026-01-03 15:00:00,342.48147,328.8687211442489
2026-01-03 16:00:00,352.07947,327.5481029900929
2026-01-03 17:00:00,354.48147,335.9771565522735
2026-01-03 18:00:00,354.48147,341.9329258764038
2026-01-03 19:00:00,354.48147,343.55219257063
2026-01-03 20:00:00,354.48147,340.7975310356207
2026-01-03 21:00:00,354.48147,339.7221368103659
2026-01-03 22:00:00,352.07947,338.4813589997305
2026-01-03 23:00:00,352.07947,330.5441722665562
2026-01-04 00:00:00,282.47952,341.4343772229105
2026-01-04 01:00:00,282.47952,340.8631966442675
2026-01-04 02:00:00,282.47952,335.28143429843396
2026-01-04 03:00:00,282.47952,337.6367095248262
2026-01-04 04:00:00,282.47952,336.14426462508277
2026-01-04 05:00:00,282.47952,334.0327766685319
2026-01-04 06:00:00,282.47952,330.58353002406034
2026-01-04 07:00:00,282.47952,325.02579085350396
2026-01-04 08:00:00,282.47952,325.05887804147125
2026-01-04 09:00:00,268.11152,324.87725868751704
2026-01-04 10:00:00,268.11152,324.8057025959328
2026-01-04 11:00:00,282.47952,325.1697026935198
2026-01-04 12:00:00,282.47952,325.26251638918495
2026-01-04 13:00:00,282.47952,325.44726865876055
2026-01-04 14:00:00,282.47952,328.9813077030161
2026-01-04 15:00:00,282.47952,333.78883998682943
2026-01-04 16:00:00,330.47952,335.2475114285861
