ventana,nivel_real,nivel_pred,std_real,std_pred,rango_real,rango_pred
2026-01-01,288.18523166666665,307.724386135976,59.80859562549291,12.736069768709832,229.372,37.32210277409149
2026-01-02,335.12386249999986,319.4813058615782,10.326699134059917,21.202836777725363,25.97800000000001,76.99133483191235
2026-01-03,335.76447208333326,339.36766406409964,16.21954241995131,14.357205642531847,72.00195000000002,45.47548445928646
2026-01-04,301.20970416666654,302.0420273940734,28.633013633451736,26.28100541761898,78.96600000000001,78.05235773885977
2026-01-05,325.1337312499999,318.26030093939215,26.779008351485448,22.79167130914813,91.51499999999999,69.0905843299347
2026-01-06,315.9084525,316.82044582773227,19.89926928668849,18.354483925723812,96.88346000000001,61.30842107697259
2026-01-07,268.21511374999994,277.95842056324716,45.28688487104396,25.440810172317825,220.00955,77.73545314605099
2026-01-08,191.35518624999997,201.92645478185776,76.18057343499467,61.488410542522175,180.0,192.7600597694564
2026-01-09,197.69503208333333,193.6772291280595,56.5977652977038,43.99113143935076,154.99999999999997,130.29751967649693
2026-01-10,191.76404541666668,191.33126415621146,54.62414401637804,31.637360340293647,162.918,105.50052886962058
2026-01-11,124.81591041666663,159.39366525618695,23.587285040772585,48.157059239882024,108.50800000000001,139.80882872091615
2026-01-12,159.40860250000003,125.76130304283224,45.56032193771437,18.389841841065355,111.1637,69.89035956043445
2026-01-13,146.73690000000002,150.27509250454833,49.04326420493238,43.18231591191047,103.918,129.75898779063533
2026-01-14,137.75796583333326,151.7472213582414,40.835608811278696,40.79253674592561,107.508,121.99767134281709
2026-01-15,143.30533624999998,131.10197235448845,36.77046788087994,30.819061182730294,81.91149,100.53362697918193
2026-01-16,117.39715458333332,127.37941875932755,19.4455361023355,23.456002263463066,67.69509000000001,70.66273627124978
2026-01-17,107.45484208333335,104.71584450790085,10.151004523623918,13.378868475543767,25.60000000000001,46.36130281942167
2026-01-18,115.90987708333334,105.39322126105436,27.35085236120447,6.813763842015682,73.60000000000001,23.14341491625906
2026-01-19,150.3085145833333,125.56655783586156,26.605343446847133,18.823883016913207,73.01,64.78134190340177
2026-01-20,176.9669645833333,172.3832089004992,3.7334232794904856,8.394652734346447,17.0,32.075742013649744
2026-01-21,181.8800954166667,187.63268828291794,9.135004606227618,9.41575777284074,30.0,31.984944224838017
2026-01-22,189.1893004166667,197.16072042095212,10.047323322782493,13.285778218079283,39.0,43.35019675523577
2026-01-23,204.59987083333328,200.30727977900798,10.627503369225499,6.86283337467866,39.93690000000001,25.60058261865356
2026-01-24,212.2200341666667,226.29212973947276,15.445055906605926,6.363346350612166,40.19,19.69572375857726
