modelo,mae_1-24h,mae_25-48h,mae_49-72h,mae_global
LEAR,51.08298968874594,67.59132060095989,76.65502679226901,65.10977902732495
Ridge-directo,61.01363528539105,71.98885879219874,82.1349401572626,71.71247807828414
NBX,49.406888672118384,70.9713798995327,85.99357117153427,68.79061324772844
NBX_exog,51.37825111176012,70.03821248052961,83.57143570502338,68.32929976577101
XGB-directo,64.82771399123833,76.22626835241432,85.27773003816199,75.44390412727154
CatB-directo,63.9572592920987,74.72850861155807,82.8465770810465,73.84411499490109
NaiveEstac,121.6397748500779,122.9873014330218,124.02576253309967,122.8842796053998
q50_v3_cv,47.90573381290295,64.00186969023187,74.68710144774987,62.198234983628225
q50_v3_dsp,50.25784094937573,67.13412146341594,79.33613848005405,65.52708026810231
