fecha_hora,real,pred_A,pred_B,pred_C,pred_D,pred_E,pred_F,pred_G,pred_H
2026-01-01 01:00:00,307.90985,305.7768002231219,300.13162493357595,306.1233694404141,,,,,
2026-01-01 02:00:00,296.32185,300.21394801512145,294.82759367002194,300.537999886938,,,,,
2026-01-01 03:00:00,296.32185,297.7500945002356,292.46986845519336,295.63401235109626,,,,,
2026-01-01 04:00:00,296.32185,294.2415903701311,288.99824898654623,291.4549647111487,,,,,
2026-01-01 05:00:00,296.32185,299.42700394542624,293.7927089564326,296.5275333905707,,,,,
2026-01-01 06:00:00,296.32185,300.76702077620854,294.7983922051738,297.82628621932,,,,,
2026-01-01 07:00:00,296.32185,303.5144031831549,296.6082066582466,300.36059425453095,,,,,
2026-01-01 08:00:00,272.90985,304.5377609002256,297.49242908186955,301.64558014108576,,,,,
2026-01-01 09:00:00,104.99185,304.6182560897097,297.96880868144393,302.16664338074696,,,,,
2026-01-01 10:00:00,103.53785,308.3972761242667,301.839663831312,305.9126635411418,,,,,
2026-01-01 11:00:00,244.80985,306.3564919427788,300.15774476688114,304.9979411952811,,,,,
2026-01-01 12:00:00,272.90985,308.84773995099414,302.7372881570104,308.388539604281,,,,,
2026-01-01 13:00:00,292.90985,306.1046712182333,300.39310154914983,307.381406060361,,,,,
2026-01-01 14:00:00,296.32185,306.847985488187,301.28006878157186,309.15804531174007,,,,,
2026-01-01 15:00:00,296.32185,307.3955448352161,301.9048990236258,310.47547911164895,,,,,
2026-01-01 16:00:00,296.32185,311.690146369527,306.4711643598747,313.62201467464496,,,,,
2026-01-01 17:00:00,327.90985,315.2175591089769,310.50346431832577,317.73410645490077,,,,,
2026-01-01 18:00:00,332.90985,317.6564741470402,313.22521502345984,319.89823151281064,,,,,
2026-01-01 19:00:00,332.90985,318.7303831269603,314.36710955391806,320.95318337232476,,,,,
2026-01-01 20:00:00,332.90985,316.4746414641646,312.1370387851059,318.6073619557476,,,,,
2026-01-01 21:00:00,332.90985,313.5278309233662,309.09269529989933,317.2498538471697,,,,,
2026-01-01 22:00:00,332.90985,312.7556072969233,307.65029666086286,315.87463525289206,,,,,
2026-01-01 23:00:00,327.90985,314.653898390957,309.139290774472,315.5027692716384,,,,,
2026-01-02 00:00:00,329.20101,320.2457818765331,319.60231994554283,321.3581892063061,,,,,
2026-01-02 01:00:00,326.20101,324.72182738417274,323.24016633516084,324.01044409701393,,,,,
