tramo,cobertura_cruda,cobertura_adaptativa,ancho_adaptativo,n_eval
1-24h,62.56720430107527,78.96505376344086,195.18487911129037,1488
25-48h,52.083333333333336,77.15053763440861,269.09005510483877,1488
49-72h,45.96774193548387,77.28494623655914,318.0542499139786,1488
