ventana_dias,mae,mape,dm_stat,p_valor,conclusion
7,50.21763876014004,12.651131033756965,-2.593915573648842,0.009488978485338466,CORRECCION PIERDE (sig.)
14,49.50967354857484,12.469540650013137,-1.9730115478428343,0.048494246687255674,CORRECCION PIERDE (sig.)
30,48.938572366608255,12.334268718233258,-0.7294408054530365,0.46573206472120154,sin diferencia
