fecha_hora,real,Persistencia,ARX_rec,XGB_rec,NBEATSx_rec,NHITS_rec
2026-01-03 13:00:00,327.48147,329.20101,332.0772662764096,324.64987,349.31052,342.48557
2026-01-03 14:00:00,332.48147,329.20101,331.9589901429065,325.49634,350.22238,343.78458
2026-01-03 15:00:00,342.48147,331.20101,333.9160444376212,325.73734,356.51828,344.9214
2026-01-03 16:00:00,352.07947,331.20101,333.9919590436865,325.85617,365.38934,347.57513
2026-01-03 17:00:00,354.48147,352.17901,354.9010704616755,334.72864,374.64392,350.02106
2026-01-03 18:00:00,354.48147,352.17901,355.1545848837902,339.46637,376.05124,353.24887
2026-01-03 19:00:00,354.48147,352.17901,355.46666178987397,339.75497,377.62732,354.31317
2026-01-03 20:00:00,354.48147,352.17901,355.81290840843917,336.4954,374.76843,354.47495
2026-01-03 21:00:00,354.48147,352.17901,356.16654033603055,336.1068,373.62726,355.5994
2026-01-03 22:00:00,352.07947,352.17901,356.50018923416616,334.74268,374.52533,356.44385
2026-01-03 23:00:00,352.07947,331.20101,335.93275296636,324.91995,374.85657,356.25967
2026-01-04 00:00:00,282.47952,342.48147,349.7491534493682,325.4189,370.31387,355.0461
2026-01-04 01:00:00,282.47952,342.48147,349.8708252846029,325.64383,283.2412,281.85327
2026-01-04 02:00:00,282.47952,327.48147,334.91284093542527,319.07315,285.10526,281.8874
2026-01-04 03:00:00,282.47952,327.48147,334.89139261178883,318.97458,285.14136,282.36163
2026-01-04 04:00:00,282.47952,327.48147,334.7721602142367,317.84558,280.48657,283.8387
2026-01-04 05:00:00,282.47952,327.48147,334.56347944699917,317.84558,278.59653,285.1554
2026-01-04 06:00:00,282.47952,327.48147,334.2798343917025,316.5456,274.59998,284.82968
2026-01-04 07:00:00,282.47952,327.48147,333.9408297263125,314.39703,275.79788,286.97327
2026-01-04 08:00:00,282.47952,327.48147,333.56981088805696,314.1971,276.53293,289.5993
2026-01-04 09:00:00,268.11152,327.48147,333.19223801005717,313.5245,275.20886,294.7765
2026-01-04 10:00:00,268.11152,327.48147,332.83393384321823,314.3429,280.03714,299.39023
2026-01-04 11:00:00,282.47952,327.48147,332.51932955533346,314.97668,277.76968,304.16708
2026-01-04 12:00:00,282.47952,327.48147,332.26982637463453,315.49844,283.31726,308.2176
2026-01-04 13:00:00,282.47952,327.48147,332.1023775530384,318.014,293.7814,312.48132
2026-01-04 14:00:00,282.47952,332.48147,336.9997654837239,320.0661,296.4021,316.5746
2026-01-04 15:00:00,282.47952,342.48147,346.963900922928,326.66,302.81613,320.67014
