variante,mae,mape,corr_f,mhd,mpd,amp,p_mae,p_corr_f,p_mhd,p_mpd
v4 (referencia),42.506472848317024,11.266358542609574,0.7994526924065808,5.013888888888889,47.43304166666667,0.9359697807182388,,,,
v1 (NNLS global),44.51303295869662,12.053609867699818,0.815567026775624,4.5092592592592595,53.26625,0.8029879249858026,3.1676224658477046e-07,0.0946075982920872,0.23248372089403058,0.026407419105043833
Persistencia,56.399836739969146,15.806792656453652,0.8349080928940348,3.9722222222222223,65.45097685185185,1.0,4.3544558613821055e-13,0.014098143264187932,0.04571255454753977,0.014502712423836259
nivel v4 + forma persistencia,51.29055402266461,14.006688673978998,0.8141649691109676,4.935185185185185,74.8049537037037,1.0015721547371181,3.2895462180569353e-15,0.25838458740446135,0.8838680675630852,0.0007512703509528501
nivel v4 + forma v1,43.89701495190395,11.736028309882512,0.8165053561011706,4.560185185185185,53.113671296296296,0.8036820126550828,3.688593875805808e-05,0.07636279113544622,0.2888215203694753,0.027701011282820005
nivel v4 + forma ajustada (pesos suman 1),42.94146742263675,11.379799308325946,0.8211823432755407,4.708333333333333,46.179282407407406,0.8903124294052882,0.016837783786118936,3.209818577819868e-05,0.24873778276029435,0.5435232782768257
nivel v4 + forma ajustada (escala libre),43.1255028694794,11.422890363681077,0.8235277098817482,4.7592592592592595,46.898175925925926,0.9044239941478033,0.002943014372424185,5.056430407272181e-05,0.34693702041954133,0.8054634878501756
