caso,variante,mae,mape,corr_f,mhd,mpd,p_mae,p_corr_f,p_mhd,p_mpd
VALIDACION CRUZADA,v4 (referencia),42.506472848317024,11.266358542609574,0.7994526924065808,5.013888888888889,47.43304166666667,,,,
VALIDACION CRUZADA,nivel v4 + forma ajustada (ronda 1),42.94146742263675,11.379799308325946,0.8211823432755407,4.708333333333333,46.179282407407406,0.016837783786118967,3.209818577819868e-05,0.24873778276029435,0.5435232782768257
VALIDACION CRUZADA,nivel v4 + forma ajustada con perfiles semanales,43.05447606624309,11.410018885353246,0.8285672406457893,4.736111111111111,46.69898148148148,0.005075562879486741,1.1279968092067172e-07,0.32149114012246616,0.8560746920677952
VALIDACION CRUZADA,nivel v4 + forma perfil7 puro,56.27625614536691,15.413460987949701,0.8139410171217618,5.37962962962963,70.85252777777777,1.63456598122284e-31,0.3374659424668157,0.5564770300154154,0.023471640144804854
VALIDACION CRUZADA,Persistencia,56.399836739969146,15.806792656453652,0.8349080928940348,3.9722222222222223,65.45097685185185,4.3544558613821055e-13,0.014098143264187932,0.04571255454753977,0.014502712423836259
VERSION DESPLEGABLE (tras 14 dias),v4 desplegable (referencia),44.51834688128909,11.386398686418122,0.7963878477641717,4.920792079207921,47.989841584158405,,,,
VERSION DESPLEGABLE (tras 14 dias),nivel v4 desplegable + forma desplegable con perfiles,45.24647084733729,11.588219315289722,0.8288071466884954,4.4950495049504955,48.19260891089109,0.016208962811076966,0.0009724387404327203,0.31292751302065913,0.9568098384487087
