hora,n,rampa_media,mae_antes,mae_despues,delta
0,216,56.48934560185186,47.3534393419562,47.3570753432593,0.003636001303100045
1,216,7.484217592592592,7.6022440650224326,7.603733041734767,0.0014889767123342779
2,216,9.283212962962963,12.249096258305856,12.251255763947029,0.002159505641172288
3,216,5.940611111111109,13.496178283849215,13.497200996803802,0.0010227129545867797
4,216,7.492083333333331,13.59902626756682,13.602505698244535,0.00347943067771439
5,216,14.491685185185188,20.852206737118596,20.851707802626304,-0.0004989344922918804
6,216,14.479768518518517,36.056338719774125,34.69895452600517,-1.357384193768958
7,216,22.23209259259259,35.75462669038993,35.12236207293766,-0.6322646174522646
8,216,18.77911574074074,44.112430247638265,43.144980634480106,-0.9674496131581591
9,216,13.760694444444445,44.44932806414466,42.226053190518854,-2.2232748736258046
10,216,11.727356481481483,44.55372910950574,43.39444388495541,-1.159285224550331
11,216,15.651046296296295,41.939643689289916,40.67601044256177,-1.2636332467281477
12,216,8.422069444444443,39.18871379019129,39.004399453708274,-0.18431433648301265
13,216,17.236847222222224,39.40016851135101,39.6639408603325,0.26377234898149027
14,216,26.65574537037037,39.90550979860291,39.836408807909095,-0.06910099069381204
15,216,23.340050925925926,39.547510197166766,40.124023609011225,0.5765134118444593
16,216,26.83224074074074,36.7935307493107,36.78889514808613,-0.004635601224570962
17,216,18.514078703703703,36.8109950990147,36.405989348104534,-0.40500575091016344
18,216,89.45930092592592,89.66083511327149,89.65815728269065,-0.002677830580836371
19,216,89.52718981481482,103.3105045444855,103.30794061526522,-0.0025639292202725983
20,216,97.4914537037037,78.86777418966923,78.87602243498134,0.008248245312103109
21,216,53.67174537037038,52.87133086362616,52.872823235562024,0.0014923719358606036
22,216,46.30068981481481,36.65426698305061,36.64516558626635,-0.009101396784259919
23,216,28.96424074074074,34.64131958272679,34.64189976854337,0.0005801858165810359
