config,n_features,mae,mape,rmse,mae_festivos,mae_lag168_contaminado,mae_lag24_contaminado
BASE,33,60.602463330575496,15.916688761972031,104.34600282216783,58.7272166665819,66.74032673447459,72.07669639686353
F1_dia_objetivo,36,60.14746608304588,15.866699275725335,103.43851947403193,59.893763669331875,67.08161711353502,69.00916938868669
F2_contaminacion_lags,40,60.02885186011952,15.79711600198896,103.15332047617603,61.61403284601848,67.52417770191929,69.96387915641093
F3_dia_efectivo,34,61.5104340239044,15.959511134927872,105.15018603071498,72.45064453253852,73.82082248234799,79.1273468079538
F4_lags_corregidos,35,60.57094555921938,15.741134139375024,103.65891382211014,63.86051796271431,67.39691320304469,76.763816774759
F5_todo,43,60.80515129040696,15.780317920976838,103.73461132348099,71.34884706483629,72.05723446890848,78.24233301217744
