tramo,cobertura_cruda,cobertura_adaptativa,ancho_adaptativo,n_eval
1-24h,62.365591397849464,78.69623655913979,195.91796845466402,1488
25-48h,51.27688172043011,75.73924731182797,271.6385215453297,1488
49-72h,45.564516129032256,76.34408602150538,317.49093738127283,1488
