conjunto,n,MAE,MAPE,sMAPE,MAPE_pico
v4 vigente (5 votantes),5,42.506472848317024,11.266358542609572,10.378951158961437,15.519447240248407
v4 + LEAR24_of,6,42.53972339179145,11.2586510605725,10.402397686494455,15.353245591315359
v4 + LEAR24 + LEAR24_of,7,42.44136261024828,11.234533028378902,10.366497449371073,15.337503745287865
mejor5 (con LEAR24),5,42.30206338697038,11.211196912139009,10.366963506037044,15.031786689562246
"mejor5, LEAR24_of en vez de LEAR24",5,42.37265787700046,11.228700945734827,10.39098826637635,15.094434696014222
mejor5 + LEAR24_of,6,42.306933514964264,11.211980881202079,10.364351911253593,15.075714531762408
