fecha_hora,N-BEATSx_3a,N-HiTS_3a,N-BEATSx_5a,N-HiTS_5a
2026-01-05 00:00:00,314.60223,334.9012,305.04483,300.73743
2026-01-05 01:00:00,293.76282,293.42438,290.55524,293.64508
2026-01-05 02:00:00,292.0757,295.82953,294.2983,293.85895
2026-01-05 03:00:00,292.34866,295.83356,293.84283,294.98346
2026-01-05 04:00:00,294.23254,302.01334,292.40717,295.81607
2026-01-05 05:00:00,293.36545,297.0878,292.7279,297.4527
2026-01-05 06:00:00,293.92392,294.90125,291.8143,299.57516
2026-01-05 07:00:00,296.2071,293.03326,291.43906,301.937
2026-01-05 08:00:00,298.3936,292.5314,296.308,305.46228
2026-01-05 09:00:00,301.45926,296.3667,300.7592,310.66232
2026-01-05 10:00:00,304.10886,299.95288,301.56253,316.40344
2026-01-05 11:00:00,305.97534,301.7786,308.27896,322.44034
2026-01-05 12:00:00,317.08002,302.61426,308.67584,328.78986
2026-01-05 13:00:00,320.29785,303.85236,314.76724,336.60275
2026-01-05 14:00:00,321.2546,309.8008,327.2766,342.79504
2026-01-05 15:00:00,331.4953,317.1516,328.85025,347.84683
2026-01-05 16:00:00,340.04507,320.13492,327.99884,351.80707
2026-01-05 17:00:00,343.69537,327.65918,329.1212,354.412
2026-01-05 18:00:00,350.8591,336.45938,327.55124,357.94757
2026-01-05 19:00:00,359.41208,344.16757,330.83917,360.94803
2026-01-05 20:00:00,367.6693,346.76114,329.98956,359.6997
2026-01-05 21:00:00,365.49127,333.34375,328.75882,353.9548
2026-01-05 22:00:00,356.52008,318.13086,321.01337,342.58902
2026-01-05 23:00:00,339.63538,307.29416,315.67276,325.9353
2026-01-06 00:00:00,330.64188,296.26096,305.96625,317.3073
2026-01-06 01:00:00,293.89993,294.5583,288.24573,300.30457
2026-01-06 02:00:00,285.11505,292.76025,283.35632,299.8328
2026-01-06 03:00:00,282.8118,286.30466,284.73816,299.1906
2026-01-06 04:00:00,286.58224,292.1872,286.84247,298.17926
2026-01-06 05:00:00,288.7901,290.31613,292.2731,298.06317
2026-01-06 06:00:00,294.4119,298.7198,294.1444,299.83566
2026-01-06 07:00:00,296.675,297.56512,297.8299,303.6143
2026-01-06 08:00:00,299.37463,304.8499,298.8279,308.40546
2026-01-06 09:00:00,300.80865,310.534,304.68372,314.09125
2026-01-06 10:00:00,304.5663,317.64142,304.58432,319.7691
2026-01-06 11:00:00,304.38788,326.79703,310.68283,324.5347
2026-01-06 12:00:00,309.1241,327.98795,316.14417,328.04434
2026-01-06 13:00:00,314.41135,331.6437,311.19098,331.30423
2026-01-06 14:00:00,313.06723,331.6533,318.5521,333.7693
2026-01-06 15:00:00,319.13544,337.43143,326.09924,335.31866
2026-01-06 16:00:00,324.11075,332.42722,330.42715,336.28757
2026-01-06 17:00:00,326.71033,352.28558,330.88055,336.60175
2026-01-06 18:00:00,333.2454,356.6304,330.39584,338.67892
2026-01-06 19:00:00,338.42572,357.62347,337.66608,341.7367
2026-01-06 20:00:00,336.65762,353.2491,337.05563,340.71136
2026-01-06 21:00:00,332.07935,341.20496,327.0423,335.2661
