fecha_hora,real,q50,q10,q90,margen
2026-01-03 22:00:00,352.07947,355.43652,308.575195,417.984235,34.13903500000001
2026-01-03 23:00:00,352.07947,351.61542,298.03222500000004,410.889495,34.13903500000001
2026-01-04 00:00:00,282.47952,348.98083,279.606116,385.134964,29.929864
2026-01-04 01:00:00,282.47952,340.41492,273.360476,381.101314,29.929864
2026-01-04 02:00:00,282.47952,330.93176,257.781536,380.020414,29.929864
2026-01-04 03:00:00,282.47952,324.20816,248.77403599999997,375.339134,29.929864
2026-01-04 04:00:00,282.47952,321.42596,242.38923599999998,378.839664,29.929864
2026-01-04 05:00:00,282.47952,322.0201,239.211096,370.221364,29.929864
2026-01-04 06:00:00,282.47952,320.88446,239.42499599999996,370.420064,29.929864
2026-01-04 07:00:00,282.47952,317.51038,241.687296,375.380664,29.929864
2026-01-04 08:00:00,282.47952,318.92358,245.376776,380.443714,29.929864
2026-01-04 09:00:00,268.11152,318.67618,250.07083599999999,372.813444,29.929864
2026-01-04 10:00:00,268.11152,324.931,256.816966,373.072014,29.929864
2026-01-04 11:00:00,282.47952,328.3908,263.82793599999997,384.309414,29.929864
2026-01-04 12:00:00,282.47952,339.4695,270.727456,386.721614,29.929864
2026-01-04 13:00:00,282.47952,339.86407,284.586236,386.255914,29.929864
2026-01-04 14:00:00,282.47952,342.47922,284.658936,386.46441400000003,29.929864
2026-01-04 15:00:00,282.47952,345.72565,291.086466,391.274104,29.929864
2026-01-04 16:00:00,330.47952,351.67627,295.882436,399.061944,29.929864
2026-01-04 17:00:00,334.47952,353.72754,301.744086,409.113184,29.929864
2026-01-04 18:00:00,347.07752,360.03918,312.56656599999997,418.986814,29.929864
2026-01-04 19:00:00,347.07752,369.02,314.440896,428.476984,29.929864
2026-01-04 20:00:00,347.07752,365.89185,317.861916,424.982904,29.929864
2026-01-04 21:00:00,343.47952,361.7267,317.686806,415.900324,29.929864
2026-01-04 22:00:00,342.47952,359.15033,303.350866,415.532984,29.929864
2026-01-04 23:00:00,334.47952,352.65375,283.341136,416.657524,29.929864
2026-01-05 00:00:00,293.94594,326.2926,259.95944999999995,367.9354900000001,30.76725000000002
2026-01-05 01:00:00,293.94594,318.12802,245.45521999999997,368.74393,30.76725000000002
2026-01-05 02:00:00,269.57794,314.64206,240.51661999999996,361.92597,30.76725000000002
2026-01-05 03:00:00,262.43094,313.48947,239.87555,364.13898000000006,30.76725000000002
2026-01-05 04:00:00,269.57794,317.98703,244.57278,368.01725,30.76725000000002
2026-01-05 05:00:00,293.94594,322.52435,254.22914999999998,371.13705000000004,30.76725000000002
2026-01-05 06:00:00,334.16294,322.9901,263.61875,373.28575,30.76725000000002
2026-01-05 07:00:00,334.16294,323.78564,269.98137999999994,376.66917,30.76725000000002
2026-01-05 08:00:00,334.16294,324.5229,270.91301999999996,378.28505000000007,30.76725000000002
2026-01-05 09:00:00,334.16294,325.51758,273.54702,379.53788,30.76725000000002
2026-01-05 10:00:00,334.16294,329.62006,275.35597999999993,386.98212,30.76725000000002
2026-01-05 11:00:00,334.16294,330.83853,276.33312,391.3216,30.76725000000002
2026-01-05 12:00:00,334.16294,333.80905,276.13780999999994,391.27683,30.76725000000002
2026-01-05 13:00:00,338.94594,338.3659,281.7886,397.93308,30.76725000000002
2026-01-05 14:00:00,338.94594,345.10834,292.61257,403.36710000000005,30.76725000000002
2026-01-05 15:00:00,338.94594,346.7631,295.82075,410.87140999999997,30.76725000000002
2026-01-05 16:00:00,338.94594,348.67117,301.44173,409.69782,30.76725000000002
2026-01-05 17:00:00,338.94594,350.81662,303.342,428.10923,30.76725000000002
2026-01-05 18:00:00,353.94594,367.72516,305.93035,459.64535,30.76725000000002
2026-01-05 19:00:00,353.94594,362.80948,304.57412,455.95855000000006,30.76725000000002
2026-01-05 20:00:00,353.94594,350.65063,297.3145099999999,423.71317,30.76725000000002
2026-01-05 21:00:00,338.94594,349.72412,296.24625000000003,408.88129000000004,30.76725000000002
2026-01-05 22:00:00,338.94594,346.16766,288.45718,404.53882999999996,30.76725000000002
2026-01-05 23:00:00,338.94594,340.93277,270.57976999999994,405.67463,30.76725000000002
2026-01-06 00:00:00,301.18493,325.43002,264.88441300000005,367.630837,26.47553699999998
2026-01-06 01:00:00,301.18493,312.87408,248.89192300000002,365.68046699999996,26.47553699999998
2026-01-06 02:00:00,301.18493,308.62122,240.66292300000003,357.21063699999996,26.47553699999998
2026-01-06 03:00:00,301.18493,312.0091,243.60226300000005,361.353617,26.47553699999998
2026-01-06 04:00:00,301.18493,318.71307,248.96022300000004,365.283737,26.47553699999998
2026-01-06 05:00:00,312.18493,326.2643,263.322833,371.428787,26.47553699999998
2026-01-06 06:00:00,312.18493,330.11746,272.860763,373.116137,26.47553699999998
2026-01-06 07:00:00,312.18493,331.62067,282.15366300000005,379.66193699999997,26.47553699999998
2026-01-06 08:00:00,312.18493,334.84167,286.07390300000003,381.277177,26.47553699999998
2026-01-06 09:00:00,312.18493,338.17206,286.317583,385.090337,26.47553699999998
2026-01-06 10:00:00,312.18493,337.4756,291.737993,384.56823699999995,26.47553699999998
2026-01-06 11:00:00,312.18493,337.11087,292.524313,389.411507,26.47553699999998
2026-01-06 12:00:00,312.18493,341.93124,291.47206300000005,397.26978699999995,26.47553699999998
