prueba,grupo,mae,delta,dm_p
base,(ninguno),59.407798071515145,0.0,
LOGO,precio (rezagos e historia),180.80749792340006,121.39969985188492,9.63772713132615e-197
LOGO,calendario,63.04485900336509,3.6370609318499447,2.468129496841925e-08
LOGO,festivos,59.55696611167824,0.14916804016309726,0.7505398455260363
LOGO,hidrologia (actual),59.77345705156332,0.365658980048174,0.6479370371879507
LOGO,demanda y generacion,61.43470227919841,2.026904207683266,0.0011340957613696677
LOGO,ONI,56.58883271653142,-2.8189653549837246,1.3658497022661065e-10
