fecha_hora,real,TFT,LSTM
2026-01-05 03:00:00,262.43094,304.67462,262.99005
2026-01-05 04:00:00,269.57794,305.62344,259.38046
2026-01-05 05:00:00,293.94594,307.22293,260.0018
2026-01-05 06:00:00,334.16294,306.32947,263.29358
2026-01-05 07:00:00,334.16294,307.21243,269.42468
2026-01-05 08:00:00,334.16294,311.1039,277.1046
2026-01-05 09:00:00,334.16294,315.63358,278.85168
2026-01-05 10:00:00,334.16294,319.89557,283.0193
2026-01-05 11:00:00,334.16294,323.46286,292.6776
2026-01-05 12:00:00,334.16294,326.21332,299.89868
2026-01-05 13:00:00,338.94594,328.20514,304.80463
2026-01-05 14:00:00,338.94594,329.36517,307.8666
2026-01-05 15:00:00,338.94594,329.42004,310.5496
2026-01-05 16:00:00,338.94594,328.56433,327.4224
2026-01-05 17:00:00,338.94594,328.52048,338.93402
2026-01-05 18:00:00,353.94594,334.53665,349.95358
2026-01-05 19:00:00,353.94594,342.86658,355.29367
2026-01-05 20:00:00,353.94594,341.47388,357.1245
2026-01-05 21:00:00,338.94594,333.39798,356.30927
2026-01-05 22:00:00,338.94594,321.45273,354.13153
2026-01-05 23:00:00,338.94594,308.02478,348.6252
2026-01-06 00:00:00,301.18493,291.671,317.04327
2026-01-06 01:00:00,301.18493,294.98578,306.75577
2026-01-06 02:00:00,301.18493,294.40375,273.30878
2026-01-06 03:00:00,301.18493,294.04034,259.3294
2026-01-06 04:00:00,301.18493,296.26813,261.84796
2026-01-06 05:00:00,312.18493,300.75266,276.462
2026-01-06 06:00:00,312.18493,303.00784,300.6952
2026-01-06 07:00:00,312.18493,306.47473,314.9233
2026-01-06 08:00:00,312.18493,313.9266,323.20496
2026-01-06 09:00:00,312.18493,320.71872,327.96118
2026-01-06 10:00:00,312.18493,326.31824,331.23166
2026-01-06 11:00:00,312.18493,330.71292,333.1814
2026-01-06 12:00:00,312.18493,334.04562,334.1986
2026-01-06 13:00:00,312.18493,336.51105,334.455
2026-01-06 14:00:00,312.18493,338.1546,334.76926
2026-01-06 15:00:00,312.18493,338.73306,334.89545
2026-01-06 16:00:00,339.18493,337.65756,335.0562
2026-01-06 17:00:00,339.18493,335.00552,337.08743
2026-01-06 18:00:00,349.60093,342.52844,350.63507
2026-01-06 19:00:00,349.60093,351.76117,352.46948
2026-01-06 20:00:00,339.18493,342.6451,349.9302
2026-01-06 21:00:00,339.18493,329.77078,340.3081
2026-01-06 22:00:00,322.18493,314.33978,334.00748
2026-01-06 23:00:00,312.18493,292.33325,327.9194
2026-01-07 00:00:00,252.71747,264.1278,291.5567
2026-01-07 01:00:00,252.71747,252.3775,291.59442
2026-01-07 02:00:00,245.61747,254.88124,287.11603
2026-01-07 03:00:00,245.61747,261.48233,286.55048
2026-01-07 04:00:00,249.61747,270.23624,287.76505
2026-01-07 05:00:00,252.71747,279.22467,296.21616
2026-01-07 06:00:00,252.71747,285.01715,300.82498
2026-01-07 07:00:00,252.71747,290.63196,306.735
2026-01-07 08:00:00,252.71747,298.99884,312.14777
2026-01-07 09:00:00,245.61747,305.98157,316.39047
2026-01-07 10:00:00,249.61747,311.55725,320.2659
2026-01-07 11:00:00,252.71747,316.03076,322.9436
2026-01-07 12:00:00,252.71747,319.59146,323.08145
2026-01-07 13:00:00,252.71747,322.3533,323.16943
2026-01-07 14:00:00,261.20247,324.27695,323.8559
2026-01-07 15:00:00,292.71747,325.02518,324.65164
2026-01-07 16:00:00,292.71747,323.87186,333.36282
2026-01-07 17:00:00,312.71747,320.68903,337.74725
2026-01-07 18:00:00,328.20947,329.72772,346.06622
2026-01-07 19:00:00,328.20947,342.1302,347.38644
2026-01-07 20:00:00,328.20947,331.46402,342.2366
2026-01-07 21:00:00,321.71747,318.42218,337.76016
2026-01-07 22:00:00,312.71747,303.16098,327.1128
2026-01-07 23:00:00,292.71747,280.3082,317.62897
2026-01-08 00:00:00,108.19992,250.01697,278.17184
2026-01-08 01:00:00,108.19992,201.77927,251.04349
2026-01-08 02:00:00,108.19992,194.46829,243.77194
2026-01-08 03:00:00,108.19992,196.30473,240.8805
2026-01-08 04:00:00,118.19992,202.55978,241.9803
2026-01-08 05:00:00,156.68492,212.25116,244.37363
2026-01-08 06:00:00,118.19992,225.54156,246.16039
2026-01-08 07:00:00,118.19992,237.75221,249.39279
2026-01-08 08:00:00,118.19992,250.46059,252.0632
2026-01-08 09:00:00,108.19992,259.9252,252.5694
2026-01-08 10:00:00,118.19992,265.95343,253.9534
2026-01-08 11:00:00,156.68492,269.6006,255.96188
2026-01-08 12:00:00,228.19992,271.973,255.26837
2026-01-08 13:00:00,118.19992,274.39594,254.68471
2026-01-08 14:00:00,238.19992,276.90106,256.45615
2026-01-08 15:00:00,270.19992,277.7394,264.85358
2026-01-08 16:00:00,270.19992,276.8906,269.01434
2026-01-08 17:00:00,288.19992,275.22562,279.28955
2026-01-08 18:00:00,288.19992,277.52606,294.79364
2026-01-08 19:00:00,288.19992,278.13983,300.6494
2026-01-08 20:00:00,288.19992,270.3365,302.27295
2026-01-08 21:00:00,288.19992,256.65048,298.50934
2026-01-08 22:00:00,270.19992,234.49783,290.6636
2026-01-08 23:00:00,270.19992,200.90012,278.62604
2026-01-09 00:00:00,148.95631,162.77307,175.391
2026-01-09 01:00:00,124.95631,131.56969,159.788
2026-01-09 02:00:00,124.95631,114.88043,145.16866
2026-01-09 03:00:00,124.95631,109.824875,133.55365
2026-01-09 04:00:00,148.95631,112.631,131.35591
2026-01-09 05:00:00,148.95631,122.36429,150.2591
2026-01-09 06:00:00,209.95631,141.28226,146.06088
2026-01-09 07:00:00,209.95631,165.81258,158.20169
2026-01-09 08:00:00,148.95631,188.47754,171.67249
2026-01-09 09:00:00,124.95631,203.0438,178.94127
2026-01-09 10:00:00,124.95631,212.37994,190.9708
2026-01-09 11:00:00,148.95631,218.90439,207.96527
2026-01-09 12:00:00,148.95631,223.66391,231.5925
2026-01-09 13:00:00,209.95631,227.05951,212.38959
2026-01-09 14:00:00,249.95631,228.87254,240.49812
2026-01-09 15:00:00,249.95631,227.89713,257.94717
2026-01-09 16:00:00,249.95631,222.61023,265.4789
2026-01-09 17:00:00,249.95631,217.2016,274.58472
2026-01-09 18:00:00,279.95631,235.4628,284.13144
2026-01-09 19:00:00,279.95631,253.35327,286.62537
2026-01-09 20:00:00,279.95631,244.1347,284.41278
2026-01-09 21:00:00,249.95631,224.3196,280.58188
2026-01-09 22:00:00,249.95631,190.01123,268.26694
2026-01-09 23:00:00,228.85631,134.52318,261.04794
2026-01-10 00:00:00,176.78564,88.93645,198.18839
2026-01-10 01:00:00,176.78564,161.98373,175.77863
2026-01-10 02:00:00,165.78564,151.06863,168.8262
2026-01-10 03:00:00,165.78564,146.64426,165.02222
2026-01-10 04:00:00,165.78564,147.2479,174.0798
2026-01-10 05:00:00,176.78564,151.32658,176.98366
2026-01-10 06:00:00,176.78564,158.9029,201.38206
2026-01-10 07:00:00,176.78564,173.04889,211.87474
2026-01-10 08:00:00,151.78564,188.21548,192.05124
2026-01-10 09:00:00,113.86764,197.10004,171.75084
2026-01-10 10:00:00,113.86764,202.43768,160.42542
2026-01-10 11:00:00,151.78564,206.26811,164.59889
2026-01-10 12:00:00,151.78564,209.15088,165.98814
2026-01-10 13:00:00,151.78564,210.98862,189.43799
2026-01-10 14:00:00,176.78564,211.0383,214.2222
2026-01-10 15:00:00,176.78564,207.95079,229.61609
2026-01-10 16:00:00,214.78564,202.31216,239.42111
2026-01-10 17:00:00,276.78564,203.1544,246.59175
2026-01-10 18:00:00,276.78564,224.06216,268.97638
2026-01-10 19:00:00,276.78564,238.52742,281.18054
2026-01-10 20:00:00,276.78564,232.48155,284.1699
2026-01-10 21:00:00,276.78564,218.62064,272.4137
2026-01-10 22:00:00,276.78564,195.97272,265.39594
2026-01-10 23:00:00,214.78564,159.16582,247.9233
2026-01-11 00:00:00,119.10337,125.788025,211.96736
2026-01-11 01:00:00,116.18537,124.80441,200.80037
2026-01-11 02:00:00,116.18537,120.00577,188.77754
2026-01-11 03:00:00,116.18537,121.97424,180.46526
2026-01-11 04:00:00,116.18537,127.765564,174.10445
2026-01-11 05:00:00,116.18537,134.90291,174.06029
2026-01-11 06:00:00,116.18537,141.76414,172.36996
2026-01-11 07:00:00,114.73137,150.75482,170.5305
2026-01-11 08:00:00,110.59537,160.49493,162.64978
2026-01-11 09:00:00,110.59537,167.465,150.27165
2026-01-11 10:00:00,110.59537,172.6951,148.07642
2026-01-11 11:00:00,110.59537,176.98154,158.18875
2026-01-11 12:00:00,112.10337,180.44315,165.4296
2026-01-11 13:00:00,116.17837,182.87518,171.58815
2026-01-11 14:00:00,116.18537,183.64243,183.4868
2026-01-11 15:00:00,116.18537,181.91171,191.35294
2026-01-11 16:00:00,119.10337,179.41756,205.9219
2026-01-11 17:00:00,119.10337,184.06993,233.26079
2026-01-11 18:00:00,154.10337,205.98239,254.32787
2026-01-11 19:00:00,219.10337,226.00839,266.52182
2026-01-11 20:00:00,154.10337,223.73378,271.43796
2026-01-11 21:00:00,154.10337,211.29744,270.746
2026-01-11 22:00:00,124.10337,189.51729,267.1411
2026-01-11 23:00:00,119.10337,153.10196,232.38663
2026-01-12 00:00:00,117.87734,113.8674,138.54231
2026-01-12 01:00:00,113.88434,167.47119,122.134315
2026-01-12 02:00:00,113.88434,141.47757,103.50397
2026-01-12 03:00:00,113.88434,117.614655,94.67818
2026-01-12 04:00:00,113.88434,102.8129,92.66762
2026-01-12 05:00:00,113.88434,94.99397,94.25249
2026-01-12 06:00:00,113.88434,88.061356,94.6187
2026-01-12 07:00:00,113.88434,88.87897,95.030975
2026-01-12 08:00:00,113.46634,96.823364,98.727356
2026-01-12 09:00:00,113.46634,105.60579,104.392715
2026-01-12 10:00:00,113.46634,114.65224,113.47287
2026-01-12 11:00:00,151.38434,124.29336,122.412926
2026-01-12 12:00:00,151.38434,135.80254,129.35199
2026-01-12 13:00:00,196.38434,150.13376,137.24051
2026-01-12 14:00:00,196.38434,161.84367,144.51053
2026-01-12 15:00:00,196.38434,167.79202,152.48653
2026-01-12 16:00:00,206.38434,171.08737,158.83939
2026-01-12 17:00:00,206.38434,173.66019,163.01886
2026-01-12 18:00:00,216.38434,187.51822,183.74426
2026-01-12 19:00:00,216.38434,207.00195,211.55154
2026-01-12 20:00:00,216.38434,210.37943,189.38208
2026-01-12 21:00:00,216.38434,205.90099,169.1885
2026-01-12 22:00:00,206.38434,192.2645,128.4441
2026-01-12 23:00:00,206.38434,168.63599,97.315735
2026-01-13 00:00:00,105.22064,120.923706,-53.206375
2026-01-13 01:00:00,105.21064,136.3654,-24.167145
2026-01-13 02:00:00,105.21064,126.72425,-53.490723
2026-01-13 03:00:00,105.20264,117.6263,-51.60446
2026-01-13 04:00:00,105.21064,117.12305,-28.103607
2026-01-13 05:00:00,105.22064,123.825714,6.3137665
2026-01-13 06:00:00,105.22064,130.94424,34.341934
2026-01-13 07:00:00,105.22064,142.38235,64.49342
2026-01-13 08:00:00,105.22064,157.63036,92.900185
2026-01-13 09:00:00,105.22064,171.53023,109.980545
2026-01-13 10:00:00,105.22064,184.26175,116.09567
2026-01-13 11:00:00,105.22064,195.83904,143.44963
2026-01-13 12:00:00,105.22064,206.61574,153.3508
2026-01-13 13:00:00,105.22064,217.54813,195.67285
2026-01-13 14:00:00,188.12064,227.01135,208.15483
2026-01-13 15:00:00,208.12064,232.22029,208.73355
2026-01-13 16:00:00,208.12064,233.36717,220.59781
2026-01-13 17:00:00,208.12064,232.19562,226.849
2026-01-13 18:00:00,209.12064,244.16907,259.45218
2026-01-13 19:00:00,209.12064,252.51068,235.44637
2026-01-13 20:00:00,209.12064,241.14005,181.12962
2026-01-13 21:00:00,208.12064,221.56104,142.86862
2026-01-13 22:00:00,208.12064,187.17644,81.25632
2026-01-13 23:00:00,188.12064,135.46384,35.518936
2026-01-14 00:00:00,109.65888,77.47496,160.05096
2026-01-14 01:00:00,109.65888,117.5728,112.5911
2026-01-14 02:00:00,109.65888,119.28306,103.09149
2026-01-14 03:00:00,109.65888,118.38598,95.49595
2026-01-14 04:00:00,109.65888,120.90181,100.28018
2026-01-14 05:00:00,109.65888,126.651825,113.09633
2026-01-14 06:00:00,109.65888,131.81131,122.99208
2026-01-14 07:00:00,109.65888,139.16702,137.24156
2026-01-14 08:00:00,109.65888,151.63782,154.8047
2026-01-14 09:00:00,109.65888,164.53795,168.91583
2026-01-14 10:00:00,109.65888,176.89093,178.90822
2026-01-14 11:00:00,109.65888,188.03561,188.75491
2026-01-14 12:00:00,109.65888,197.74591,195.94826
2026-01-14 13:00:00,109.65888,206.40521,197.9996
2026-01-14 14:00:00,138.16688,214.0018,236.96075
2026-01-14 15:00:00,138.16688,219.33353,267.27695
2026-01-14 16:00:00,142.16688,222.59383,280.339
2026-01-14 17:00:00,213.16688,225.62752,285.83258
2026-01-14 18:00:00,213.16688,241.82663,297.62488
2026-01-14 19:00:00,217.16688,255.92801,287.57886
2026-01-14 20:00:00,213.16688,249.12485,264.60773
2026-01-14 21:00:00,213.16688,230.0404,237.64362
2026-01-14 22:00:00,142.16688,198.68813,212.84067
2026-01-14 23:00:00,138.16688,166.24811,179.0469
2026-01-15 00:00:00,111.95694,132.97256,104.99841
2026-01-15 01:00:00,111.95694,112.23853,90.45583
2026-01-15 02:00:00,111.95694,114.7621,88.3224
2026-01-15 03:00:00,111.95694,114.680756,88.83285
2026-01-15 04:00:00,111.95694,116.01761,91.26251
2026-01-15 05:00:00,111.95694,119.558784,95.46469
2026-01-15 06:00:00,117.54694,124.02512,98.86226
2026-01-15 07:00:00,117.54694,132.19601,104.45527
