conjunto,votantes,mae_cv,mape_cv,p_vs_v4_cv,mae_desplegable,p_vs_v4_desplegable,corr_f,mhd,mpd
v4 actual (5 modelos),Persistencia+XGBoost+ARX+GARCH+N-BEATSx+N-HiTS,42.83548228127053,11.331059091099258,,44.51916453820893,,0.8016192825543671,5.027777777777778,45.96262962962963
v4 + TFT,Persistencia+XGBoost+ARX+GARCH+N-BEATSx+N-HiTS+TFT,42.8477903291094,11.310669560318203,0.8889585746694748,44.64512883397393,0.1622388651902381,0.8015204201628323,4.726851851851852,45.064898148148146
v4 + LSTM,Persistencia+XGBoost+ARX+GARCH+N-BEATSx+N-HiTS+LSTM,42.871327234559345,11.339107915695108,0.383242743714598,44.542823007587046,0.5483188100764806,0.801775428272902,5.00462962962963,45.81256944444444
v4 + TFT + LSTM,Persistencia+XGBoost+ARX+GARCH+N-BEATSx+N-HiTS+TFT+LSTM,42.87616377333339,11.316921318294119,0.6617655779993108,44.66501787268148,0.14498490596878438,0.8022114795857189,4.685185185185185,45.047217592592595
ventanas promediadas (N-BEATSx y N-HiTS),Persistencia+XGBoost+ARX+GARCH+NBX_prom+NHITS_prom,43.31395913971033,11.300263891799235,0.22720029431364674,44.90323273740496,0.3590164517244574,0.8027803587453552,5.175925925925926,49.27517129629629
recalibrados,Persistencia+XGB_rec+ARX_rec+NBEATSx_rec+NHITS_rec,52.393014565635234,14.440404850956213,8.467835869671876e-13,53.852182540325444,9.182698959841413e-11,0.8400341964451288,4.893518518518518,40.51782407407408
recalibrados + congelados,Persistencia+XGBoost+ARX+GARCH+N-BEATSx+N-HiTS+XGB_rec+ARX_rec+NBEATSx_rec+NHITS_rec,42.901954522639976,11.32756921410485,0.19926150437728707,44.61270064372896,0.026888102378499635,0.8017355858281027,4.962962962962963,45.66730555555555
