caso,variante,mae,mape,dm_p_vs_ref
24h,LAD global,44.38432667785073,12.001074334059952,0.5095462895735269
24h,NNLS por franja,44.99237184210335,11.968118930389595,0.09073682752761023
24h,LAD por franja,43.236157215967445,11.704241162350572,0.0006226910296411609
72h 1-24h,N-BEATSx (linea base),58.682859467013884,17.20239432009002,0.07677309630886778
72h 1-24h,LAD por franja,54.935389518315695,15.773659298680275,0.6084683630063268
72h 25-48h,N-BEATSx (linea base),76.20331152083334,24.082070123636225,0.018854662945862008
72h 25-48h,LAD por franja,64.09903434624994,19.538046751370246,0.7912183207761104
72h 49-72h,N-BEATSx (linea base),98.56203548148147,31.299093259243804,0.04345833646772875
72h 49-72h,LAD por franja,84.8595985642394,25.29467517190151,0.6901838833890939
