tramo,mae,n,cobertura,ancho_banda
global,77.81606879243546,5184,,
1-24h,58.682859267298376,1728,60.706018518518526,136.56533813476562
25-48h,76.20331164019973,1728,50.46296296296296,144.0637969970703
49-72h,98.56203546980824,1728,45.023148148148145,148.81053161621094
