paso,carga_LEAR,carga_OLS,carga_forzada_rampa
1,0.8224770299049535,0.8124019992705016,1.0
2,0.6986030163631348,0.6818360984313955,1.0
3,0.6421553842010402,0.6217283454836975,1.0
4,0.5938502686466689,0.5740514901265417,1.0
5,0.5107350974523016,0.5007692422026276,1.0
6,0.4983986187771723,0.4848126721898175,1.0
7,0.44706846522391713,0.43063577238548945,1.0
8,0.45844708951698626,0.43805978645062543,1.0
9,0.44164341117001316,0.42333398692433494,1.0
10,0.3907354364272703,0.3727061749290658,1.0
11,0.42079557819231694,0.40640705828041557,1.0
12,0.43155782589608094,0.4209443833656867,1.0
13,0.4206044829471754,0.41023473637616037,1.0
14,0.41140916978360925,0.4021788916349443,1.0
15,0.4104165792217189,0.4014822456933162,1.0
16,0.41792228710927826,0.40954614243079107,1.0
17,0.42961991419333473,0.42472864288875667,1.0
18,0.261983707793471,0.25902577530203014,1.0
19,0.2765886104018502,0.27192176124655054,1.0
20,0.3444433614218917,0.342198060552599,1.0
21,0.40581358563115144,0.4004439118764476,1.0
22,0.5268085614824883,0.5222354403802053,1.0
23,0.5331413202843336,0.5286620098208861,1.0
24,0.4479664340496536,0.4263676795648757,1.0
