fecha_hora,real,v4 (referencia),nivel v4 + forma ajustada (ronda 1),nivel v4 + forma ajustada con perfiles semanales,nivel v4 + forma perfil7 puro,Persistencia,v4 desplegable (referencia),nivel v4 desplegable + forma desplegable con perfiles
2026-01-01 01:00:00,307.90985,313.13636551386907,307.92506890722984,307.00286128689197,289.9241887605243,271.30327,,
2026-01-01 02:00:00,296.32185,306.23306201023047,302.4021723592877,301.6591976133998,289.9241887605243,271.30327,,
2026-01-01 03:00:00,296.32185,298.4866569296685,296.9331560116527,296.78023519256965,289.9241887605243,271.30327,,
2026-01-01 04:00:00,296.32185,292.95904745150153,292.7267861928491,292.77076873466024,289.9241887605243,271.30327,,
2026-01-01 05:00:00,296.32185,299.1918421605416,297.8056684736413,297.63564019487836,289.9241887605243,271.30327,,
2026-01-01 06:00:00,296.32185,293.96788172988425,294.94488004555467,294.9823483841734,289.9241887605243,271.30327,,
2026-01-01 07:00:00,296.32185,297.08107514124544,297.46534603879735,295.75679453740116,271.38268876052433,271.30327,,
2026-01-01 08:00:00,272.90985,298.2228748856744,298.3005763831508,296.53584100750084,271.38268876052433,270.30327,,
2026-01-01 09:00:00,104.99185,298.12346029225324,298.31467991642035,294.65802244353705,251.6336887605243,270.30327,,
2026-01-01 10:00:00,103.53785,302.3855307102864,301.76409684599037,298.71979248260925,259.2826887605243,270.30327,,
2026-01-01 11:00:00,244.80985,299.4730973071057,299.61270661920724,298.3080840620848,279.8927187605243,270.30327,,
2026-01-01 12:00:00,272.90985,298.47249142014704,299.70262362261195,298.29768916517617,279.8927187605243,270.30327,,
2026-01-01 13:00:00,292.90985,297.68783341777004,299.06848358231014,296.47171771366624,272.86788876052435,271.30327,,
2026-01-01 14:00:00,296.32185,299.3277610011049,300.3992165513783,299.06547779041364,289.9241887605243,271.30327,,
2026-01-01 15:00:00,296.32185,300.55213807953936,301.1531200294392,301.34279522029436,306.38268876052433,271.30327,,
2026-01-01 16:00:00,296.32185,303.2837608346468,303.9091792648951,304.4039198500032,309.8927187605243,271.30327,,
2026-01-01 17:00:00,327.90985,308.1923875502048,310.2264152177396,313.024632536085,351.38268876052433,285.30327,,
2026-01-01 18:00:00,332.90985,315.0185719535762,315.20595857734713,318.31297478495605,359.47879876052434,285.30327,,
2026-01-01 19:00:00,332.90985,315.7678869186758,315.93704885780977,319.0446133857482,359.47879876052434,285.30327,,
2026-01-01 20:00:00,332.90985,313.7146983432361,314.0753122017086,317.33452180243006,359.47879876052434,285.30327,,
2026-01-01 21:00:00,332.90985,312.36196820625105,312.4190535716853,315.00167203760805,351.38268876052433,285.30327,,
2026-01-01 22:00:00,332.90985,308.00747513328827,307.3322206520731,311.3911702493466,351.38268876052433,273.59227,,
2026-01-01 23:00:00,327.90985,306.59400700228235,306.08955175599993,308.78209298732645,326.3291087605243,271.30327,,
