tramo,cobertura_cruda,cobertura_adaptativa,ancho_adaptativo,n_eval
1-24h,60.752688172043015,78.0241935483871,195.1461720010556,1488
25-48h,54.166666666666664,76.88172043010752,234.27748390654637,1488
49-72h,47.78225806451613,75.06720430107528,293.00869257550636,1488
