fecha_hora,real,pred_A,pred_B
2026-01-01 01:00:00,307.90985,326.91558520349616,271.94213316462054
2026-01-01 02:00:00,296.32185,326.4957645891303,270.98409772790933
2026-01-01 03:00:00,296.32185,325.94456728226106,270.89632143609384
2026-01-01 04:00:00,296.32185,325.8189050972689,271.07782209071195
2026-01-01 05:00:00,296.32185,324.4993169589949,272.0625744435987
2026-01-01 06:00:00,296.32185,290.20900573761116,257.1238495901729
2026-01-01 07:00:00,296.32185,293.25720469432656,258.2297112267838
2026-01-01 08:00:00,272.90985,294.5591302189096,257.6725672441123
2026-01-01 09:00:00,104.99185,294.6744418855377,259.75545976478804
2026-01-01 10:00:00,103.53785,298.8538394839654,260.4519045098343
2026-01-01 11:00:00,244.80985,296.6026561780759,262.32498383825157
2026-01-01 12:00:00,272.90985,294.6856041439626,261.2325273007196
2026-01-01 13:00:00,292.90985,295.67028367498415,262.95446231366793
2026-01-01 14:00:00,296.32185,297.00969108178026,265.327062772196
2026-01-01 15:00:00,296.32185,298.8017214663376,269.059874061129
2026-01-01 16:00:00,296.32185,301.7834385056327,271.8807148048482
2026-01-01 17:00:00,327.90985,307.8714136902544,279.9058325927613
2026-01-01 18:00:00,332.90985,318.3405459480364,295.28107862539304
2026-01-01 19:00:00,332.90985,316.46065905374496,297.6774242331642
2026-01-01 20:00:00,332.90985,315.0243829290324,295.9899331561918
2026-01-01 21:00:00,332.90985,312.66564744127584,293.2357929502646
2026-01-01 22:00:00,332.90985,309.7159981572987,282.88078686096077
2026-01-01 23:00:00,327.90985,305.4548007723354,277.0035315924048
2026-01-02 00:00:00,329.20101,320.8578569755603,309.17756673032824
2026-01-02 01:00:00,326.20101,328.91542276184975,289.30167396538144
2026-01-02 02:00:00,326.20101,328.7651545570614,277.93363230510937
2026-01-02 03:00:00,329.20101,328.5032065440456,258.6494490896277
2026-01-02 04:00:00,326.20101,328.46519412503403,270.88206763887695
2026-01-02 05:00:00,329.20101,327.24784316997534,293.86553674523043
2026-01-02 06:00:00,329.20101,305.3904779567851,295.84044926401975
2026-01-02 07:00:00,329.20101,303.35069335987276,294.6182370113647
2026-01-02 08:00:00,329.20101,299.85178101557364,281.50130075950426
2026-01-02 09:00:00,326.20101,272.9496781803487,204.3103344241343
2026-01-02 10:00:00,326.20101,273.6067856788679,204.211053164899
2026-01-02 11:00:00,329.20101,295.199853609835,270.37616388216094
2026-01-02 12:00:00,329.20101,303.8892112669703,288.24888696289645
2026-01-02 13:00:00,329.20101,311.7408660504164,298.02546316462394
2026-01-02 14:00:00,329.20101,316.3577837529186,306.40408787542435
2026-01-02 15:00:00,331.20101,317.93320910640404,306.95951537521455
2026-01-02 16:00:00,331.20101,321.5022331747858,311.6191969539984
2026-01-02 17:00:00,352.17901,327.28631714889883,317.13236142144353
2026-01-02 18:00:00,352.17901,346.82459790567384,331.182663919222
2026-01-02 19:00:00,352.17901,348.2448045708798,330.51767553085415
2026-01-02 20:00:00,352.17901,344.43927335711055,331.30666300853545
2026-01-02 21:00:00,352.17901,343.4510683207485,327.39414618107696
2026-01-02 22:00:00,352.17901,343.6279697816657,321.08586806406845
2026-01-02 23:00:00,331.20101,337.6904804786826,307.86398911147467
2026-01-03 00:00:00,342.48147,311.9920145698426,334.63655000453963
2026-01-03 01:00:00,342.48147,342.45263769122744,335.979139980802
2026-01-03 02:00:00,327.48147,342.46725684342886,336.1603601699704
2026-01-03 03:00:00,327.48147,342.26109197494367,336.617062849051
2026-01-03 04:00:00,327.48147,342.3444923741617,337.74987109225253
2026-01-03 05:00:00,327.48147,341.5131886081713,338.1672386993419
2026-01-03 06:00:00,327.48147,319.9554202884009,320.5895346353554
2026-01-03 07:00:00,327.48147,319.1016374045312,318.2179742260845
2026-01-03 08:00:00,327.48147,320.61484161929565,319.0473500865476
2026-01-03 09:00:00,327.48147,318.0872147108037,320.45302955129637
2026-01-03 10:00:00,327.48147,317.9437053102843,321.3844682162482
2026-01-03 11:00:00,327.48147,321.07240664983806,325.50941049131166
2026-01-03 12:00:00,327.48147,327.1098188887268,325.9591375189337
2026-01-03 13:00:00,327.48147,330.1569042702206,327.11094343309975
2026-01-03 14:00:00,332.48147,331.5231310192342,329.77940755294287
2026-01-03 15:00:00,342.48147,334.0831752145563,331.0758667223812
2026-01-03 16:00:00,352.07947,338.29074205222315,331.9126359874959
2026-01-03 17:00:00,354.48147,346.3990816205306,339.4320177100415
2026-01-03 18:00:00,354.48147,366.0502857520364,357.72714345611007
2026-01-03 19:00:00,354.48147,363.79088744223657,363.1985529757372
2026-01-03 20:00:00,354.48147,359.1272996302456,363.51946245662964
2026-01-03 21:00:00,354.48147,360.551211266294,365.79928529470294
2026-01-03 22:00:00,352.07947,360.9531854763611,359.94956040981754
2026-01-03 23:00:00,352.07947,352.3903400130008,349.0087374323131
2026-01-04 00:00:00,282.47952,343.4759853064117,348.46028871364905
2026-01-04 01:00:00,282.47952,282.4142049559142,346.6001689781611
2026-01-04 02:00:00,282.47952,282.4673040342206,337.2132511539208
2026-01-04 03:00:00,282.47952,282.47550907956906,335.2710284272945
2026-01-04 04:00:00,282.47952,282.38756533330496,333.3274704760221
2026-01-04 05:00:00,282.47952,283.62722356276237,333.496492789984
2026-01-04 06:00:00,282.47952,270.18404231817345,315.83768861287507
2026-01-04 07:00:00,282.47952,271.32536600561195,314.75599351519304
2026-01-04 08:00:00,282.47952,272.2433548084142,314.6219092273448
2026-01-04 09:00:00,268.11152,272.2560299843698,314.7648716343676
2026-01-04 10:00:00,268.11152,276.23887343575996,313.4205470448234
2026-01-04 11:00:00,282.47952,275.5618478931964,314.4137233554205
2026-01-04 12:00:00,282.47952,293.5822024819691,319.93710072990694
2026-01-04 13:00:00,282.47952,298.3434799717697,322.37958279800836
2026-01-04 14:00:00,282.47952,302.9263303358709,323.4218069731975
2026-01-04 15:00:00,282.47952,308.20210164475856,329.3377946115873
2026-01-04 16:00:00,330.47952,314.9794296814635,331.6747336758307
2026-01-04 17:00:00,334.47952,323.38180503685095,334.71101620060995
