corte,variante,MAE,MAPE,MAE_rampa,MAE_meseta,MAE_pico
00:00,base,53.27006827709127,16.533429835772182,108.18701242237348,42.678282644527854,75.19487377394194
00:00,ayer,53.48569411200141,16.765471290269474,108.04132961767215,42.90707909866158,75.65386589678084
00:00,oraculo,54.25985112100965,17.435500260400456,104.65078243611856,43.78042528641454,76.50984825199943
23:00,base,61.649347973981264,19.316370125851982,111.93904744008975,53.679486109915445,80.47519561058631
23:00,ayer,61.5896924905932,19.35580931274058,111.44954933809893,53.6411797319228,80.44304027541341
23:00,oraculo,62.55469960847512,20.19865044457543,108.46388767964027,54.97467343584239,82.07895255824131
00:00 gbm,base,51.57362761345986,13.607217835084882,111.83508159367314,39.84299102388578,76.92506172908544
00:00 gbm,ayer,51.38328975215858,13.532057873184348,113.50965076289073,39.34838679766072,75.6142517027048
00:00 gbm,oraculo,51.39327862169745,14.35864178597169,107.51450032104653,40.03848967919337,75.94772666396575
23:00 gbm,base,61.49335346992925,16.949209059491917,117.81059739517136,52.65980941251,80.3177094027178
23:00 gbm,ayer,61.991288408970476,16.93165834503127,117.94618480906384,53.186995688598444,80.64336092768804
23:00 gbm,oraculo,61.16786571578574,17.57832875588653,111.61856386583585,52.71116868952273,81.21219741520187
