fecha_hora,real,pred_fijo,pred_recursivo_1paso,pred_recursivo_dayahead
2026-01-01 00:00:00,327.90985,260.063872799193,260.063872799193,260.063872799193
2026-01-01 01:00:00,307.90985,259.27939079823227,259.4154302871778,259.27939079823227
2026-01-01 02:00:00,296.32185,258.66476694503723,258.9004702968086,258.66476694503723
2026-01-01 03:00:00,296.32185,258.2606879700213,258.5742295562581,258.2606879700213
2026-01-01 04:00:00,296.32185,258.0937848769893,258.48556926361124,258.0937848769893
2026-01-01 05:00:00,296.32185,258.17508980919564,258.64518477711255,258.17508980919564
2026-01-01 06:00:00,296.32185,258.49940657390374,259.04752100718173,258.49940657390374
2026-01-01 07:00:00,296.32185,259.0456060236877,259.6710811615083,259.0456060236877
2026-01-01 08:00:00,272.90985,258.9052895610656,259.60473803958666,258.9052895610656
2026-01-01 09:00:00,104.99185,259.7721850657333,260.50064372243213,259.7721850657333
2026-01-01 10:00:00,103.53785,260.7182830867219,260.92062579826313,260.7182830867219
2026-01-01 11:00:00,244.80985,261.67970784736707,261.34621453145803,261.67970784736707
2026-01-01 12:00:00,272.90985,262.59084611655203,262.2183957809971,262.59084611655203
2026-01-01 13:00:00,292.90985,264.2765339410337,263.92630362898336,264.2765339410337
2026-01-01 14:00:00,296.32185,264.90803695165283,264.6201354504997,264.90803695165283
2026-01-01 15:00:00,296.32185,265.32606688346374,265.1069978774192,265.32606688346374
2026-01-01 16:00:00,296.32185,265.50119966805573,265.35074697954406,265.50119966805573
2026-01-01 17:00:00,327.90985,277.87208855293306,277.78621961138344,277.87208855293306
2026-01-01 18:00:00,332.90985,277.5271802363317,277.5462484667067,277.5271802363317
2026-01-01 19:00:00,332.90985,276.94571814935375,277.0783070160054,276.94571814935375
2026-01-01 20:00:00,332.90985,276.16878730367733,276.414168989421,276.16878730367733
2026-01-01 21:00:00,332.90985,275.2508572928163,275.60824504515153,275.2508572928163
2026-01-01 22:00:00,332.90985,263.9798053315737,264.43084547786196,263.9798053315737
2026-01-01 23:00:00,327.90985,261.007801167311,261.58252772196823,261.007801167311
2026-01-02 00:00:00,329.20101,327.56749067796926,327.6340042020588,327.6340042020588
2026-01-02 01:00:00,326.20101,308.32330273482563,308.3815608969994,308.3807929390691
2026-01-02 02:00:00,326.20101,296.9721276573925,297.0307107327427,297.0212895621228
2026-01-02 03:00:00,329.20101,296.4530056299241,296.51882941547274,296.495030044114
2026-01-02 04:00:00,326.20101,296.2062660325898,296.2805109919862,296.24079646967857
2026-01-02 05:00:00,329.20101,296.2444156837289,296.3257424265148,296.271582620591
2026-01-02 06:00:00,329.20101,296.56133420556955,296.65153669753073,296.5817460959446
2026-01-02 07:00:00,329.20101,297.13263016951873,297.23236865512246,297.1473372020845
2026-01-02 08:00:00,329.20101,276.39365324007747,276.49546604688254,276.40325010867457
2026-01-02 09:00:00,326.20101,116.12099147360301,116.17026705973498,116.12362275077933
2026-01-02 10:00:00,326.20101,115.05105395662719,115.16169248222691,115.05339674864794
2026-01-02 11:00:00,329.20101,252.88253204399896,253.2549292872311,252.88954600422213
2026-01-02 12:00:00,329.20101,280.1194650608038,280.5671988236,280.1302980700788
2026-01-02 13:00:00,329.20101,299.61595192553,300.117816259226,299.63242832795504
2026-01-02 14:00:00,329.20101,303.4612459718322,303.9834759356696,303.4841610252917
2026-01-02 15:00:00,331.20101,303.88352967017795,304.4188421306433,303.9136137085954
2026-01-02 16:00:00,331.20101,304.027502194772,304.5763292057252,304.0651655365535
2026-01-02 17:00:00,352.17901,333.25883320359037,333.8736868676049,333.3084275242792
2026-01-02 18:00:00,352.17901,337.4033713161907,338.0352910514649,337.46121891949207
2026-01-02 19:00:00,352.17901,336.63377729187874,337.27170026689333,336.6979010502873
2026-01-02 20:00:00,352.17901,335.6269056618593,336.2706386139857,335.69559842979737
2026-01-02 21:00:00,352.17901,334.4490733962939,335.09859581240033,334.52031999698124
2026-01-02 22:00:00,352.17901,333.1778406554163,333.83330787866106,333.2494657546699
2026-01-02 23:00:00,331.20101,327.3516187497673,328.00445955784585,327.4204671717
2026-01-03 00:00:00,342.48147,312.35858205296876,312.4395865855976,312.4395865855976
2026-01-03 01:00:00,342.48147,308.7635407909086,308.85672829868264,308.8428773597429
2026-01-03 02:00:00,327.48147,307.9657011337574,308.0731191203103,308.04380274808
2026-01-03 03:00:00,327.48147,309.99372096618913,310.10963698323246,310.0710583087645
2026-01-03 04:00:00,327.48147,307.15439788798045,307.27588216785523,307.2298703501063
2026-01-03 05:00:00,327.48147,309.7583683428739,309.88860035081535,309.8331149038477
2026-01-03 06:00:00,327.48147,310.0811174742661,310.21783575362326,310.15473447859483
2026-01-03 07:00:00,327.48147,310.66981513496546,310.8129006683545,310.7424943775095
2026-01-03 08:00:00,327.48147,311.48130911349915,311.6305863673242,311.5532896000482
2026-01-03 09:00:00,327.48147,309.8619954685295,310.0160128225036,309.93305000868884
2026-01-03 10:00:00,327.48147,310.9239756812989,311.08493223077977,310.9948914715343
2026-01-03 11:00:00,327.48147,314.61707615435387,314.78608948899154,314.68863263123194
2026-01-03 12:00:00,327.48147,315.64497936215093,315.8192668002235,315.7169404305771
2026-01-03 13:00:00,327.48147,316.5364914024746,316.71586589853257,316.6090771506763
2026-01-03 14:00:00,332.48147,317.2249774192806,317.40930372660296,317.29835060397204
2026-01-03 15:00:00,342.48147,319.4154354355098,319.6079580745421,319.4900346035688
2026-01-03 16:00:00,352.07947,319.5578765052868,319.7612330065024,319.63337625431893
2026-01-03 17:00:00,354.48147,337.77436050248997,338.005054218391,337.85439066632745
2026-01-03 18:00:00,354.48147,337.2829106471535,337.5216331753493,337.36367912006557
2026-01-03 19:00:00,354.48147,336.5042298495863,336.75105887103166,336.5855214379169
2026-01-03 20:00:00,354.48147,335.48841242016607,335.7434793370014,335.56995953749185
2026-01-03 21:00:00,354.48147,334.30176591251455,334.5652498288189,334.38326845541604
2026-01-03 22:00:00,352.07947,333.0218284282552,333.29394743704216,333.102975553922
2026-01-03 23:00:00,352.07947,313.6793567013772,313.9441416440509,313.75611773430825
2026-01-04 00:00:00,282.47952,333.97384645907596,334.01170305520634,334.01170305520634
2026-01-04 01:00:00,282.47952,332.9687294019557,332.9786778300096,333.0059966936104
2026-01-04 02:00:00,282.47952,318.89980662436307,318.8830229810463,318.9346751263984
2026-01-04 03:00:00,282.47952,318.40384308948387,318.3673826226901,318.43744814573046
2026-01-04 04:00:00,282.47952,318.200283533369,318.14446127888283,318.2323928431643
2026-01-04 05:00:00,282.47952,318.3027355253733,318.22784422471,318.3332147557037
2026-01-04 06:00:00,282.47952,318.7047990423385,318.61109193116175,318.7336200459443
2026-01-04 07:00:00,282.47952,319.38042995244354,319.26810711765904,319.4076729718691
2026-01-04 08:00:00,282.47952,320.2854376347413,320.15463644376376,320.3112872711382
2026-01-04 09:00:00,268.11152,321.3600864889,321.2108764058413,321.3848213398119
2026-01-04 10:00:00,268.11152,322.53273113451974,322.3570006569333,322.5567072280597
2026-01-04 11:00:00,282.47952,323.72435279713443,323.5220901438079,323.7479813109158
2026-01-04 12:00:00,282.47952,324.8537810830514,324.6330571298998,324.87750133129015
2026-01-04 13:00:00,282.47952,325.8432913839482,325.6040136977016,325.86754063015445
2026-01-04 14:00:00,282.47952,331.16476142990206,330.9029582586304,331.1902802476825
2026-01-04 15:00:00,282.47952,340.767076578275,340.47569813861617,340.79459353390416
2026-01-04 16:00:00,330.47952,349.69054379449375,349.364093350347,349.72036647297136
2026-01-04 17:00:00,334.47952,351.75987594537065,351.42593162926966,351.7916724062356
2026-01-04 18:00:00,347.07752,351.325696295166,350.9872017189291,351.3593148078385
2026-01-04 19:00:00,347.07752,350.5920516509245,350.2549265123355,350.6273901655026
2026-01-04 20:00:00,347.07752,349.6109466058251,349.27483352749,349.64778243595157
2026-01-04 21:00:00,343.47952,348.4513312891292,348.1158282481784,348.4893387635547
2026-01-04 22:00:00,342.47952,345.0497733938639,344.71494795869535,345.0883155197656
2026-01-04 23:00:00,334.47952,343.78903240560595,343.4528267920481,343.8278880184827
2026-01-05 00:00:00,293.94594,284.7489528718679,284.69018137982476,284.69018137982476
2026-01-05 01:00:00,293.94594,283.7786220728644,283.7182544808402,283.71713792898237
2026-01-05 02:00:00,269.57794,282.994843921598,282.9325378290812,282.93021127035325
2026-01-05 03:00:00,262.43094,282.44189553296,282.37441609027877,282.3738689706236
2026-01-05 04:00:00,269.57794,282.1486186127825,282.0750588754522,282.0771562421619
2026-01-05 05:00:00,293.94594,282.12676337546003,282.04834187186583,282.05202799304215
2026-01-05 06:00:00,334.16294,282.37033442540246,282.29053714833185,282.29268314900116
2026-01-05 07:00:00,334.16294,282.85594808335077,282.7797557272499,282.77591090661775
2026-01-05 08:00:00,334.16294,283.5441929333933,283.472034652722,283.46244089788416
2026-01-05 09:00:00,334.16294,271.17255181131355,271.108729933378,271.09456492056535
2026-01-05 10:00:00,334.16294,272.0533862768158,271.9955837171255,271.9752858402886
2026-01-05 11:00:00,334.16294,286.24544464170344,286.1906371699837,286.16332323291687
2026-01-05 12:00:00,334.16294,287.1294164032509,287.0797313909919,287.0487505798905
2026-01-05 13:00:00,338.94594,287.88901625908636,287.8444938621258,287.8104508889041
2026-01-05 14:00:00,338.94594,288.46371729729384,288.4247706941417,288.38773502922993
2026-01-05 15:00:00,338.94594,288.8055590943479,288.772014236223,288.73244308652073
2026-01-05 16:00:00,338.94594,333.2890441249576,333.25403979210716,333.20485922274634
2026-01-05 17:00:00,338.94594,336.7287368520602,336.6932677731107,336.6465980023932
2026-01-05 18:00:00,353.94594,347.696299263801,347.65841171972653,347.6134337567662
2026-01-05 19:00:00,353.94594,346.8316867318666,346.79330415585326,346.7510168407839
2026-01-05 20:00:00,353.94594,345.7230008008983,345.68397050020627,345.6436724509587
2026-01-05 21:00:00,338.94594,341.18392052382956,341.1447058615324,341.10593463413494
2026-01-05 22:00:00,338.94594,338.91547879817693,338.87434869124314,338.83714313382427
2026-01-05 23:00:00,338.94594,330.350956011394,330.309263747691,330.27322419403555
2026-01-06 00:00:00,301.18493,298.32437119592277,298.3000805959351,298.3000805959351
2026-01-06 01:00:00,301.18493,297.19203983812025,297.16628638045364,297.16594257812966
2026-01-06 02:00:00,301.18493,273.7943005980588,273.77040909199496,273.769664607457
2026-01-06 03:00:00,301.18493,266.54701145298816,266.5257569964696,266.5220542123283
2026-01-06 04:00:00,301.18493,272.76309331894623,272.7438901945564,272.7362603488782
2026-01-06 05:00:00,312.18493,295.00228506929915,294.98305042200786,294.9714957013437
2026-01-06 06:00:00,312.18493,331.7200810574639,331.6982540487775,331.6832967474213
2026-01-06 07:00:00,312.18493,332.16120664436795,332.1358127021441,332.1242938962312
2026-01-06 08:00:00,312.18493,332.83979816371993,332.81100710420577,332.80304036239187
2026-01-06 09:00:00,312.18493,333.6932648082397,333.66127136393175,333.6568820998133
2026-01-06 10:00:00,312.18493,334.646855177211,334.6118699454798,334.6109893279137
2026-01-06 11:00:00,312.18493,335.61840866282034,335.58064731923304,335.58311243719885
2026-01-06 12:00:00,312.18493,336.52379448400626,336.48346589211,336.4890266441673
2026-01-06 13:00:00,312.18493,341.67847551563074,341.63499724212545,341.643457578938
2026-01-06 14:00:00,312.18493,342.22727549474024,342.1810226611934,342.19243619497263
2026-01-06 15:00:00,312.18493,342.4994446533179,342.45056050404725,342.4644932280882
2026-01-06 16:00:00,339.18493,342.45767764163617,342.40626652056056,342.42227418456247
2026-01-06 17:00:00,339.18493,342.0868621168197,342.0362465434657,342.0506426475767
2026-01-06 18:00:00,349.60093,355.1340637687696,355.08139577591606,355.0945392724185
2026-01-06 19:00:00,349.60093,354.11304822286627,354.060573974137,354.0719562784867
2026-01-06 20:00:00,339.18493,352.843673357225,352.7911573496203,352.800724993389
2026-01-06 21:00:00,339.18493,337.80184582715674,337.7505628431976,337.759161365678
2026-01-06 22:00:00,322.18493,336.3174927711802,336.2660003155583,336.2726948661877
2026-01-06 23:00:00,312.18493,334.8244594919028,334.77035407900553,334.77751869146346
2026-01-07 00:00:00,252.71747,295.8968988011222,295.91341269355866,295.91341269355866
2026-01-07 01:00:00,252.71747,294.8697825103029,294.8794904873529,294.88493164299626
2026-01-07 02:00:00,245.61747,294.03662744619567,294.0395199504622,294.05019979962293
2026-01-07 03:00:00,245.61747,293.44339830028025,293.4386245908395,293.4552576190824
2026-01-07 04:00:00,249.61747,293.12001242228723,293.10789651817123,293.1301057256257
2026-01-07 05:00:00,252.71747,302.815512182604,302.79568406519417,302.8235626672093
2026-01-07 06:00:00,252.71747,303.057625731849,303.031060672089,303.0640054575219
2026-01-07 07:00:00,252.71747,303.5594659961058,303.52688363531416,303.56437409834484
2026-01-07 08:00:00,252.71747,304.2786898841258,304.24086162741514,304.2823929986993
2026-01-07 09:00:00,245.61747,305.15827113591763,305.1159664209024,305.1610873262065
2026-01-07 10:00:00,249.61747,306.129984733783,306.0828953047217,306.1322636994377
2026-01-07 11:00:00,252.71747,307.1187366403291,307.06807885216864,307.12083709123186
2026-01-07 12:00:00,252.71747,308.04753147440533,307.9942150291294,308.0497969289188
2026-01-07 13:00:00,252.71747,308.8427824400996,308.78707667698217,308.84551707343326
2026-01-07 14:00:00,261.20247,309.4395868886449,309.38154248576615,309.4430333235299
2026-01-07 15:00:00,292.71747,309.78653813413973,309.7271201514229,309.79085913953134
2026-01-07 16:00:00,292.71747,334.17467633724823,334.10959588659523,334.17885652655457
2026-01-07 17:00:00,312.71747,333.92154511257314,333.85505117862516,333.9267155447889
2026-01-07 18:00:00,328.20947,342.6694198330293,342.5999804642518,342.6750563544097
2026-01-07 19:00:00,328.20947,341.7955192705934,341.72594089369164,341.80180762115845
2026-01-07 20:00:00,328.20947,331.4207996896229,331.3530500882215,331.4277921975495
2026-01-07 21:00:00,321.71747,330.16857270468915,330.09944205989933,330.17554142759826
2026-01-07 22:00:00,312.71747,313.7748977628699,313.7078425006913,313.7820323827228
2026-01-07 23:00:00,292.71747,303.6345463668566,303.5673940867839,303.64126119815467
2026-01-08 00:00:00,108.19992,249.5344730683668,249.5988844676232,249.5988844676232
2026-01-08 01:00:00,108.19992,249.05140157265913,249.0020562739693,249.11324876232993
2026-01-08 02:00:00,108.19992,242.35544103910868,242.19853593392853,242.4139094959299
2026-01-08 03:00:00,108.19992,242.23911295945038,241.97720162881666,242.29499861566276
2026-01-08 04:00:00,118.19992,245.9382640131432,245.5667752228992,245.99218441811814
2026-01-08 05:00:00,156.68492,249.06757667449173,248.59663397851884,249.119956704424
2026-01-08 06:00:00,118.19992,249.65075019383036,249.12299109755818,249.7021139280368
2026-01-08 07:00:00,118.19992,250.44941499892624,249.82894456478397,250.5006541724752
2026-01-08 08:00:00,118.19992,251.4295751742307,250.7178570108153,251.48167127253532
2026-01-08 09:00:00,108.19992,246.07222179503964,245.29283951505167,246.12568488400035
2026-01-08 10:00:00,118.19992,250.901942340925,250.01346464834782,250.95849606967764
2026-01-08 11:00:00,156.68492,254.95109638416005,253.96420798091165,255.01159642108922
2026-01-08 12:00:00,228.19992,256.1161039815604,255.07785120309816,256.1810032609977
2026-01-08 13:00:00,118.19992,257.1728944028426,256.13318773183596,257.24266993493495
2026-01-08 14:00:00,238.19992,265.9496396858725,264.78127783756713,266.02568846175535
2026-01-08 15:00:00,270.19992,295.82081293021423,294.51130664313,295.9066782747989
2026-01-08 16:00:00,270.19992,296.3369190182441,295.0251236419435,296.4281347761666
2026-01-08 17:00:00,288.19992,314.97596873017966,313.57059368340003,315.0751819311526
2026-01-08 18:00:00,288.19992,329.10989639914516,327.62708909790234,329.2157308015815
2026-01-08 19:00:00,288.19992,328.7763275779067,327.27256568294035,328.88510526160906
2026-01-08 20:00:00,288.19992,328.20934662258543,326.68079622120047,328.3197464587046
2026-01-08 21:00:00,288.19992,321.5660926167668,320.03945580460874,321.67559862169384
2026-01-08 22:00:00,270.19992,312.5650961444427,311.0536653922531,312.6720148233532
2026-01-08 23:00:00,270.19992,293.5391463700255,292.0894434626067,293.6404380693671
2026-01-09 00:00:00,148.95631,110.774860143224,110.77943583484735,110.77943583484735
2026-01-09 01:00:00,124.95631,110.4385449000102,110.44060048595496,110.43670771767401
2026-01-09 02:00:00,124.95631,110.17459145954165,110.17216555682378,110.16681873153998
2026-01-09 03:00:00,124.95631,110.0003251669653,109.99418980873278,109.98748162722504
