fecha_hora,real,q10,q50,q90
2026-01-05 00:00:00,293.94594,290.7267,326.2926,337.16824
2026-01-05 01:00:00,293.94594,276.22247,318.12802,337.97668
2026-01-05 02:00:00,269.57794,271.28387,314.64206,331.15872
2026-01-05 03:00:00,262.43094,270.6428,313.48947,333.37173
2026-01-05 04:00:00,269.57794,275.34003,317.98703,337.25
2026-01-05 05:00:00,293.94594,284.9964,322.52435,340.3698
2026-01-05 06:00:00,334.16294,294.386,322.9901,342.5185
2026-01-05 07:00:00,334.16294,300.74863,323.78564,345.90192
2026-01-05 08:00:00,334.16294,301.68027,324.5229,347.5178
2026-01-05 09:00:00,334.16294,304.31427,325.51758,348.77063
2026-01-05 10:00:00,334.16294,306.12323,329.62006,356.21487
2026-01-05 11:00:00,334.16294,307.10037,330.83853,360.55435
2026-01-05 12:00:00,334.16294,306.90506,333.80905,360.50958
2026-01-05 13:00:00,338.94594,312.55585,338.3659,367.16583
2026-01-05 14:00:00,338.94594,323.37982,345.10834,372.59985
2026-01-05 15:00:00,338.94594,326.588,346.7631,380.10416
2026-01-05 16:00:00,338.94594,332.20898,348.67117,378.93057
2026-01-05 17:00:00,338.94594,334.10925,350.81662,397.34198
2026-01-05 18:00:00,353.94594,336.6976,367.72516,428.8781
2026-01-05 19:00:00,353.94594,335.34137,362.80948,425.1913
2026-01-05 20:00:00,353.94594,328.08176,350.65063,392.94592
2026-01-05 21:00:00,338.94594,327.0135,349.72412,378.11404
2026-01-05 22:00:00,338.94594,319.22443,346.16766,373.77158
2026-01-05 23:00:00,338.94594,301.34702,340.93277,374.90738
2026-01-06 00:00:00,301.18493,291.35995,325.43002,341.1553
2026-01-06 01:00:00,301.18493,275.36746,312.87408,339.20493
2026-01-06 02:00:00,301.18493,267.13846,308.62122,330.7351
2026-01-06 03:00:00,301.18493,270.0778,312.0091,334.87808
2026-01-06 04:00:00,301.18493,275.43576,318.71307,338.8082
2026-01-06 05:00:00,312.18493,289.79837,326.2643,344.95325
2026-01-06 06:00:00,312.18493,299.3363,330.11746,346.6406
2026-01-06 07:00:00,312.18493,308.6292,331.62067,353.1864
2026-01-06 08:00:00,312.18493,312.54944,334.84167,354.80164
2026-01-06 09:00:00,312.18493,312.79312,338.17206,358.6148
2026-01-06 10:00:00,312.18493,318.21353,337.4756,358.0927
2026-01-06 11:00:00,312.18493,318.99985,337.11087,362.93597
2026-01-06 12:00:00,312.18493,317.9476,341.93124,370.79425
2026-01-06 13:00:00,312.18493,317.68274,342.91663,378.7585
2026-01-06 14:00:00,312.18493,324.98157,347.78812,379.2587
2026-01-06 15:00:00,312.18493,332.0241,350.72757,385.92297
2026-01-06 16:00:00,339.18493,333.70593,354.9519,393.33466
2026-01-06 17:00:00,339.18493,332.00098,353.90082,398.54633
2026-01-06 18:00:00,349.60093,330.72946,355.88483,405.74277
2026-01-06 19:00:00,349.60093,332.17395,360.33786,411.4659
2026-01-06 20:00:00,339.18493,330.2845,357.4175,405.76273
2026-01-06 21:00:00,339.18493,325.51007,352.09464,386.4102
2026-01-06 22:00:00,322.18493,318.07413,342.94028,372.2194
2026-01-06 23:00:00,312.18493,298.1792,337.70712,364.29044
2026-01-07 00:00:00,252.71747,244.58693,292.34662,310.36975
2026-01-07 01:00:00,252.71747,215.19867,270.41702,308.2608
2026-01-07 02:00:00,245.61747,197.32446,255.30058,293.84525
2026-01-07 03:00:00,245.61747,190.56348,248.85666,290.0218
2026-01-07 04:00:00,249.61747,186.72803,256.0856,285.65768
2026-01-07 05:00:00,252.71747,199.2713,264.31964,291.86865
