variante,MAE,MAPE,sMAPE,MAE_rampa,MAE_pico,p_MAE,p_sMAPE
sin calibrar (ensamble actual),41.189288020524955,10.716075265963179,10.037007518394784,105.5296114412602,62.25620786195191,,
"k global, expansiva",41.187957432693416,10.717427926724408,10.038505074888135,105.55374068487207,62.25421335527896,0.8201502251708839,0.5524225318729348
"k global, ventana 90 dias",41.19677088773506,10.722872496427275,10.043979345784681,105.61285604381058,62.25979868391342,0.6261133722019496,0.26608003851450024
"k por hora, expansiva",41.14279215836434,10.731534010416352,10.041104542299639,106.10598412141812,62.1481676901484,0.727290847498276,0.8892094834320727
"k por hora, ventana 90 dias",41.31796043735366,10.759703318617255,10.066567241860316,105.33360715163799,62.34138532107742,0.5075676993592981,0.38750218584521856
"k por hora, encogido 50% a 1",41.074711659555405,10.695646471241318,10.0111439489597,105.67643870239365,62.07583829115392,0.08018036983742173,0.07232667294829637
k = igualar varianza (control),50.68327701563485,13.797754461527678,13.7731053184913,113.06611865768188,71.94990362474684,2.837192577015999e-21,5.894169355907989e-16
