fecha_hora,real,pred_xgb_afinado,pred_catboost_afinado
2026-01-01 00:00:00,327.90985,243.82854,258.85042723031415
2026-01-01 01:00:00,307.90985,243.28464,256.4391281355348
2026-01-01 02:00:00,296.32185,242.59271,255.7946089296551
2026-01-01 03:00:00,296.32185,242.48355,255.57691796939665
2026-01-01 04:00:00,296.32185,243.41893,254.92676482216916
2026-01-01 05:00:00,296.32185,243.41765,253.3023524750825
2026-01-01 06:00:00,296.32185,241.94026,253.57001880476378
2026-01-01 07:00:00,296.32185,242.08383,255.6585326839747
2026-01-01 08:00:00,272.90985,242.40056,254.81184856607257
2026-01-01 09:00:00,104.99185,242.3608,254.99688189639502
2026-01-01 10:00:00,103.53785,243.12497,256.6627215862423
2026-01-01 11:00:00,244.80985,245.91345,255.5395631754671
2026-01-01 12:00:00,272.90985,246.09528,255.8880296490649
2026-01-01 13:00:00,292.90985,249.85391,254.3863721375758
2026-01-01 14:00:00,296.32185,250.27519,255.03959641103108
2026-01-01 15:00:00,296.32185,247.9146,250.5252207654614
2026-01-01 16:00:00,296.32185,252.26408,250.799514544732
2026-01-01 17:00:00,327.90985,267.81433,267.3245362390243
2026-01-01 18:00:00,332.90985,272.42715,274.62791076722596
2026-01-01 19:00:00,332.90985,272.7291,275.25490356673276
2026-01-01 20:00:00,332.90985,272.8242,277.64824317427326
2026-01-01 21:00:00,332.90985,267.10968,272.0671201117663
2026-01-01 22:00:00,332.90985,249.98691,260.4768675629686
2026-01-01 23:00:00,327.90985,245.8988,254.26202039769672
2026-01-02 00:00:00,329.20101,313.743,319.4341258780764
2026-01-02 01:00:00,326.20101,295.25687,292.0471289619866
2026-01-02 02:00:00,326.20101,284.05884,287.77012542283705
2026-01-02 03:00:00,329.20101,282.50516,286.7629622546935
2026-01-02 04:00:00,326.20101,283.93167,287.76607706996737
2026-01-02 05:00:00,329.20101,292.351,290.16080552349905
2026-01-02 06:00:00,329.20101,294.54437,291.15571836013487
2026-01-02 07:00:00,329.20101,294.62527,294.9795502956987
2026-01-02 08:00:00,329.20101,270.05515,277.33507429321304
2026-01-02 09:00:00,326.20101,149.89061,164.95032688186427
2026-01-02 10:00:00,326.20101,146.22194,161.21690610059832
2026-01-02 11:00:00,329.20101,251.00888,267.1753365896743
2026-01-02 12:00:00,329.20101,265.69937,285.49752864586185
2026-01-02 13:00:00,329.20101,290.7696,298.422297578916
2026-01-02 14:00:00,329.20101,302.20593,304.11187511259817
2026-01-02 15:00:00,331.20101,309.5108,305.2538979839035
2026-01-02 16:00:00,331.20101,311.35342,313.7046631242548
2026-01-02 17:00:00,352.17901,342.46936,341.4319504740688
2026-01-02 18:00:00,352.17901,344.48926,342.8023725420311
2026-01-02 19:00:00,352.17901,344.99887,343.29875291891295
2026-01-02 20:00:00,352.17901,342.21716,340.8475577278242
2026-01-02 21:00:00,352.17901,340.78204,339.5464158965245
2026-01-02 22:00:00,352.17901,330.8515,332.28647078106894
2026-01-02 23:00:00,331.20101,325.2416,320.7030760132642
2026-01-03 00:00:00,342.48147,310.43253,309.394279381373
2026-01-03 01:00:00,342.48147,314.82788,316.40677071721177
2026-01-03 02:00:00,327.48147,314.17358,315.52402495172896
2026-01-03 03:00:00,327.48147,314.22034,314.40873634316057
2026-01-03 04:00:00,327.48147,314.22034,313.5013148783355
2026-01-03 05:00:00,327.48147,313.4096,311.1958623886138
2026-01-03 06:00:00,327.48147,309.81085,301.3537929157794
2026-01-03 07:00:00,327.48147,309.71823,303.033849379017
2026-01-03 08:00:00,327.48147,310.30405,303.19905004529994
2026-01-03 09:00:00,327.48147,308.76315,304.03937449294034
2026-01-03 10:00:00,327.48147,314.80383,319.6536551310008
2026-01-03 11:00:00,327.48147,319.04166,321.7500891473594
2026-01-03 12:00:00,327.48147,316.78644,322.1289483071359
2026-01-03 13:00:00,327.48147,320.31345,322.0282371663973
2026-01-03 14:00:00,332.48147,320.8096,322.9391543336705
2026-01-03 15:00:00,342.48147,321.4619,324.27827643276623
2026-01-03 16:00:00,352.07947,321.018,324.76323348392407
2026-01-03 17:00:00,354.48147,334.8979,342.6602392765046
2026-01-03 18:00:00,354.48147,340.34,345.9466196790274
2026-01-03 19:00:00,354.48147,340.75247,345.7962233448398
2026-01-03 20:00:00,354.48147,335.52557,343.39329550757765
