ensamble,n,mae,rmse,mape
3a+5a+completa,3,54.53267738461566,96.83674774706255,15.895123777536552
5a+completa,2,54.58584178054341,97.1742991539559,15.95309853376844
3a+completa,2,54.75836523734847,97.82524977750136,15.781386988672702
completa,1,55.59130102981849,100.43020324498828,15.876569402011354
3a+5a,2,55.722568721495136,97.58497320529895,16.28700289426193
5a,1,56.906742597222866,98.89142314580575,16.713952359432508
3a,1,57.16915362772272,99.39749945849421,16.46029908321908
