config,MAE,MAPE,sMAPE
A  4 votantes 72h (vigente),46.199190551252535,12.79418719124544,11.849171790547237
B  solo ENS24,40.46617043022523,10.261924653016589,9.639670778031842
"C  4 votantes + ENS24, LAD",40.39358557768729,10.259455970597202,9.623850432317111
"D  4 votantes + ENS24, comb. sMAPE",40.392043149658505,10.253032159744146,9.622160331439082
"E  4 votantes + 14 votantes 24h, LAD",42.3727808532329,11.202866025176007,10.275307654201159
"F  4 votantes + 14 votantes 24h, sMAPE",42.44437675230781,11.133437614589335,10.210046164980135
"G  todo (ENS24 + individuales), sMAPE",40.37667565241293,10.258833371054802,9.623561841175821
