hora,corr_err_salto,MAE_modelo,MAE_persistencia,ganancia_vs_pers_%
0,0.9738033363823491,47.36836387827339,46.76315412037037,-1.2942021753818977
1,0.0772620248055124,7.6004061439182244,47.14721930555556,83.87941801050685
2,0.10891703233714968,12.280827787761236,47.08092837962963,73.91549357579204
3,0.062023985924806124,13.527158741550156,45.44702597222222,70.23532684004863
4,0.07945523571018728,13.549688742168689,42.252156157407406,67.93136735628286
5,0.21765384429904538,20.85467135616521,43.374119768518526,51.91909030669992
6,0.6458887945896242,35.583989912006395,47.93164458333334,25.760966014549048
7,0.6793547431630921,35.25382045167276,49.282879675925926,28.466395057483197
8,0.6821369993120422,43.72775568448795,61.09108050925926,28.422029337228103
9,0.6963429406963387,44.019821262986206,61.51117560185186,28.436059248945746
10,0.6852551051355185,44.19325448614187,60.63312152777777,27.113674221942084
11,0.6602112334434834,41.61117768429215,57.87960717592592,28.107359889616458
12,0.6713112384958931,39.07572475099394,51.47450763888889,24.08722969217425
13,0.664039473850835,39.50000604272501,51.91900597222223,23.919949345990265
14,0.7221147936460595,39.89422043121662,55.09810356481481,27.594204064960348
15,0.7373433351353835,39.51630201964491,54.617681712962955,27.649250608404863
16,0.6564414952238585,36.525484354967844,45.63027726851851,19.953402562014013
17,0.6632365547065655,36.782771706654586,41.52344541666666,11.416860191734635
18,0.8066437485924738,90.16758657401961,102.4450911574074,11.984473286790621
19,0.6237200467996653,104.06046528580244,110.3205633796296,5.674461679718979
20,0.8934111281020299,79.27548542502718,88.93338171296297,10.859697564528847
21,0.8675241529317228,52.737766384511005,59.583914305555545,11.489926435407439
22,0.7705357363074747,36.76107016342954,39.34527393518519,6.568015706315067
23,0.7493976031488395,34.67509322218201,42.31072291666668,18.04655928362053
