fecha_hora,real,NBEATSx_rec,NHITS_rec
2026-01-05 17:00:00,338.94594,349.93106,343.71954
2026-01-05 18:00:00,353.94594,348.29346,343.49228
2026-01-05 19:00:00,353.94594,352.0149,347.5727
2026-01-05 20:00:00,353.94594,355.6975,356.6869
2026-01-05 21:00:00,338.94594,351.7814,355.72827
2026-01-05 22:00:00,338.94594,344.67102,346.38538
2026-01-05 23:00:00,338.94594,337.12244,340.20853
2026-01-06 00:00:00,301.18493,322.20566,330.7901
2026-01-06 01:00:00,301.18493,303.31952,325.6054
2026-01-06 02:00:00,301.18493,292.26346,315.90332
2026-01-06 03:00:00,301.18493,289.23373,311.85126
2026-01-06 04:00:00,301.18493,291.71588,312.76166
2026-01-06 05:00:00,312.18493,298.7142,315.87418
2026-01-06 06:00:00,312.18493,302.47702,320.77167
2026-01-06 07:00:00,312.18493,307.79507,325.06888
2026-01-06 08:00:00,312.18493,311.12122,328.0958
2026-01-06 09:00:00,312.18493,314.6189,331.28806
2026-01-06 10:00:00,312.18493,320.6248,333.38956
2026-01-06 11:00:00,312.18493,323.51968,335.08722
2026-01-06 12:00:00,312.18493,322.9093,336.91913
2026-01-06 13:00:00,312.18493,328.07312,337.56555
2026-01-06 14:00:00,312.18493,332.1674,338.0891
2026-01-06 15:00:00,312.18493,335.75085,339.27478
2026-01-06 16:00:00,339.18493,337.92416,341.67307
2026-01-06 17:00:00,339.18493,334.6723,343.29922
2026-01-06 18:00:00,349.60093,335.9291,344.10007
2026-01-06 19:00:00,349.60093,339.93753,346.18204
2026-01-06 20:00:00,339.18493,347.1723,349.99503
2026-01-06 21:00:00,339.18493,339.81897,347.34024
2026-01-06 22:00:00,322.18493,332.96786,340.5455
2026-01-06 23:00:00,312.18493,325.9513,336.09048
2026-01-07 00:00:00,252.71747,294.91895,304.72745
2026-01-07 01:00:00,252.71747,279.82138,299.7124
2026-01-07 02:00:00,245.61747,271.63953,290.38242
2026-01-07 03:00:00,245.61747,266.51758,285.63477
2026-01-07 04:00:00,249.61747,267.86847,285.07953
2026-01-07 05:00:00,252.71747,272.78546,286.8419
2026-01-07 06:00:00,252.71747,275.0764,291.03607
2026-01-07 07:00:00,252.71747,277.7874,295.3227
2026-01-07 08:00:00,252.71747,280.83524,299.02136
2026-01-07 09:00:00,245.61747,280.583,302.3795
2026-01-07 10:00:00,249.61747,281.36536,304.70435
2026-01-07 11:00:00,252.71747,286.032,306.72406
2026-01-07 12:00:00,252.71747,284.81012,308.4466
2026-01-07 13:00:00,252.71747,288.27237,309.4194
2026-01-07 14:00:00,261.20247,291.4277,310.12408
2026-01-07 15:00:00,292.71747,295.03903,310.86282
2026-01-07 16:00:00,292.71747,297.54208,312.50894
2026-01-07 17:00:00,312.71747,300.38223,313.93976
2026-01-07 18:00:00,328.20947,303.67703,315.1752
2026-01-07 19:00:00,328.20947,308.13226,317.76144
2026-01-07 20:00:00,328.20947,313.31146,321.47687
2026-01-07 21:00:00,321.71747,308.28726,318.93994
2026-01-07 22:00:00,312.71747,299.49902,312.30206
2026-01-07 23:00:00,292.71747,290.61273,307.64047
2026-01-08 00:00:00,108.19992,261.04514,275.7166
2026-01-08 01:00:00,108.19992,232.05418,262.9044
2026-01-08 02:00:00,108.19992,217.4327,244.38644
2026-01-08 03:00:00,108.19992,209.87572,235.46553
2026-01-08 04:00:00,118.19992,214.7284,234.70032
2026-01-08 05:00:00,156.68492,220.7801,238.37079
2026-01-08 06:00:00,118.19992,227.16034,245.79488
2026-01-08 07:00:00,118.19992,229.46733,252.1923
2026-01-08 08:00:00,118.19992,227.3371,258.6815
2026-01-08 09:00:00,108.19992,228.11855,263.57245
2026-01-08 10:00:00,118.19992,230.59203,265.85806
2026-01-08 11:00:00,156.68492,234.05072,269.53357
2026-01-08 12:00:00,228.19992,237.9201,272.38892
2026-01-08 13:00:00,118.19992,245.45505,274.36765
