modelo,mae,corr_f,mhd_horas,mpd_cop_kwh,ratio_amplitud
Ensamble v4 (QRA franjas),42.506472848317024,0.7994526924065808,5.013888888888889,47.43304166666667,0.9359697807182388
Ensamble v1 (NNLS),44.51303295869662,0.815567026775624,4.5092592592592595,53.26625,0.8029879249858026
N-HiTS,46.43820446276535,0.7786465340340575,5.731481481481482,50.90950462962964,0.7361365586926385
N-BEATSx,46.82351069790311,0.7754744558334191,5.703703703703703,58.821115740740744,0.8052352102160705
ARX+GARCH,55.833139118272214,0.7724307934933073,8.018518518518519,81.0509212962963,0.9747095146055735
Persistencia,56.399836739969146,0.8349080928940348,3.9722222222222223,65.45097685185185,1.0
XGBoost,61.38937341192317,0.7980141958716943,5.027777777777778,71.01358333333334,0.7918105770732222
