fecha_hora,real,pred_mae,pred_mape,pred_smape
2026-01-01 01:00:00,307.90985,326.3511644909561,326.5969082595482,326.6157090536226
2026-01-01 02:00:00,296.32185,325.8459028721594,326.2014562253763,326.2064352153601
2026-01-01 03:00:00,296.32185,324.57357317311744,325.16406703102655,325.1394292347711
2026-01-01 04:00:00,296.32185,324.4281174511463,325.09264131773114,325.0587308902358
2026-01-01 05:00:00,296.32185,323.2889027422179,323.8075006360332,323.7915352092173
2026-01-01 06:00:00,296.32185,281.0295666554938,276.0732296006853,278.18093805050654
2026-01-01 07:00:00,296.32185,283.5136728552139,278.97588467950436,281.16972659115817
2026-01-01 08:00:00,272.90985,291.28408085295086,287.0584833138454,289.5175397088923
2026-01-01 09:00:00,104.99185,296.600011488984,292.4553682761823,295.0818570729876
2026-01-01 10:00:00,103.53785,297.38076711060893,293.3214676631478,295.93123784376667
2026-01-01 11:00:00,244.80985,298.90464779909024,294.90253880989906,297.51683319607906
2026-01-01 12:00:00,272.90985,297.2324886337223,299.2827467758753,299.90279475221314
2026-01-01 13:00:00,292.90985,299.30477293848014,299.89712771771934,300.99958372880945
2026-01-01 14:00:00,296.32185,299.70545689387404,300.29777067044256,301.24043661904847
2026-01-01 15:00:00,296.32185,302.73449471415177,304.14835449655226,304.92702530883486
2026-01-01 16:00:00,296.32185,305.8042656445674,306.5397454321964,307.7511952743396
2026-01-01 17:00:00,327.90985,310.1497635921419,309.0775743871288,310.595964996044
2026-01-01 18:00:00,332.90985,321.05313450072055,321.1045389965657,322.5211018315556
2026-01-01 19:00:00,332.90985,318.7447343431117,317.9555798674437,319.2794956701826
2026-01-01 20:00:00,332.90985,320.6845960986968,320.34625796731535,321.6965025466208
2026-01-01 21:00:00,332.90985,317.2674452524514,316.36566147425043,317.6237144960957
2026-01-01 22:00:00,332.90985,312.0331814259278,310.85174504623063,311.7726832059364
2026-01-01 23:00:00,327.90985,309.3678122031844,308.14495375981915,309.0079007279489
2026-01-02 00:00:00,329.20101,321.93735869828845,321.9311153046042,321.9906368583295
2026-01-02 01:00:00,326.20101,329.0119657958933,328.9421514403064,329.01565409990934
2026-01-02 02:00:00,326.20101,328.9386770366633,328.88449526972545,328.9551163297405
2026-01-02 03:00:00,329.20101,328.64127342407767,328.6244851112483,328.6885432993129
2026-01-02 04:00:00,326.20101,328.6039626752663,328.6205037966044,328.6792430416567
2026-01-02 05:00:00,329.20101,327.31392889171184,327.3264518293343,327.38594897483824
2026-01-02 06:00:00,329.20101,309.4402471988095,301.890785097164,307.4231860182942
2026-01-02 07:00:00,329.20101,308.36511089284244,300.9529216593687,306.4407496177815
2026-01-02 08:00:00,329.20101,304.5967455874506,297.63649800191854,303.43983280267037
2026-01-02 09:00:00,326.20101,290.0224511047034,287.808591797003,296.4056710980047
2026-01-02 10:00:00,326.20101,289.950588948466,287.6398285117114,296.2687751216433
2026-01-02 11:00:00,329.20101,304.00251973284185,297.87860316190336,304.24973549645625
2026-01-02 12:00:00,329.20101,303.66302081487856,302.23187204247625,303.59521989296024
2026-01-02 13:00:00,329.20101,312.0292068505559,308.8154848657248,310.51206731364255
2026-01-02 14:00:00,329.20101,315.12201989888354,311.18856439346445,313.2483093777308
2026-01-02 15:00:00,331.20101,316.2358983778115,312.5044181497562,314.50489371673854
2026-01-02 16:00:00,331.20101,318.49920553720347,314.10934060626124,316.49377159690715
2026-01-02 17:00:00,352.17901,326.9900883690054,320.9914282799521,322.9512944637111
2026-01-02 18:00:00,352.17901,344.11997300634334,342.32675169204117,344.9319684420217
2026-01-02 19:00:00,352.17901,346.43247299799606,345.3676202069805,347.91784431354125
2026-01-02 20:00:00,352.17901,343.37804533975344,341.42347592297983,344.08711211159243
2026-01-02 21:00:00,352.17901,341.6629041662757,339.91436159104967,342.63525184825903
2026-01-02 22:00:00,352.17901,340.87803995365067,338.85000569143807,341.5055865804786
2026-01-02 23:00:00,331.20101,337.64277277275085,335.308133062235,337.8015398376498
2026-01-03 00:00:00,342.48147,312.85277403231976,312.4370072974883,312.5352101779356
2026-01-03 01:00:00,342.48147,342.4131213978145,342.3281074781521,342.39193612887516
2026-01-03 02:00:00,327.48147,342.41540606324594,342.32980804168415,342.39371011960736
2026-01-03 03:00:00,327.48147,342.2646472201423,342.16967336780976,342.2347103112645
2026-01-03 04:00:00,327.48147,342.3714785999211,342.2955285465148,342.35821633703245
2026-01-03 05:00:00,327.48147,341.62719635068146,341.56123432316963,341.6225018522774
2026-01-03 06:00:00,327.48147,330.0968286800786,324.41432044708984,327.3595760090976
2026-01-03 07:00:00,327.48147,326.8545386276916,321.3428672080162,324.1847409303103
2026-01-03 08:00:00,327.48147,326.70243782308717,321.25034329103335,324.08971563288793
2026-01-03 09:00:00,327.48147,325.91365863838905,320.7114422724036,323.55106953812947
2026-01-03 10:00:00,327.48147,327.32440242432386,322.07716290156975,324.9563492218278
2026-01-03 11:00:00,327.48147,330.45283152330484,324.76435635794644,327.7169769950335
2026-01-03 12:00:00,327.48147,332.60813572028917,330.29653417396827,331.4095677950339
2026-01-03 13:00:00,327.48147,333.20556056067437,329.68807382862366,331.2152815447782
2026-01-03 14:00:00,332.48147,333.96691464500805,330.88176355611137,332.35550761030925
2026-01-03 15:00:00,342.48147,337.0996827201503,334.8539886872568,336.24377652972316
2026-01-03 16:00:00,352.07947,339.7910394412291,336.76287966002434,338.47601399823276
2026-01-03 17:00:00,354.48147,347.5752759835728,342.57925602275037,344.4545770161465
2026-01-03 18:00:00,354.48147,366.27975472961094,363.5878561197717,365.9437407581674
2026-01-03 19:00:00,354.48147,363.0079240764149,359.7816230916377,362.0004958123729
2026-01-03 20:00:00,354.48147,362.26093082343147,359.406179840802,361.53063264437395
2026-01-03 21:00:00,354.48147,365.6506124894335,363.58798203340496,365.807255417494
2026-01-03 22:00:00,352.07947,363.07881005666144,360.57347809242026,362.7481264881066
2026-01-03 23:00:00,352.07947,350.83447409955716,348.19190895628856,349.9875963574208
2026-01-04 00:00:00,282.47952,344.17740868488477,343.86030423374973,343.9535088791421
2026-01-04 01:00:00,282.47952,282.48606483627935,282.40867551477413,282.457559399807
2026-01-04 02:00:00,282.47952,282.45567372563335,282.38482275039064,282.43288357793585
2026-01-04 03:00:00,282.47952,282.3902970638017,282.3310636338882,282.3776593697173
2026-01-04 04:00:00,282.47952,282.28793264041286,282.25372977610994,282.2971778889248
2026-01-04 05:00:00,282.47952,283.6235417457985,283.58961603578393,283.6333414316813
2026-01-04 06:00:00,282.47952,275.57191489324526,269.8704509625611,271.7796738355635
2026-01-04 07:00:00,282.47952,275.41706364624895,269.58465560204104,271.47561184085316
2026-01-04 08:00:00,282.47952,276.75209263213884,270.76678568971624,272.66493831816695
2026-01-04 09:00:00,268.11152,279.48173315431757,273.66519855837635,275.62407965136583
2026-01-04 10:00:00,268.11152,281.52837984460047,275.5508026429492,277.528682423749
2026-01-04 11:00:00,282.47952,285.4439513112404,279.47986975828337,281.55388061584443
2026-01-04 12:00:00,282.47952,297.91964825017976,292.8636506640291,293.48968203756453
2026-01-04 13:00:00,282.47952,300.4054598774327,294.46176727030326,295.48847544544486
2026-01-04 14:00:00,282.47952,306.13768248839614,300.00282216874814,301.1995065432584
2026-01-04 15:00:00,282.47952,313.731225551831,308.84191811784785,309.56462264723655
2026-01-04 16:00:00,330.47952,320.3338148309031,316.47075216662364,316.6391567947432
2026-01-04 17:00:00,334.47952,327.46466719774105,321.20374820300935,322.41296725131446
2026-01-04 18:00:00,347.07752,345.02779080739293,339.9098350557873,342.4448985451153
2026-01-04 19:00:00,347.07752,346.1172116405276,341.12030451488613,343.6455535302633
2026-01-04 20:00:00,347.07752,343.4174045007798,338.83210094191423,341.3434189543529
2026-01-04 21:00:00,343.47952,342.2196168407249,338.52641434511577,341.23491962301995
2026-01-04 22:00:00,342.47952,334.1537461268296,330.08638245350124,332.81567052649746
2026-01-04 23:00:00,334.47952,323.40884203240415,318.41614678104213,321.13812327118757
2026-01-05 00:00:00,293.94594,294.3463226566847,294.1270600564527,294.196418618072
2026-01-05 01:00:00,293.94594,293.80118255680355,293.7522107295538,293.8001903504347
2026-01-05 02:00:00,269.57794,293.7686901399144,293.72669660011263,293.77379776983594
2026-01-05 03:00:00,262.43094,293.6907605530464,293.64163644199823,293.6896092832766
2026-01-05 04:00:00,269.57794,293.8325185761823,293.7766947924845,293.82553682886544
2026-01-05 05:00:00,293.94594,294.67040295491154,294.56969897961176,294.6243375449835
2026-01-05 06:00:00,334.16294,289.9249518019775,285.2711301564244,287.7126980571496
2026-01-05 07:00:00,334.16294,293.1305393570398,288.41659785257616,290.9562950483005
2026-01-05 08:00:00,334.16294,296.1260667737501,291.39146637736405,294.00229458733327
2026-01-05 09:00:00,334.16294,298.0643665169483,293.9014792125764,296.61162670013033
2026-01-05 10:00:00,334.16294,302.30680908467457,298.02427077540847,300.79850847598277
2026-01-05 11:00:00,334.16294,308.39134823220076,303.94088339747384,306.7835563750728
2026-01-05 12:00:00,334.16294,305.7823151940925,304.9672223732856,306.19842212672484
2026-01-05 13:00:00,338.94594,310.1671925569477,307.782256456662,309.55925313083526
2026-01-05 14:00:00,338.94594,316.0098423111374,313.5459777605392,315.55817472654076
2026-01-05 15:00:00,338.94594,320.8953494058401,318.8952397112047,320.88306604129303
2026-01-05 16:00:00,338.94594,332.13705873869327,328.90110833983334,329.5987101815254
2026-01-05 17:00:00,338.94594,336.3310427640219,330.5879845730565,332.02691189610636
2026-01-05 18:00:00,353.94594,352.58937296113004,347.5858229734291,350.03595427713833
2026-01-05 19:00:00,353.94594,357.2928987110372,352.58077689943195,354.9432298502393
2026-01-05 20:00:00,353.94594,351.6489812195373,346.41297824837676,348.7183527297325
2026-01-05 21:00:00,338.94594,347.05328318625294,342.8011707404313,345.33113900219905
2026-01-05 22:00:00,338.94594,337.35529175484226,333.29358023938494,335.9937882181054
2026-01-05 23:00:00,338.94594,324.8678348135119,320.7968209911111,323.35384277695965
2026-01-06 00:00:00,301.18493,298.1289247650166,297.9305585769947,298.05224884498705
2026-01-06 01:00:00,301.18493,300.9027944655096,300.87540021810776,300.90463391676656
2026-01-06 02:00:00,301.18493,300.7547962283829,300.7347067543904,300.7544224606153
2026-01-06 03:00:00,301.18493,300.6778386658817,300.6558519785388,300.67455399664493
2026-01-06 04:00:00,301.18493,300.7180511089895,300.7116404591677,300.7267882425474
2026-01-06 05:00:00,312.18493,301.26957532173486,301.24585296400977,301.2697020951907
2026-01-06 06:00:00,312.18493,295.3349500139501,289.7819812665395,293.13945338439106
2026-01-06 07:00:00,312.18493,298.9567075090739,293.075116202555,296.6024054091747
