ds,y,NHITS,ventana,semilla
2026-01-05 17:00:00,338.94594,342.03662,1a,42
2026-01-05 18:00:00,353.94594,346.9345,1a,42
2026-01-05 19:00:00,353.94594,349.0729,1a,42
2026-01-05 20:00:00,353.94594,350.476,1a,42
2026-01-05 21:00:00,338.94594,347.3454,1a,42
2026-01-05 22:00:00,338.94594,341.5399,1a,42
2026-01-05 23:00:00,338.94594,333.1104,1a,42
2026-01-06 00:00:00,301.18493,323.93744,1a,42
2026-01-06 01:00:00,301.18493,317.04312,1a,42
2026-01-06 02:00:00,301.18493,302.6618,1a,42
2026-01-06 03:00:00,301.18493,294.24445,1a,42
2026-01-06 04:00:00,301.18493,288.04095,1a,42
2026-01-06 05:00:00,312.18493,285.97858,1a,42
2026-01-06 06:00:00,312.18493,284.4347,1a,42
2026-01-06 07:00:00,312.18493,280.1278,1a,42
2026-01-06 08:00:00,312.18493,282.50458,1a,42
2026-01-06 09:00:00,312.18493,277.00797,1a,42
2026-01-06 10:00:00,312.18493,281.06955,1a,42
2026-01-06 11:00:00,312.18493,286.73297,1a,42
2026-01-06 12:00:00,312.18493,290.46558,1a,42
2026-01-06 13:00:00,312.18493,294.24426,1a,42
2026-01-06 14:00:00,312.18493,299.85193,1a,42
2026-01-06 15:00:00,312.18493,300.08524,1a,42
2026-01-06 16:00:00,339.18493,303.30878,1a,42
2026-01-06 17:00:00,339.18493,308.29022,1a,42
2026-01-06 18:00:00,349.60093,315.7315,1a,42
2026-01-06 19:00:00,349.60093,321.68896,1a,42
2026-01-06 20:00:00,339.18493,321.67352,1a,42
2026-01-06 21:00:00,339.18493,322.35376,1a,42
2026-01-06 22:00:00,322.18493,318.96677,1a,42
2026-01-06 23:00:00,312.18493,310.3299,1a,42
2026-01-07 00:00:00,252.71747,294.587,1a,42
2026-01-07 01:00:00,252.71747,287.69962,1a,42
2026-01-07 02:00:00,245.61747,275.03043,1a,42
2026-01-07 03:00:00,245.61747,264.78497,1a,42
2026-01-07 04:00:00,249.61747,257.96976,1a,42
2026-01-07 05:00:00,252.71747,253.6286,1a,42
2026-01-07 06:00:00,252.71747,247.61934,1a,42
2026-01-07 07:00:00,252.71747,239.9121,1a,42
2026-01-07 08:00:00,252.71747,236.05939,1a,42
2026-01-07 09:00:00,245.61747,228.545,1a,42
2026-01-07 10:00:00,249.61747,222.77086,1a,42
2026-01-07 11:00:00,252.71747,218.73442,1a,42
2026-01-07 12:00:00,252.71747,207.26375,1a,42
2026-01-07 13:00:00,252.71747,200.52257,1a,42
2026-01-07 14:00:00,261.20247,197.71089,1a,42
2026-01-07 15:00:00,292.71747,197.08731,1a,42
2026-01-07 16:00:00,292.71747,201.23326,1a,42
2026-01-07 17:00:00,312.71747,206.91876,1a,42
2026-01-07 18:00:00,328.20947,221.36139,1a,42
2026-01-07 19:00:00,328.20947,224.90392,1a,42
2026-01-07 20:00:00,328.20947,222.8513,1a,42
2026-01-07 21:00:00,321.71747,221.12897,1a,42
2026-01-07 22:00:00,312.71747,217.88922,1a,42
2026-01-07 23:00:00,292.71747,214.76154,1a,42
2026-01-08 00:00:00,108.19992,268.0726,1a,42
2026-01-08 01:00:00,108.19992,247.80685,1a,42
2026-01-08 02:00:00,108.19992,220.89113,1a,42
2026-01-08 03:00:00,108.19992,210.80243,1a,42
2026-01-08 04:00:00,118.19992,213.28447,1a,42
2026-01-08 05:00:00,156.68492,219.27109,1a,42
2026-01-08 06:00:00,118.19992,220.58763,1a,42
2026-01-08 07:00:00,118.19992,212.79031,1a,42
2026-01-08 08:00:00,118.19992,208.8077,1a,42
2026-01-08 09:00:00,108.19992,196.88246,1a,42
2026-01-08 10:00:00,118.19992,191.78743,1a,42
2026-01-08 11:00:00,156.68492,191.58446,1a,42
2026-01-08 12:00:00,228.19992,195.38937,1a,42
2026-01-08 13:00:00,118.19992,200.01682,1a,42
2026-01-08 14:00:00,238.19992,212.60188,1a,42
2026-01-08 15:00:00,270.19992,228.36006,1a,42
2026-01-08 16:00:00,270.19992,245.3938,1a,42
2026-01-08 17:00:00,288.19992,262.27603,1a,42
2026-01-08 18:00:00,288.19992,281.16263,1a,42
2026-01-08 19:00:00,288.19992,282.55515,1a,42
2026-01-08 20:00:00,288.19992,281.7734,1a,42
2026-01-08 21:00:00,288.19992,275.37216,1a,42
2026-01-08 22:00:00,270.19992,270.00107,1a,42
2026-01-08 23:00:00,270.19992,262.11023,1a,42
2026-01-09 00:00:00,148.95631,189.23605,1a,42
2026-01-09 01:00:00,124.95631,163.34444,1a,42
2026-01-09 02:00:00,124.95631,147.36552,1a,42
2026-01-09 03:00:00,124.95631,144.3885,1a,42
2026-01-09 04:00:00,148.95631,152.99792,1a,42
2026-01-09 05:00:00,148.95631,158.41805,1a,42
2026-01-09 06:00:00,209.95631,159.50818,1a,42
2026-01-09 07:00:00,209.95631,151.25504,1a,42
2026-01-09 08:00:00,148.95631,145.09756,1a,42
2026-01-09 09:00:00,124.95631,138.21211,1a,42
2026-01-09 10:00:00,124.95631,145.12242,1a,42
2026-01-09 11:00:00,148.95631,154.14532,1a,42
2026-01-09 12:00:00,148.95631,168.19667,1a,42
2026-01-09 13:00:00,209.95631,187.18364,1a,42
2026-01-09 14:00:00,249.95631,215.03615,1a,42
2026-01-09 15:00:00,249.95631,249.02997,1a,42
2026-01-09 16:00:00,249.95631,271.5903,1a,42
2026-01-09 17:00:00,249.95631,294.80756,1a,42
2026-01-09 18:00:00,279.95631,308.9268,1a,42
2026-01-09 19:00:00,279.95631,337.90356,1a,42
2026-01-09 20:00:00,279.95631,340.48297,1a,42
2026-01-09 21:00:00,249.95631,301.28906,1a,42
2026-01-09 22:00:00,249.95631,270.9171,1a,42
2026-01-09 23:00:00,228.85631,253.93272,1a,42
2026-01-10 00:00:00,176.78564,185.91772,1a,42
2026-01-10 01:00:00,176.78564,173.53499,1a,42
2026-01-10 02:00:00,165.78564,165.66373,1a,42
2026-01-10 03:00:00,165.78564,161.73419,1a,42
2026-01-10 04:00:00,165.78564,160.04724,1a,42
2026-01-10 05:00:00,176.78564,154.63849,1a,42
2026-01-10 06:00:00,176.78564,142.4871,1a,42
2026-01-10 07:00:00,176.78564,135.68091,1a,42
2026-01-10 08:00:00,151.78564,135.92789,1a,42
2026-01-10 09:00:00,113.86764,135.10439,1a,42
2026-01-10 10:00:00,113.86764,144.64436,1a,42
2026-01-10 11:00:00,151.78564,158.43962,1a,42
2026-01-10 12:00:00,151.78564,176.1871,1a,42
2026-01-10 13:00:00,151.78564,196.87967,1a,42
2026-01-10 14:00:00,176.78564,222.17134,1a,42
2026-01-10 15:00:00,176.78564,244.6539,1a,42
2026-01-10 16:00:00,214.78564,263.53268,1a,42
2026-01-10 17:00:00,276.78564,279.9264,1a,42
2026-01-10 18:00:00,276.78564,301.1629,1a,42
2026-01-10 19:00:00,276.78564,298.17126,1a,42
2026-01-10 20:00:00,276.78564,296.65494,1a,42
2026-01-10 21:00:00,276.78564,277.89615,1a,42
2026-01-10 22:00:00,276.78564,245.3501,1a,42
2026-01-10 23:00:00,214.78564,236.22438,1a,42
2026-01-11 00:00:00,119.10337,203.21024,1a,42
2026-01-11 01:00:00,116.18537,195.02306,1a,42
2026-01-11 02:00:00,116.18537,188.48042,1a,42
2026-01-11 03:00:00,116.18537,184.49454,1a,42
2026-01-11 04:00:00,116.18537,182.73964,1a,42
2026-01-11 05:00:00,116.18537,179.81706,1a,42
2026-01-11 06:00:00,116.18537,168.52129,1a,42
2026-01-11 07:00:00,114.73137,160.18329,1a,42
2026-01-11 08:00:00,110.59537,157.574,1a,42
2026-01-11 09:00:00,110.59537,154.23337,1a,42
2026-01-11 10:00:00,110.59537,153.35065,1a,42
2026-01-11 11:00:00,110.59537,154.84006,1a,42
2026-01-11 12:00:00,112.10337,162.10852,1a,42
2026-01-11 13:00:00,116.17837,171.35614,1a,42
2026-01-11 14:00:00,116.18537,182.59991,1a,42
2026-01-11 15:00:00,116.18537,199.28703,1a,42
2026-01-11 16:00:00,119.10337,218.91042,1a,42
2026-01-11 17:00:00,119.10337,232.4838,1a,42
2026-01-11 18:00:00,154.10337,246.32057,1a,42
2026-01-11 19:00:00,219.10337,248.28366,1a,42
2026-01-11 20:00:00,154.10337,246.77437,1a,42
2026-01-11 21:00:00,154.10337,241.76814,1a,42
2026-01-11 22:00:00,124.10337,231.25073,1a,42
2026-01-11 23:00:00,119.10337,231.11104,1a,42
2026-01-12 00:00:00,117.87734,123.04253,1a,42
2026-01-12 01:00:00,113.88434,122.69421,1a,42
2026-01-12 02:00:00,113.88434,124.87224,1a,42
2026-01-12 03:00:00,113.88434,125.26365,1a,42
2026-01-12 04:00:00,113.88434,124.35797,1a,42
2026-01-12 05:00:00,113.88434,125.37869,1a,42
2026-01-12 06:00:00,113.88434,123.09937,1a,42
2026-01-12 07:00:00,113.88434,121.22047,1a,42
2026-01-12 08:00:00,113.46634,122.33736,1a,42
2026-01-12 09:00:00,113.46634,122.071594,1a,42
2026-01-12 10:00:00,113.46634,121.57483,1a,42
2026-01-12 11:00:00,151.38434,118.50318,1a,42
2026-01-12 12:00:00,151.38434,115.38969,1a,42
2026-01-12 13:00:00,196.38434,114.17495,1a,42
2026-01-12 14:00:00,196.38434,116.236206,1a,42
2026-01-12 15:00:00,196.38434,121.85662,1a,42
2026-01-12 16:00:00,206.38434,128.048,1a,42
2026-01-12 17:00:00,206.38434,132.75777,1a,42
2026-01-12 18:00:00,216.38434,139.63666,1a,42
2026-01-12 19:00:00,216.38434,140.95673,1a,42
2026-01-12 20:00:00,216.38434,140.02478,1a,42
2026-01-12 21:00:00,216.38434,138.79541,1a,42
2026-01-12 22:00:00,206.38434,135.52518,1a,42
2026-01-12 23:00:00,206.38434,131.6455,1a,42
2026-01-13 00:00:00,105.22064,148.74059,1a,42
2026-01-13 01:00:00,105.21064,135.35202,1a,42
2026-01-13 02:00:00,105.21064,127.76227,1a,42
2026-01-13 03:00:00,105.20264,121.45863,1a,42
2026-01-13 04:00:00,105.21064,130.31927,1a,42
2026-01-13 05:00:00,105.22064,136.75063,1a,42
2026-01-13 06:00:00,105.22064,144.85887,1a,42
2026-01-13 07:00:00,105.22064,144.72282,1a,42
2026-01-13 08:00:00,105.22064,152.513,1a,42
2026-01-13 09:00:00,105.22064,155.43925,1a,42
2026-01-13 10:00:00,105.22064,154.07724,1a,42
2026-01-13 11:00:00,105.22064,158.5917,1a,42
2026-01-13 12:00:00,105.22064,168.10149,1a,42
2026-01-13 13:00:00,105.22064,179.3407,1a,42
2026-01-13 14:00:00,188.12064,192.34511,1a,42
2026-01-13 15:00:00,208.12064,221.21234,1a,42
2026-01-13 16:00:00,208.12064,238.33643,1a,42
2026-01-13 17:00:00,208.12064,231.4236,1a,42
2026-01-13 18:00:00,209.12064,247.66089,1a,42
2026-01-13 19:00:00,209.12064,302.28357,1a,42
2026-01-13 20:00:00,209.12064,297.53564,1a,42
2026-01-13 21:00:00,208.12064,229.57617,1a,42
2026-01-13 22:00:00,208.12064,197.72188,1a,42
2026-01-13 23:00:00,188.12064,186.85934,1a,42
2026-01-14 00:00:00,109.65888,124.38679,1a,42
2026-01-14 01:00:00,109.65888,98.543884,1a,42
2026-01-14 02:00:00,109.65888,90.38818,1a,42
2026-01-14 03:00:00,109.65888,93.63459,1a,42
2026-01-14 04:00:00,109.65888,105.72326,1a,42
2026-01-14 05:00:00,109.65888,114.90529,1a,42
2026-01-14 06:00:00,109.65888,135.23468,1a,42
2026-01-14 07:00:00,109.65888,150.54478,1a,42
2026-01-14 08:00:00,109.65888,158.50026,1a,42
2026-01-14 09:00:00,109.65888,159.28442,1a,42
2026-01-14 10:00:00,109.65888,151.38818,1a,42
2026-01-14 11:00:00,109.65888,156.17386,1a,42
2026-01-14 12:00:00,109.65888,169.23485,1a,42
2026-01-14 13:00:00,109.65888,181.03133,1a,42
2026-01-14 14:00:00,138.16688,181.21442,1a,42
2026-01-14 15:00:00,138.16688,203.84451,1a,42
2026-01-14 16:00:00,142.16688,243.4382,1a,42
2026-01-14 17:00:00,213.16688,263.37238,1a,42
2026-01-14 18:00:00,213.16688,242.2425,1a,42
2026-01-14 19:00:00,217.16688,222.17346,1a,42
2026-01-14 20:00:00,213.16688,304.46472,1a,42
2026-01-14 21:00:00,213.16688,428.29755,1a,42
2026-01-14 22:00:00,142.16688,270.7118,1a,42
2026-01-14 23:00:00,138.16688,182.85922,1a,42
2026-01-15 00:00:00,111.95694,87.57886,1a,42
2026-01-15 01:00:00,111.95694,60.231964,1a,42
2026-01-15 02:00:00,111.95694,39.01184,1a,42
2026-01-15 03:00:00,111.95694,34.617302,1a,42
2026-01-15 04:00:00,111.95694,38.057674,1a,42
2026-01-15 05:00:00,111.95694,47.318836,1a,42
2026-01-15 06:00:00,117.54694,65.4466,1a,42
2026-01-15 07:00:00,117.54694,78.15053,1a,42
2026-01-15 08:00:00,117.54694,79.13423,1a,42
2026-01-15 09:00:00,111.95694,75.16526,1a,42
2026-01-15 10:00:00,117.54694,72.03932,1a,42
2026-01-15 11:00:00,117.54694,82.20426,1a,42
2026-01-15 12:00:00,117.54694,89.88061,1a,42
2026-01-15 13:00:00,119.09994,95.62687,1a,42
2026-01-15 14:00:00,190.55694,110.32405,1a,42
2026-01-15 15:00:00,190.55694,135.03703,1a,42
2026-01-15 16:00:00,190.55694,169.24936,1a,42
2026-01-15 17:00:00,190.55694,175.329,1a,42
2026-01-15 18:00:00,190.55694,173.63377,1a,42
2026-01-15 19:00:00,191.55694,175.47214,1a,42
2026-01-15 20:00:00,190.55694,225.70819,1a,42
2026-01-15 21:00:00,190.55694,222.43169,1a,42
2026-01-15 22:00:00,190.55694,135.6714,1a,42
2026-01-15 23:00:00,117.54694,108.07801,1a,42
2026-01-16 00:00:00,109.64545,104.75821,1a,42
2026-01-16 01:00:00,109.64545,100.06132,1a,42
2026-01-16 02:00:00,109.64545,95.58628,1a,42
2026-01-16 03:00:00,109.64545,93.73221,1a,42
2026-01-16 04:00:00,109.64545,96.962296,1a,42
2026-01-16 05:00:00,109.64545,100.33245,1a,42
2026-01-16 06:00:00,109.64545,103.48631,1a,42
2026-01-16 07:00:00,109.64545,103.55412,1a,42
2026-01-16 08:00:00,109.64545,103.244736,1a,42
2026-01-16 09:00:00,109.64545,104.41518,1a,42
2026-01-16 10:00:00,109.64545,104.7874,1a,42
2026-01-16 11:00:00,109.64545,109.931946,1a,42
2026-01-16 12:00:00,109.64545,113.534546,1a,42
2026-01-16 13:00:00,109.64545,119.05019,1a,42
2026-01-16 14:00:00,109.64545,126.351715,1a,42
2026-01-16 15:00:00,109.64545,130.77853,1a,42
2026-01-16 16:00:00,113.78145,136.42662,1a,42
2026-01-16 17:00:00,117.24545,141.53838,1a,42
2026-01-16 18:00:00,168.24545,148.99342,1a,42
2026-01-16 19:00:00,168.24545,147.79846,1a,42
2026-01-16 20:00:00,168.24545,144.12466,1a,42
2026-01-16 21:00:00,117.24545,138.08752,1a,42
2026-01-16 22:00:00,109.64545,129.10928,1a,42
2026-01-16 23:00:00,109.64545,124.28025,1a,42
2026-01-17 00:00:00,100.55036,111.84167,1a,42
2026-01-17 01:00:00,100.55036,111.63721,1a,42
2026-01-17 02:00:00,100.55036,111.95871,1a,42
2026-01-17 03:00:00,100.55036,111.48257,1a,42
2026-01-17 04:00:00,100.55036,111.52787,1a,42
2026-01-17 05:00:00,100.55036,112.86472,1a,42
2026-01-17 06:00:00,104.68636,112.10361,1a,42
2026-01-17 07:00:00,100.55036,112.189026,1a,42
2026-01-17 08:00:00,100.55036,112.09734,1a,42
2026-01-17 09:00:00,100.55036,111.9814,1a,42
2026-01-17 10:00:00,100.55036,110.57656,1a,42
2026-01-17 11:00:00,100.55036,108.77395,1a,42
2026-01-17 12:00:00,100.55036,105.62328,1a,42
2026-01-17 13:00:00,100.55036,103.62412,1a,42
2026-01-17 14:00:00,100.55036,104.65821,1a,42
2026-01-17 15:00:00,100.55036,108.51049,1a,42
2026-01-17 16:00:00,108.15036,111.074326,1a,42
2026-01-17 17:00:00,114.15036,114.385605,1a,42
