candidato,control,dMAE,dMAPE,dsMAPE,gana_MAE,gana_MAPE,gana_sMAPE,p_MAE,p_MAPE,solido
ARX NOTH(728),False,-0.29495274970951757,-0.18691161189760414,-0.06660068368783759,10,10,10,0.1796519501787942,0.011375254648256044,True
ARX NOT(728),False,-0.19935463712946627,-0.12321012754513916,-0.05274314338741988,10,10,10,0.17782341130673207,0.01683756305658915,True
ARX Av(NOTH),False,-0.25186769078920007,-0.1276599408273377,-0.028816751013278363,10,10,9,0.15020179749223875,0.017340009629835666,False
LEAR NOT(728),False,-0.19369012575962685,-0.10192555257541933,-0.0808468691184645,10,10,10,0.2334521159875056,0.028141997497729658,True
LEAR NOTH(728),False,-0.09604844084632588,-0.06806858952832062,-0.057654800840828635,9,10,10,0.41038574063273947,0.09785559688132725,False
LEAR WinH(728),True,-0.08578004327021489,-0.007597284789280856,-0.0015721814736002315,10,8,7,0.10174030110598171,0.2096420439236646,False
LEAR Win(728),True,-0.016330532482518832,-0.011840215809761467,-0.004749147736258052,7,8,8,0.19254035128849578,0.058598753351792925,False
LEAR Win(todo),True,-0.06766318111196909,-0.02403714869580984,-0.016110250217447587,9,8,8,0.10646104751463162,0.11727681156684254,False
