tramo,mae_ensamble,mejor_individual,mae_mejor_individual,dm_p,gana,dm_p_vs_base,mae_N-BEATSx,mae_N-BEATSx-exog,mae_N-HiTS,mae_XGB-directo,mae_XGB-dir-v2,mae_CatB-directo,mae_CatB-denso,mae_Ridge-directo,mae_NaiveEstac,peso_N-BEATSx,peso_N-BEATSx-exog,peso_N-HiTS,peso_XGB-directo,peso_XGB-dir-v2,peso_CatB-directo,peso_CatB-denso,peso_Ridge-directo,peso_NaiveEstac
1-24h,57.41758861171046,N-BEATSx,58.682859467013884,0.6623639351430302,False,0.6623639351430302,58.682859467013884,59.565251617476854,64.59104113541666,65.88971563541666,71.00412641550926,63.2978681031797,66.29101664492894,62.90566696006944,122.05938234953703,0.38863889748862485,0.0004093618354561243,0.0,0.0,0.0,0.12090244957275116,0.08871965056204191,0.3773743577255192,0.02395528281560691
25-48h,67.0653830328365,Ridge-directo,71.11701789756944,0.2453470959700721,False,0.0763878872333266,76.20331152083334,75.18123752835648,82.01105135648147,74.27802625520833,75.59834099363427,71.54343283133048,72.17309549945188,71.11701789756944,127.7893589525463,0.24638299447636336,0.16070923579590946,0.0,0.02800942328167187,0.0999752783281659,0.017469494955581512,0.2635402771667538,0.183913295995554,0.0
49-72h,86.66699243109395,Ridge-directo,85.51781689814815,0.7501019558728912,False,0.09025886684590982,98.56203548148147,96.24392807118056,108.69438356944444,88.8931362696759,89.72146608217592,86.62656382913583,89.45218464706664,85.51781689814815,124.24136269675925,0.1667048571497431,0.03770754646770528,0.0,0.0,0.07446393589732422,0.2324269213156457,0.15087429547460052,0.25815106735181753,0.07967137634316362
