fecha_hora,real,q50,q10,q90
2026-01-01 00:00:00,327.90985,268.59305,245.6846798156682,283.3518801843318
2026-01-01 01:00:00,307.90985,265.54776,226.3845698156682,286.31654018433176
2026-01-01 02:00:00,296.32185,254.50874,202.2799298156682,279.5312001843318
2026-01-01 03:00:00,296.32185,246.64644,186.5263698156682,272.67974018433176
2026-01-01 04:00:00,296.32185,246.62206,181.56399981566818,268.7779601843318
2026-01-01 05:00:00,296.32185,250.59113,180.1423598156682,269.7577901843318
2026-01-01 06:00:00,296.32185,251.46292,194.7097998156682,275.62134018433176
2026-01-01 07:00:00,296.32185,256.54114,205.0332998156682,280.86976018433177
2026-01-01 08:00:00,272.90985,260.15182,212.6456798156682,285.0985801843318
2026-01-01 09:00:00,104.99185,259.38287,223.7431198156682,290.1986401843318
2026-01-01 10:00:00,103.53785,262.61722,228.03550981566818,295.3662401843318
2026-01-01 11:00:00,244.80985,266.08408,237.1971598156682,300.14104018433176
2026-01-01 12:00:00,272.90985,271.10095,241.8591498156682,311.4175201843318
2026-01-01 13:00:00,292.90985,278.5555,246.6916598156682,314.22959018433176
2026-01-01 14:00:00,296.32185,281.1312,255.81495981566817,323.7314201843318
2026-01-01 15:00:00,296.32185,285.17514,253.8622998156682,321.1273401843318
2026-01-01 16:00:00,296.32185,290.03668,259.22155981566823,325.8125401843318
2026-01-01 17:00:00,327.90985,288.42825,264.6100598156682,337.4151401843318
2026-01-01 18:00:00,332.90985,291.99335,261.58155981566824,336.28934018433176
2026-01-01 19:00:00,332.90985,286.58435,258.4431598156682,330.1883001843318
2026-01-01 20:00:00,332.90985,285.0502,255.6611798156682,332.33464018433176
2026-01-01 21:00:00,332.90985,288.37582,260.9351098156682,326.33921018433176
2026-01-01 22:00:00,332.90985,282.62503,256.80985981566823,321.9161801843318
2026-01-01 23:00:00,327.90985,275.8642,255.7217898156682,316.8236201843318
2026-01-02 00:00:00,329.20101,324.2479,299.00093981566823,338.72274018433177
2026-01-02 01:00:00,326.20101,318.47314,277.91893981566824,339.8376401843318
2026-01-02 02:00:00,326.20101,312.31158,262.5371298156682,336.5184101843318
2026-01-02 03:00:00,329.20101,309.76602,258.5883998156682,336.1227201843318
2026-01-02 04:00:00,326.20101,310.54752,254.65809981566818,331.4253601843318
2026-01-02 05:00:00,329.20101,312.4349,257.37775981566824,333.8590801843318
