variante,mae,mape,dm_t_vs_A,dm_p_vs_A
A NNLS-CV 5 modelos (actual),46.021951484264086,11.957516864871758,,
B NNLS-CV todos,46.448361683650425,12.073480954017771,-2.48877262525266,0.012818491627799817
C LAD-CV todos,45.94266552188506,11.931449242841003,0.39089421123275453,0.6958754330056853
D causal NNLS 5 modelos (expansiva),46.11789425719012,12.035491799111991,-0.45504394098487677,0.6490776269359104
E causal NNLS todos (expansiva),46.59356624492415,12.287830440724319,-2.189108082487884,0.028588985220470247
F causal NNLS todos (movil 60d),46.906597087597,12.349261474139075,-2.6922144246485358,0.007097929401304637
G causal NNLS todos (movil 30d),47.69372928140643,12.458150847788284,-3.9183330244972088,8.916346233898092e-05
H causal LAD todos (movil 60d),46.50656817346359,12.050514250127273,-1.2410372019334848,0.21459200620345287
