fecha_hora,real,v4 (referencia),v1 (NNLS global),Persistencia,nivel v4 + forma persistencia,nivel v4 + forma v1,nivel v4 + forma ajustada (pesos suman 1),nivel v4 + forma ajustada (escala libre)
2026-01-01 01:00:00,307.90985,313.13636551386907,305.7768002231219,271.30327,298.89502042719096,301.6779318891687,307.92506890722984,308.28679303359206
2026-01-01 02:00:00,296.32185,306.23306201023047,300.21394801512145,271.30327,298.89502042719096,296.11507968116825,302.4021723592877,302.81043740254694
2026-01-01 03:00:00,296.32185,298.4866569296685,297.7500945002356,271.30327,298.89502042719096,293.6512261662824,296.9331560116527,297.8033417653843
2026-01-01 04:00:00,296.32185,292.95904745150153,294.2415903701311,271.30327,298.89502042719096,290.14272203617793,292.7267861928491,293.6886461546772
2026-01-01 05:00:00,296.32185,299.1918421605416,299.42700394542624,271.30327,298.89502042719096,295.32813561147304,297.8056684736413,298.671020859141
2026-01-01 06:00:00,296.32185,293.96788172988425,300.76702077620854,271.30327,298.89502042719096,296.66815244225535,294.94488004555467,295.71071649456565
2026-01-01 07:00:00,296.32185,297.08107514124544,303.5144031831549,271.30327,298.89502042719096,299.4155348492017,297.46534603879735,298.2087231264912
2026-01-01 08:00:00,272.90985,298.2228748856744,304.5377609002256,270.30327,297.89502042719096,300.4388925662724,298.3005763831508,298.9365141812692
2026-01-01 09:00:00,104.99185,298.12346029225324,304.6182560897097,270.30327,297.89502042719096,300.5193877557565,298.31467991642035,298.8004768904064
2026-01-01 10:00:00,103.53785,302.3855307102864,308.3972761242667,270.30327,297.89502042719096,304.2984077903135,301.76409684599037,302.2345213652696
2026-01-01 11:00:00,244.80985,299.4730973071057,306.3564919427788,270.30327,297.89502042719096,302.2576236088256,299.61270661920724,299.80629302735116
2026-01-01 12:00:00,272.90985,298.47249142014704,308.84773995099414,270.30327,297.89502042719096,304.74887161704095,299.70262362261195,299.5960481243478
2026-01-01 13:00:00,292.90985,297.68783341777004,306.1046712182333,271.30327,298.89502042719096,302.0058028842801,299.06848358231014,298.3851160265776
2026-01-01 14:00:00,296.32185,299.3277610011049,306.847985488187,271.30327,298.89502042719096,302.74911715423383,300.3992165513783,299.4193840440809
2026-01-01 15:00:00,296.32185,300.55213807953936,307.3955448352161,271.30327,298.89502042719096,303.29667650126294,301.1531200294392,300.1980503601095
2026-01-01 16:00:00,296.32185,303.2837608346468,311.690146369527,271.30327,298.89502042719096,307.5912780355738,303.9091792648951,303.0071650381294
2026-01-01 17:00:00,327.90985,308.1923875502048,315.2175591089769,285.30327,312.89502042719096,311.1186907750237,310.2264152177396,308.49805431429365
2026-01-01 18:00:00,332.90985,315.0185719535762,317.6564741470402,285.30327,312.89502042719096,313.55760581308704,315.20595857734713,313.32921822262176
2026-01-01 19:00:00,332.90985,315.7678869186758,318.7303831269603,285.30327,312.89502042719096,314.6315147930071,315.93704885780977,314.07556599895344
2026-01-01 20:00:00,332.90985,313.7146983432361,316.4746414641646,285.30327,312.89502042719096,312.3757731302114,314.0753122017086,312.3648452212006
2026-01-01 21:00:00,332.90985,312.36196820625105,313.5278309233662,285.30327,312.89502042719096,309.428962589413,312.4190535716853,310.7120518512304
2026-01-01 22:00:00,332.90985,308.00747513328827,312.7556072969233,273.59227,301.18402042719094,308.6567389629701,307.3322206520731,306.51508930649425
2026-01-01 23:00:00,327.90985,306.59400700228235,314.653898390957,271.30327,298.89502042719096,310.5550300570038,306.08955175599993,306.10782532227097
2026-01-02 00:00:00,329.20101,319.13419625960034,320.2457818765331,327.90985,355.50160042719097,316.1469135425799,325.2503156336475,328.07308481227926
2026-01-02 01:00:00,326.20101,325.9507371274173,324.72182738417274,307.90985,338.4807504637273,321.7306694466497,327.3554605812049,326.78087410826623
2026-01-02 02:00:00,326.20101,323.55095994070564,321.0150324503959,296.32185,326.8927504637273,318.02387451287285,323.1493533733354,321.6868576359236
2026-01-02 03:00:00,329.20101,320.2826539842804,319.5589377365303,296.32185,326.8927504637273,316.56777979900727,320.54384445029945,318.8442094859321
