hora,MAE_A,MAE_B,MAE_persist
0,47.51059072362541,44.68022240710693,46.98052702325581
1,7.600792562375283,43.833441651400506,47.14721930555556
2,12.20875207630187,44.04215159284122,47.08092837962963
3,13.487986112504347,43.323448553524955,45.44702597222222
4,13.592530515629258,41.30081407181992,42.252156157407406
5,20.834313750613042,39.64188773955669,43.374119768518526
6,36.029374789531005,44.717736010419685,47.93164458333334
7,35.542242448997904,45.37822002706512,49.282879675925926
8,43.856295489669535,55.292760266289186,61.09108050925926
9,44.38715987166555,53.96086740093747,61.51117560185186
10,44.63736951173561,54.57817219580028,60.63312152777777
11,41.817942140225355,50.82630668294715,57.87960717592592
12,39.08725166787464,47.218237664533234,51.47450763888889
13,39.37268543489595,45.96197923722552,51.91900597222223
14,39.80087800821293,45.95968034961355,55.09810356481481
15,39.41710969194784,45.467298148415075,54.617681712962955
16,36.53275787828217,41.1196822518478,45.63027726851851
17,36.755789681068535,40.55938223477427,41.52344541666666
18,90.88712385144207,92.41943539983832,102.4450911574074
19,103.87260260913229,106.75749989230435,110.3205633796296
20,79.35712937222776,79.6489381178987,88.93338171296297
21,53.25756958348248,57.16114694171696,59.583914305555545
22,37.017980878913896,40.580937375479195,39.34527393518519
23,34.91744771592545,41.03473051902101,42.31072291666668
