fecha_hora,real,prediccion,prob_alto,clasificado_alto
2026-01-04 16:00:00,330.47952,333.6312,0.0033899155,0
2026-01-04 17:00:00,334.47952,335.1228,0.0060060523,0
2026-01-04 18:00:00,347.07752,335.5606,0.012916022,0
2026-01-04 19:00:00,347.07752,335.4283,0.01328199,0
2026-01-04 20:00:00,347.07752,335.4283,0.012113594,0
2026-01-04 21:00:00,343.47952,335.29593,0.008793249,0
2026-01-04 22:00:00,342.47952,334.72754,0.007136586,0
2026-01-04 23:00:00,334.47952,332.93814,0.0062814937,0
2026-01-05 00:00:00,293.94594,294.87445,0.00424083,0
2026-01-05 01:00:00,293.94594,294.34415,0.0039042227,0
2026-01-05 02:00:00,269.57794,293.00778,0.0030711447,0
2026-01-05 03:00:00,262.43094,292.6944,0.0028652493,0
2026-01-05 04:00:00,269.57794,293.79642,0.003066007,0
2026-01-05 05:00:00,293.94594,294.67737,0.003923392,0
2026-01-05 06:00:00,334.16294,294.57202,0.004518621,0
2026-01-05 07:00:00,334.16294,295.30444,0.004716876,0
2026-01-05 08:00:00,334.16294,297.04648,0.005133607,0
2026-01-05 09:00:00,334.16294,283.72784,0.0035142791,0
2026-01-05 10:00:00,334.16294,287.11,0.006647895,0
2026-01-05 11:00:00,334.16294,301.488,0.0077623134,0
2026-01-05 12:00:00,334.16294,301.19012,0.009164053,0
2026-01-05 13:00:00,338.94594,308.59213,0.0116075985,0
2026-01-05 14:00:00,338.94594,309.6763,0.012715703,0
2026-01-05 15:00:00,338.94594,309.75485,0.013221124,0
2026-01-05 16:00:00,338.94594,347.8545,0.027250046,0
2026-01-05 17:00:00,338.94594,349.14536,0.02652723,0
2026-01-05 18:00:00,353.94594,355.09726,0.045919985,0
2026-01-05 19:00:00,353.94594,354.93527,0.053460028,0
2026-01-05 20:00:00,353.94594,353.01175,0.04512469,0
2026-01-05 21:00:00,338.94594,347.40445,0.027833106,0
2026-01-05 22:00:00,338.94594,346.66675,0.01746183,0
2026-01-05 23:00:00,338.94594,338.32858,0.013359742,0
2026-01-06 00:00:00,301.18493,280.8563,0.00736797,0
2026-01-06 01:00:00,301.18493,275.24835,0.0036432822,0
2026-01-06 02:00:00,301.18493,259.52823,0.0018926051,0
2026-01-06 03:00:00,301.18493,259.39908,0.0017916989,0
2026-01-06 04:00:00,301.18493,259.928,0.0018915524,0
2026-01-06 05:00:00,312.18493,276.66476,0.0030721142,0
2026-01-06 06:00:00,312.18493,312.3247,0.006061256,0
2026-01-06 07:00:00,312.18493,310.36337,0.0040178252,0
2026-01-06 08:00:00,312.18493,314.15665,0.004680583,0
2026-01-06 09:00:00,312.18493,315.9219,0.006393235,0
2026-01-06 10:00:00,312.18493,315.9219,0.010476256,0
2026-01-06 11:00:00,312.18493,316.13196,0.01935784,0
2026-01-06 12:00:00,312.18493,316.13196,0.019536445,0
2026-01-06 13:00:00,312.18493,323.1457,0.022270102,0
2026-01-06 14:00:00,312.18493,327.84036,0.04551433,0
2026-01-06 15:00:00,312.18493,327.7506,0.05524694,0
2026-01-06 16:00:00,339.18493,327.72876,0.0488058,0
2026-01-06 17:00:00,339.18493,327.72876,0.052324817,0
2026-01-06 18:00:00,349.60093,336.38712,0.12592632,0
2026-01-06 19:00:00,349.60093,336.10797,0.116673626,0
2026-01-06 20:00:00,339.18493,334.2865,0.078109816,0
2026-01-06 21:00:00,339.18493,324.4606,0.049988214,0
2026-01-06 22:00:00,322.18493,323.10443,0.02090941,0
2026-01-06 23:00:00,312.18493,319.50128,0.012489081,0
2026-01-07 00:00:00,252.71747,284.69604,0.003387738,0
2026-01-07 01:00:00,252.71747,282.66992,0.0029676897,0
2026-01-07 02:00:00,245.61747,282.43484,0.0026433142,0
2026-01-07 03:00:00,245.61747,281.62527,0.0026409118,0
2026-01-07 04:00:00,249.61747,281.99304,0.0027450232,0
2026-01-07 05:00:00,252.71747,290.17868,0.0028930535,0
2026-01-07 06:00:00,252.71747,288.98236,0.0025106072,0
2026-01-07 07:00:00,252.71747,290.92282,0.0031385692,0
2026-01-07 08:00:00,252.71747,294.44336,0.003397671,0
2026-01-07 09:00:00,245.61747,295.44617,0.0052894065,0
2026-01-07 10:00:00,249.61747,295.69208,0.006883334,0
2026-01-07 11:00:00,252.71747,297.88678,0.009381957,0
2026-01-07 12:00:00,252.71747,298.53293,0.010450829,0
2026-01-07 13:00:00,252.71747,306.3992,0.013731202,0
2026-01-07 14:00:00,261.20247,309.10962,0.024464484,0
2026-01-07 15:00:00,292.71747,309.21518,0.021540418,0
2026-01-07 16:00:00,292.71747,323.9237,0.020247884,0
2026-01-07 17:00:00,312.71747,324.44528,0.022429748,0
2026-01-07 18:00:00,328.20947,330.21725,0.050982658,0
2026-01-07 19:00:00,328.20947,328.80396,0.056082588,0
2026-01-07 20:00:00,328.20947,321.10117,0.03833497,0
2026-01-07 21:00:00,321.71747,321.05096,0.015309741,0
2026-01-07 22:00:00,312.71747,311.6704,0.008285688,0
2026-01-07 23:00:00,292.71747,301.63596,0.004653327,0
2026-01-08 00:00:00,108.19992,248.46895,0.0027954744,0
2026-01-08 01:00:00,108.19992,248.26228,0.0025570237,0
2026-01-08 02:00:00,108.19992,234.80266,0.0022365917,0
2026-01-08 03:00:00,108.19992,234.01532,0.0023138807,0
2026-01-08 04:00:00,118.19992,246.20972,0.0024989673,0
2026-01-08 05:00:00,156.68492,247.57191,0.0028312611,0
2026-01-08 06:00:00,118.19992,247.73453,0.0029630782,0
2026-01-08 07:00:00,118.19992,250.76364,0.0035263845,0
2026-01-08 08:00:00,118.19992,252.75836,0.0025812662,0
2026-01-08 09:00:00,108.19992,236.14624,0.0035082977,0
2026-01-08 10:00:00,118.19992,246.2757,0.0049599335,0
2026-01-08 11:00:00,156.68492,251.60493,0.008796953,0
2026-01-08 12:00:00,228.19992,251.30399,0.012316636,0
2026-01-08 13:00:00,118.19992,258.6607,0.017072165,0
2026-01-08 14:00:00,238.19992,262.98273,0.021871401,0
2026-01-08 15:00:00,270.19992,281.90082,0.04090841,0
2026-01-08 16:00:00,270.19992,282.063,0.040396858,0
