tramo,margen,cobertura_cruda,cobertura_calibrada,ancho_calibrado,n_eval
1-24h,11.79755149074075,66.89814814814815,72.10648148148148,230.82972627430556,864
25-48h,33.56576717592594,54.39814814814815,67.36111111111111,282.14457424768517,864
49-72h,51.23112625000003,48.032407407407405,67.24537037037037,321.37017435300936,864
