fecha_hora,real,GBM cuadratica,GBM absoluta (MAE),GBM MCC,LEAR (LASSO),LEAR MCC
2026-01-01 01:00:00,307.90985,320.35914975207334,316.06925908166767,324.64198616672024,326.6576949298594,319.82832806251
2026-01-01 02:00:00,296.32185,313.4687598391352,315.5724659854703,321.1962543113023,318.66050059898555,317.29162713431174
2026-01-01 03:00:00,296.32185,313.6047412065921,309.5687353535825,313.8741787559159,321.46580216302175,313.29705765694973
2026-01-01 04:00:00,296.32185,299.97370300376093,314.3822635577491,321.9569081473434,313.4638958395287,315.89987671637255
2026-01-01 05:00:00,296.32185,291.8687777275781,271.5644824913012,322.0934553401018,323.0281154112272,313.94151463598
2026-01-01 06:00:00,296.32185,270.02193854312554,288.7033828558293,315.2175169114454,319.28431622294374,317.480461746539
2026-01-01 07:00:00,296.32185,233.38950044239195,284.8240018864866,300.96105142157313,294.3497719135108,306.08512607134963
2026-01-01 08:00:00,272.90985,252.87368465895966,272.6407082992195,290.89089457775697,298.42559713345986,302.81912405720414
2026-01-01 09:00:00,104.99185,260.68469917054597,251.9318954947038,283.45088958831406,282.42917516521067,301.4938861432916
2026-01-01 10:00:00,103.53785,232.26988370224967,267.064424477654,269.39032348924087,284.4419371810354,295.50237218562023
2026-01-01 11:00:00,244.80985,251.12650556496928,294.10391985112534,281.7128897481008,296.4777359613585,294.75650988916817
2026-01-01 12:00:00,272.90985,254.53990580935536,295.95263988041114,289.41570219083405,300.81464860133684,297.3624396310705
2026-01-01 13:00:00,292.90985,258.9420941643089,297.87263842907004,298.78027706343596,313.07033656273967,299.3796182802423
2026-01-01 14:00:00,296.32185,277.69428930426454,270.0378347856273,278.73390184567427,300.823806314764,299.30101213655746
2026-01-01 15:00:00,296.32185,251.5557779137726,263.24544654442906,287.205656571098,305.52571621230874,302.82309401854565
2026-01-01 16:00:00,296.32185,268.2214226813914,282.2616667360302,286.89211690311123,310.7242692974922,305.02451582962544
2026-01-01 17:00:00,327.90985,289.093542774066,284.89857490999816,327.06028565808606,327.9981820970577,310.51485898199553
2026-01-01 18:00:00,332.90985,306.1760519280386,291.3759878251043,287.8452559241104,337.29950772034005,311.1121826255319
2026-01-01 19:00:00,332.90985,296.35480714876496,302.7687176513138,307.4315641622688,358.8145526581789,302.37360581631424
2026-01-01 20:00:00,332.90985,298.2584106493954,301.8895747854628,296.51897844058004,351.3393218191476,308.222510871777
2026-01-01 21:00:00,332.90985,312.13410804964093,314.6490421471102,314.99796850470057,346.6860561834753,306.1030551436196
2026-01-01 22:00:00,332.90985,315.2380666523173,292.9745191511029,342.8869607533192,350.73245241324497,308.2619976603108
2026-01-01 23:00:00,327.90985,329.74790136882984,316.5974858436791,332.5589194767395,341.96968492121476,311.5743727981751
2026-01-02 00:00:00,329.20101,325.18707828605886,311.8268070484069,345.45980875819976,310.3367272645179,318.9069253014349
2026-01-02 01:00:00,326.20101,317.37171068492626,322.39262522418215,330.79726722080517,297.0485313379074,311.5918434661827
2026-01-02 02:00:00,326.20101,312.11580857120356,294.726999615664,320.113403722469,259.20744050257275,306.7116096643343
2026-01-02 03:00:00,329.20101,311.49850282820006,318.70751088965295,327.52263049956315,252.61109024940686,301.72497029098423
