modelo,MAE,MAPE_%,sMAPE_nuestro_%,sMAPE_conv_Kapoor_%,R2,RMSE,NRMSE_%,MASE_naive1h,MASE_naive24h,TAPI_hora_%,TAPI_dia_%,TAPI_semana_%,n
"24h Ensamble v4 (QRA franja, CV)",42.506472848317024,11.266358542609574,10.378951158961437,5.189475579480718,0.9102464638038028,85.58389499073614,21.660812775559844,2.3410315840235936,0.9433133714210857,82.203057624461,75.92592592592592,100.0,5184.0
24h Ensamble v4 (desplegable),44.51093526401717,11.385630845469358,10.535115138762515,5.267557569381258,0.9069973209464685,88.8427530650134,21.88237359115782,2.4514267664441003,0.9877968599944225,82.44084682440847,79.20792079207921,100.0,4849.0
24h N-BEATSx,46.82351069790311,12.665310079906291,11.504138481457227,5.752069240728614,0.9034879568152011,88.74768197846083,22.461549848934162,2.5787911833996793,1.0391180631671504,78.32222657781263,75.46296296296296,96.7741935483871,5184.0
24h XGBoost,61.39044052055914,15.9686662482213,15.261405243397629,7.6307026216988145,0.8580070640371615,107.63662370157212,27.243130664270165,3.381060591138674,1.3623907028730835,74.21630094043887,59.25925925925925,96.7741935483871,5185.0
24h Persistencia,56.39987661330762,15.807073477216207,14.769386336085208,7.384693168042604,0.8453568177870843,112.32905000318043,28.430796892278266,3.106206740746179,1.2516389667447774,53.526645768025084,53.24074074074075,90.32258064516128,5185.0
72h tramo 1-24h Ensamble (CV),47.90573381290295,13.402509624948031,12.461949322454359,6.2309746612271795,0.89818095075387,89.61368628499483,23.010723652033285,2.6383943055457064,1.0631350061603575,80.88818398096748,70.56074766355141,93.54838709677419,5136.0
72h tramo 25-48h Ensamble (CV),64.00186969023187,18.568936584392482,16.934680131148706,8.467340065574353,0.8536641228444349,108.57335603433498,27.642076835179054,3.524884290354085,1.4203441365315737,81.46825396825396,55.140186915887845,87.09677419354838,5136.0
72h tramo 49-72h Ensamble (CV),74.68710144774987,21.92680168045188,19.829754130177967,9.914877065088984,0.8185493075287289,122.18933372278813,30.864520850108303,4.113370310265097,1.6574732445986768,81.49466192170819,65.88785046728972,77.41935483870968,5136.0
