grupos,votantes,MAE,MAPE_%,sMAPE_%,R2
1,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,43.88080658708601,11.70759035893601,10.797405198073493,0.9098431916918754
2,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,43.485063186532,11.580093786215652,10.632609639960641,0.9089452616958361
3,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.39578672854938,11.233819881518219,10.373969945129145,0.9119485513807465
4,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.30206338697038,11.211196912139009,10.366963506037044,0.9120900515006831
6,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.42321101298913,11.231036400949025,10.407425258017712,0.912060479548718
8,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.36450929596088,11.186860730590226,10.387265152215763,0.9118324132192209
12,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.409894583492694,11.203668502873652,10.42924333046917,0.9116817328645369
24,N-BEATSx + MarkovSw + N-HiTS + LEAR24 + CatBoost,42.22395343734014,11.121682892885593,10.38849653969825,0.9123915102740812
