prueba,grupos,mae,mape,dm_p
particion,1,44.38432667785073,12.001074334059952,0.5095462895735269
particion,3,43.298679163263415,11.700488724955074,0.0012365572672081266
particion,4,43.236157215967445,11.704241162350572,0.0006226910296411609
particion,6,43.606489293713665,11.789555757090419,0.013344848763790421
particion,12,43.77538684245023,11.816901862212958,0.064107109696013
particion,24,43.81283085014698,11.739745681761962,0.07466286753071018
causal,causal NNLS global,46.11789425719012,,
causal,causal LAD global,46.00216709545387,,0.713283161848798
causal,causal LAD 4 franjas,45.166672580054,,0.009397378347285252
