fecha_hora,real,pred_ensamble,tercil_real,tercil_pred
2026-01-04 15:00:00,282.47952,316.06617099973954,medio,medio
2026-01-04 16:00:00,330.47952,326.69129600880166,medio,medio
2026-01-04 17:00:00,334.47952,339.0162519996731,medio,medio
2026-01-04 18:00:00,347.07752,347.986229783285,medio,medio
2026-01-04 19:00:00,347.07752,351.2441316121973,medio,medio
2026-01-04 20:00:00,347.07752,347.80579115187646,medio,medio
2026-01-04 21:00:00,343.47952,345.1783381275609,medio,medio
2026-01-04 22:00:00,342.47952,340.2782366685712,medio,medio
2026-01-04 23:00:00,334.47952,336.0584378211458,medio,medio
2026-01-05 00:00:00,293.94594,311.8732671165648,medio,medio
2026-01-05 01:00:00,293.94594,292.784275975855,medio,medio
2026-01-05 02:00:00,269.57794,293.0229016312686,medio,medio
2026-01-05 03:00:00,262.43094,293.66795373045306,medio,medio
2026-01-05 04:00:00,269.57794,297.5264005942712,medio,medio
2026-01-05 05:00:00,293.94594,303.9386829086057,medio,medio
2026-01-05 06:00:00,334.16294,303.9743550189534,medio,medio
2026-01-05 07:00:00,334.16294,309.09338467504807,medio,medio
2026-01-05 08:00:00,334.16294,311.5828255906152,medio,medio
2026-01-05 09:00:00,334.16294,313.05607513317227,medio,medio
2026-01-05 10:00:00,334.16294,316.9425187332783,medio,medio
2026-01-05 11:00:00,334.16294,323.10890264152715,medio,medio
2026-01-05 12:00:00,334.16294,329.2871299049423,medio,medio
2026-01-05 13:00:00,338.94594,332.71274792471536,medio,medio
2026-01-05 14:00:00,338.94594,336.74314982616374,medio,medio
2026-01-05 15:00:00,338.94594,339.8553769809819,medio,medio
2026-01-05 16:00:00,338.94594,353.1312618062482,medio,medio
2026-01-05 17:00:00,338.94594,354.3169040545069,medio,medio
2026-01-05 18:00:00,353.94594,360.9355040660309,medio,medio
2026-01-05 19:00:00,353.94594,362.1923330346861,medio,medio
2026-01-05 20:00:00,353.94594,360.69976453255657,medio,medio
2026-01-05 21:00:00,338.94594,357.3448002760153,medio,medio
2026-01-05 22:00:00,338.94594,350.8995236877752,medio,medio
2026-01-05 23:00:00,338.94594,341.4518694520619,medio,medio
2026-01-06 00:00:00,301.18493,319.3561175940365,medio,medio
2026-01-06 01:00:00,301.18493,297.85657551373447,medio,medio
2026-01-06 02:00:00,301.18493,290.2099748983041,medio,medio
2026-01-06 03:00:00,301.18493,286.5894225503311,medio,medio
2026-01-06 04:00:00,301.18493,289.1200981803533,medio,medio
2026-01-06 05:00:00,312.18493,296.10655046219205,medio,medio
2026-01-06 06:00:00,312.18493,307.7632205329832,medio,medio
2026-01-06 07:00:00,312.18493,310.666813337511,medio,medio
2026-01-06 08:00:00,312.18493,314.25016468596306,medio,medio
2026-01-06 09:00:00,312.18493,319.767703980611,medio,medio
2026-01-06 10:00:00,312.18493,322.90387062013514,medio,medio
2026-01-06 11:00:00,312.18493,327.53642144332264,medio,medio
2026-01-06 12:00:00,312.18493,329.679511912675,medio,medio
2026-01-06 13:00:00,312.18493,333.3955720789493,medio,medio
2026-01-06 14:00:00,312.18493,336.2836666145939,medio,medio
2026-01-06 15:00:00,312.18493,339.99620912879044,medio,medio
2026-01-06 16:00:00,339.18493,340.44042292249094,medio,medio
2026-01-06 17:00:00,339.18493,339.606862571374,medio,medio
2026-01-06 18:00:00,349.60093,344.8496645030803,medio,medio
2026-01-06 19:00:00,349.60093,349.1084748119473,medio,medio
2026-01-06 20:00:00,339.18493,348.50732382961513,medio,medio
2026-01-06 21:00:00,339.18493,339.0445035218518,medio,medio
2026-01-06 22:00:00,322.18493,328.9542528484056,medio,medio
2026-01-06 23:00:00,312.18493,319.60775536325724,medio,medio
2026-01-07 00:00:00,252.71747,303.262781559184,medio,medio
2026-01-07 01:00:00,252.71747,261.6964630136277,medio,medio
2026-01-07 02:00:00,245.61747,261.54620543300126,medio,medio
2026-01-07 03:00:00,245.61747,261.0428862963024,medio,medio
2026-01-07 04:00:00,249.61747,260.46764153689537,medio,medio
2026-01-07 05:00:00,252.71747,265.6776453784603,medio,medio
2026-01-07 06:00:00,252.71747,266.3479079278764,medio,medio
2026-01-07 07:00:00,252.71747,267.40806040332893,medio,medio
2026-01-07 08:00:00,252.71747,269.3713114250409,medio,medio
2026-01-07 09:00:00,245.61747,273.66916444472366,medio,medio
2026-01-07 10:00:00,249.61747,278.1999325556868,medio,medio
2026-01-07 11:00:00,252.71747,280.02017563396214,medio,medio
2026-01-07 12:00:00,252.71747,282.8700868305638,medio,medio
2026-01-07 13:00:00,252.71747,286.6403295575818,medio,medio
2026-01-07 14:00:00,261.20247,290.9483458457829,medio,medio
2026-01-07 15:00:00,292.71747,293.50988887069224,medio,medio
2026-01-07 16:00:00,292.71747,301.5813162005329,medio,medio
2026-01-07 17:00:00,312.71747,302.4097334466676,medio,medio
2026-01-07 18:00:00,328.20947,309.33361070070833,medio,medio
2026-01-07 19:00:00,328.20947,315.1694075049485,medio,medio
2026-01-07 20:00:00,328.20947,311.88761787878246,medio,medio
2026-01-07 21:00:00,321.71747,306.0309246331859,medio,medio
2026-01-07 22:00:00,312.71747,289.2013907310713,medio,medio
2026-01-07 23:00:00,292.71747,274.0267048377696,medio,medio
2026-01-08 00:00:00,108.19992,254.980203745702,bajo,medio
2026-01-08 01:00:00,108.19992,138.31282125137434,bajo,bajo
2026-01-08 02:00:00,108.19992,136.13470880876105,bajo,bajo
2026-01-08 03:00:00,108.19992,132.50919136001852,bajo,bajo
2026-01-08 04:00:00,118.19992,141.9008113543832,bajo,bajo
2026-01-08 05:00:00,156.68492,170.05682788166433,bajo,bajo
2026-01-08 06:00:00,118.19992,181.85149408159305,bajo,bajo
2026-01-08 07:00:00,118.19992,188.75578566330444,bajo,bajo
2026-01-08 08:00:00,118.19992,195.51217891435175,bajo,bajo
2026-01-08 09:00:00,108.19992,200.57256781919432,bajo,bajo
2026-01-08 10:00:00,118.19992,207.6763672849909,bajo,medio
2026-01-08 11:00:00,156.68492,216.0738082259344,bajo,medio
2026-01-08 12:00:00,228.19992,220.63347035489767,medio,medio
2026-01-08 13:00:00,118.19992,231.2041565486703,bajo,medio
2026-01-08 14:00:00,238.19992,243.0813714164928,medio,medio
2026-01-08 15:00:00,270.19992,255.501739615212,medio,medio
2026-01-08 16:00:00,270.19992,258.3292708517597,medio,medio
2026-01-08 17:00:00,288.19992,260.21744373097465,medio,medio
2026-01-08 18:00:00,288.19992,274.40391968283734,medio,medio
2026-01-08 19:00:00,288.19992,279.69661512696257,medio,medio
2026-01-08 20:00:00,288.19992,275.37095182740006,medio,medio
2026-01-08 21:00:00,288.19992,267.18681595857146,medio,medio
2026-01-08 22:00:00,270.19992,242.5114876752253,medio,medio
2026-01-08 23:00:00,270.19992,209.8249234754868,medio,medio
2026-01-09 00:00:00,148.95631,150.08084726891877,bajo,bajo
2026-01-09 01:00:00,124.95631,139.43632031260347,bajo,bajo
2026-01-09 02:00:00,124.95631,137.76219251689886,bajo,bajo
2026-01-09 03:00:00,124.95631,136.78532913065467,bajo,bajo
2026-01-09 04:00:00,148.95631,141.34916048872049,bajo,bajo
2026-01-09 05:00:00,148.95631,158.04259473350848,bajo,bajo
2026-01-09 06:00:00,209.95631,149.51637052105323,medio,bajo
2026-01-09 07:00:00,209.95631,153.4529922807794,medio,bajo
2026-01-09 08:00:00,148.95631,157.9894322103892,bajo,bajo
2026-01-09 09:00:00,124.95631,159.78736144833653,bajo,bajo
2026-01-09 10:00:00,124.95631,169.99310723014665,bajo,bajo
2026-01-09 11:00:00,148.95631,183.81037962275136,bajo,bajo
2026-01-09 12:00:00,148.95631,209.13926718547765,bajo,medio
2026-01-09 13:00:00,209.95631,194.6078407636848,medio,bajo
2026-01-09 14:00:00,249.95631,227.9542086786533,medio,medio
2026-01-09 15:00:00,249.95631,245.88785581707165,medio,medio
2026-01-09 16:00:00,249.95631,249.35536183381527,medio,medio
2026-01-09 17:00:00,249.95631,251.47687363929668,medio,medio
