tramo,mae_nbeatsx,mae_nhits,mae_ensamble,peso_nbeatsx,peso_nhits,dm_p,conclusion
1-24h,58.682859467013884,64.59104113541666,58.814249649103964,0.9604088336114591,0.039591166388540835,0.3697402176519514,sin diferencia / pierde
25-48h,76.20331152083334,82.01105135648147,75.92683375563337,0.7523223260033571,0.24767767399664278,0.7486766510071139,sin diferencia / pierde
49-72h,98.56203548148147,108.69438356944444,97.90932848016261,0.7128470895736136,0.28715291042638624,0.6070396400857296,sin diferencia / pierde
