origen,mejor_individual,mae_mejor_individual,mape_mejor_individual,mae_ridge,mape_ridge,p_ridge,concl_ridge,mae_nnls,mape_nnls,p_nnls,concl_nnls
Origen 1,Persistencia,15.973460074074076,10.818405012359147,14.690059421037434,9.897875543460573,0.10428387611666676,sin diferencia,15.602763545118332,10.244211570690567,0.6544778888223479,sin diferencia
Origen 2,N-BEATSx,6.166529525603825,5.33863739056189,7.03669336887542,6.065577948910304,0.04201972346392187,ENSAMBLE PIERDE (sig.),6.638689108791956,5.6881589990849655,0.10206643016823093,sin diferencia
Origen 3,Persistencia,31.83634490740741,14.451140078692568,34.067609769377775,14.5372115443657,0.3833443833851572,sin diferencia,30.820272768365868,12.705938685573795,0.6686731786115006,sin diferencia
Origen 4,N-HiTS,74.70514384622103,16.351595576815185,79.14319055382357,19.05138488418116,0.28211292834251445,sin diferencia,75.35181487767996,16.34948347845046,0.8613142576764838,sin diferencia
Origen 5,N-BEATSx,26.46936814035167,5.181111393364427,25.479355250877173,4.976867151330663,0.3558989955198578,sin diferencia,26.188878521715928,5.1395785539851655,0.5630303908317389,sin diferencia
Origen 6,N-HiTS,45.948060400271046,12.27380307200927,44.61528191863561,11.790125650060455,0.19389233089988223,sin diferencia,43.86037884074198,11.686275734118832,0.036015575267542975,ENSAMBLE GANA (sig.)
