fecha_hora,real,q10,q50,q90
2026-01-01 01:00:00,307.90985,285.81119318739076,313.13636551386907,340.4330403648441
2026-01-01 02:00:00,296.32185,279.65423930047666,306.23306201023047,333.15040757942944
2026-01-01 03:00:00,296.32185,273.7669279130577,298.4866569296685,327.90493771927424
2026-01-01 04:00:00,296.32185,269.10094942962985,292.95904745150153,322.906822122212
2026-01-01 05:00:00,296.32185,274.710270136794,299.19184216054157,329.7442206222196
2026-01-01 06:00:00,296.32185,227.89901763434568,293.96788172988425,331.61943171257053
2026-01-01 07:00:00,296.32185,230.51451315793852,297.08107514124544,335.4908958591704
2026-01-01 08:00:00,272.90985,231.55609118113458,298.2228748856744,337.0700624610983
2026-01-01 09:00:00,104.99185,231.43670519981657,298.12346029225324,337.02852895749265
2026-01-01 10:00:00,103.53785,235.0122773396353,302.3855307102864,342.30739126379245
2026-01-01 11:00:00,244.80985,232.44683878634308,299.4730973071057,338.7664936719429
2026-01-01 12:00:00,272.90985,255.05625184137207,298.47249142014704,340.4555602204647
2026-01-01 13:00:00,292.90985,253.34300485809106,297.68783341777004,337.90423602083126
2026-01-01 14:00:00,296.32185,254.0462254893835,299.3277610011049,339.0379634956006
2026-01-01 15:00:00,296.32185,254.57286065496228,300.55213807953936,339.8753800266745
2026-01-01 16:00:00,296.32185,257.6198116134971,303.2837608346468,344.279321015052
2026-01-01 17:00:00,327.90985,261.8119449653751,308.1923875502048,348.1036780935924
2026-01-01 18:00:00,332.90985,273.8025476650261,315.0185719535762,386.22964596102287
2026-01-01 19:00:00,332.90985,274.3511434148291,315.7678869186758,387.38260160016955
2026-01-01 20:00:00,332.90985,272.2723894088605,313.7146983432361,385.2649399405667
2026-01-01 21:00:00,332.90985,271.4072917398257,312.36196820625105,381.4921069820356
2026-01-01 22:00:00,332.90985,265.16101013424816,308.00747513328827,379.0674847244141
2026-01-01 23:00:00,327.90985,260.848751918852,306.59400700228235,381.8830744242824
2026-01-02 00:00:00,329.20101,289.9300931183578,319.13419625960034,347.6053044463552
2026-01-02 01:00:00,326.20101,294.5801813253386,325.9507371274173,352.87432729289316
2026-01-02 02:00:00,326.20101,291.7314934390955,323.55095994070564,349.1766938035079
2026-01-02 03:00:00,329.20101,289.2917526626177,320.28265398428033,346.16219914711854
2026-01-02 04:00:00,326.20101,287.19861050246476,317.9112724566058,344.127016578325
2026-01-02 05:00:00,329.20101,287.446232851598,318.30126805986873,344.85199546305097
2026-01-02 06:00:00,329.20101,219.81858473800196,308.1586776589463,337.4134538554833
2026-01-02 07:00:00,329.20101,218.42333918811016,305.32914175969563,336.32973495971424
2026-01-02 08:00:00,329.20101,218.30459637646373,301.1769702882224,331.8111782407254
2026-01-02 09:00:00,326.20101,215.77973832305224,270.6867650187228,306.1919558962044
2026-01-02 10:00:00,326.20101,216.50877484984312,270.9383873183544,306.953194833415
2026-01-02 11:00:00,329.20101,218.05640741770395,294.5344887020568,328.740294073551
2026-01-02 12:00:00,329.20101,252.57716435253855,304.8963154035093,346.12974247668126
2026-01-02 13:00:00,329.20101,258.8513036845172,311.2312909147517,351.90520831949686
2026-01-02 14:00:00,329.20101,262.7124104985252,314.711085958592,355.72476342300956
2026-01-02 15:00:00,331.20101,264.86193574691936,316.08725851147256,357.5763085302676
2026-01-02 16:00:00,331.20101,267.1565723384576,317.3968037265963,359.50397894205787
2026-01-02 17:00:00,352.17901,275.33925269573234,326.8037419578563,367.5966360644504
2026-01-02 18:00:00,352.17901,311.7323401126363,344.11141748157996,426.6441342518025
2026-01-02 19:00:00,352.17901,312.3695907886627,344.855074676457,427.922584097117
2026-01-02 20:00:00,352.17901,312.27178192863835,345.02295121809857,429.0450082557768
2026-01-02 21:00:00,352.17901,313.23704863939355,345.47153561489404,428.8029800938628
2026-01-02 22:00:00,352.17901,312.07873477627913,344.79208597459694,427.4382119789856
2026-01-02 23:00:00,331.20101,307.18405321813333,340.680352777632,424.3286162771541
2026-01-03 00:00:00,342.48147,309.53238578014737,337.26593459854263,369.06270499134195
2026-01-03 01:00:00,342.48147,315.939790668725,343.8856893957453,378.0946771430151
2026-01-03 02:00:00,327.48147,316.10289414253276,343.90972983961996,378.43512574014215
2026-01-03 03:00:00,327.48147,315.86726832045855,343.64163244663274,378.07872742956056
2026-01-03 04:00:00,327.48147,314.4400808973319,342.3968961279793,376.1290140009025
2026-01-03 05:00:00,327.48147,312.1039204308011,339.98504497624384,372.8535119298107
2026-01-03 06:00:00,327.48147,246.47055405847007,322.84469389907997,361.7869792437609
2026-01-03 07:00:00,327.48147,245.98936689447868,322.18891549983414,361.01328205884147
2026-01-03 08:00:00,327.48147,247.55903953499046,323.976865796047,363.3158197965458
2026-01-03 09:00:00,327.48147,245.20232803694768,320.8662187906432,359.85306122307685
2026-01-03 10:00:00,327.48147,245.01190679196776,320.6392657175027,359.7410592008135
2026-01-03 11:00:00,327.48147,247.78015108144925,324.23544585589684,363.8913127680465
