origen,fecha_hora,real,modelo,prediccion
Origen 1,2020-07-04 18:00:00,187.19257,Persistencia,212.23235
Origen 1,2020-07-04 19:00:00,235.19257,Persistencia,236.23235
Origen 1,2020-07-04 20:00:00,187.19257,Persistencia,236.23235
Origen 1,2020-07-04 21:00:00,180.19157,Persistencia,212.23235
Origen 1,2020-07-04 22:00:00,179.19257,Persistencia,212.23235
Origen 1,2020-07-04 23:00:00,160.19257,Persistencia,206.23235
Origen 1,2020-07-05 00:00:00,137.29608,Persistencia,180.19157
Origen 1,2020-07-05 01:00:00,137.29608,Persistencia,180.19157
Origen 1,2020-07-05 02:00:00,137.29608,Persistencia,180.19157
Origen 1,2020-07-05 03:00:00,137.29608,Persistencia,160.19257
Origen 1,2020-07-05 04:00:00,142.49508,Persistencia,160.19257
Origen 1,2020-07-05 05:00:00,136.49508,Persistencia,160.19257
Origen 1,2020-07-05 06:00:00,121.51508,Persistencia,160.19257
Origen 1,2020-07-05 07:00:00,121.51508,Persistencia,179.19257
Origen 1,2020-07-05 08:00:00,142.49508,Persistencia,179.19257
Origen 1,2020-07-05 09:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 10:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 11:00:00,167.51508,Persistencia,180.19157
Origen 1,2020-07-05 12:00:00,167.51508,Persistencia,180.19157
Origen 1,2020-07-05 13:00:00,167.51508,Persistencia,180.19157
Origen 1,2020-07-05 14:00:00,167.51508,Persistencia,180.19157
Origen 1,2020-07-05 15:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 16:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 17:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 18:00:00,167.51508,Persistencia,187.19257
Origen 1,2020-07-05 19:00:00,236.51508,Persistencia,235.19257
Origen 1,2020-07-05 20:00:00,236.51508,Persistencia,187.19257
Origen 1,2020-07-05 21:00:00,236.51508,Persistencia,180.19157
Origen 1,2020-07-05 22:00:00,167.51508,Persistencia,179.19257
Origen 1,2020-07-05 23:00:00,167.51508,Persistencia,160.19257
Origen 1,2020-07-06 00:00:00,89.43026,Persistencia,137.29608
Origen 1,2020-07-06 01:00:00,89.43026,Persistencia,137.29608
Origen 1,2020-07-06 02:00:00,91.12526,Persistencia,137.29608
Origen 1,2020-07-06 03:00:00,91.12526,Persistencia,137.29608
Origen 1,2020-07-06 04:00:00,91.12526,Persistencia,142.49508
Origen 1,2020-07-06 05:00:00,91.12526,Persistencia,136.49508
Origen 1,2020-07-06 06:00:00,91.12526,Persistencia,121.51508
Origen 1,2020-07-06 07:00:00,142.10526,Persistencia,121.51508
Origen 1,2020-07-06 08:00:00,158.12526,Persistencia,142.49508
Origen 1,2020-07-06 09:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 10:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 11:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 12:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 13:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 14:00:00,211.12526,Persistencia,167.51508
Origen 1,2020-07-06 15:00:00,211.12526,Persistencia,167.51508
Origen 1,2020-07-06 16:00:00,211.12526,Persistencia,167.51508
Origen 1,2020-07-06 17:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 18:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 19:00:00,158.12526,Persistencia,236.51508
Origen 1,2020-07-06 20:00:00,158.12526,Persistencia,236.51508
Origen 1,2020-07-06 21:00:00,158.12526,Persistencia,236.51508
Origen 1,2020-07-06 22:00:00,158.12526,Persistencia,167.51508
Origen 1,2020-07-06 23:00:00,211.12526,Persistencia,167.51508
Origen 1,2020-07-07 00:00:00,86.14251,Persistencia,89.43026
Origen 1,2020-07-07 01:00:00,86.14251,Persistencia,89.43026
Origen 1,2020-07-07 02:00:00,86.14251,Persistencia,91.12526
Origen 1,2020-07-07 03:00:00,86.14251,Persistencia,91.12526
Origen 1,2020-07-07 04:00:00,86.14251,Persistencia,91.12526
Origen 1,2020-07-07 05:00:00,86.14251,Persistencia,91.12526
Origen 1,2020-07-07 06:00:00,86.14251,Persistencia,91.12526
Origen 1,2020-07-07 07:00:00,129.90751,Persistencia,142.10526
Origen 1,2020-07-07 08:00:00,170.90751,Persistencia,158.12526
Origen 1,2020-07-07 09:00:00,210.90751,Persistencia,158.12526
Origen 1,2020-07-07 10:00:00,210.90751,Persistencia,158.12526
Origen 1,2020-07-07 11:00:00,210.90751,Persistencia,158.12526
Origen 1,2020-07-07 12:00:00,210.90751,Persistencia,158.12526
Origen 1,2020-07-07 13:00:00,210.90751,Persistencia,158.12526
