modelo,mae,corr_f,mhd_horas,mpd_cop_kwh
Persistencia,56.308405618279565,0.8346607336708785,1.9953917050691243,144.77342857142858
N-BEATSx (ensamble ventanas),54.33633659036948,0.8214362161471808,2.0622119815668203,159.7805062554305
ARX+GARCH (con festivos),55.7608753216239,0.7715173839505857,4.013824884792626,142.5727243153945
