hora,MAE,MAPE,precio,n,aporte_%
0,49.22018316850634,17.552505223070415,362.8903148611111,216,6.491488634314316
1,10.125907354092265,2.920911411740771,356.2143650925926,216,1.0802482603014651
2,18.52176171544656,4.486818776606014,354.3846891666667,216,1.6593718516194262
3,19.47962463594898,5.127681592911301,351.2546984259259,216,1.8963838128939041
4,20.622823750923832,5.594258048756126,356.131735462963,216,2.068938996422602
5,27.647278756562066,7.14556483071525,369.137309537037,216,2.6426628162102364
6,34.44989984235577,10.089358870411983,357.7331984259259,216,3.731373818291954
7,34.96959285091749,11.434846533942222,336.7843280555556,216,4.22897901848507
8,43.61877101354235,16.71826156540097,321.264434537037,216,6.1829581337854185
9,44.440701204344,18.106559753905824,312.93814749999996,216,6.6963960617156815
10,44.54306692253263,17.509858117317556,323.4807447222222,216,6.475716344332757
11,41.409962408718265,14.33124919313456,337.9296336111111,216,5.300163143121146
12,39.441291552881744,13.564048452494488,339.53857342592596,216,5.016427298875011
13,40.052841720317254,12.54630934108797,354.6689391666667,216,4.6400341976948445
14,40.257699331740405,11.323318250226661,381.32467527777777,216,4.187732223401222
15,40.19171150747535,9.93430715383861,402.92398546296295,216,3.674030638895314
16,35.96347215529344,8.599754396314362,429.7562262037037,216,3.1804695234156375
17,35.655423189392764,8.321843212487527,447.1652123148148,216,3.077688907871963
18,91.80520582462115,15.718885645018917,536.3000132407407,216,5.8133563392768695
19,104.40558380570525,16.494918816726173,605.5031475000001,216,6.100358704464448
20,80.24470149406014,14.344537259000136,524.4777956481481,216,5.305077503062485
21,52.599448872069054,10.616827215709952,480.40567064814815,216,3.9264488075853277
22,35.75024803051536,8.946631740003557,434.55054564814816,216,3.3087560731384613
23,34.738147251646176,8.963349621808444,405.86584194444447,216,3.3149388908244286
