origen,modelo,desde,hasta,n_horas,mae,mape,rmae,sesgo,sesgo_pct,sesgo_tercil_bajo,sesgo_tercil_alto,corr_f,mhd,mpd
Origen 1,Persistencia,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,16.80302599086758,10.15664048542919,0.51596027679297,0.3625345388127855,1.5655147271721785,6.418525900684932,-6.549313804123711,0.8305195402487027,6.3780821917808215,19.595920547945205
Origen 1,XGBoost,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,18.254494341635507,11.522599217972191,0.560529630695385,2.30398079021102,3.374380072576639,11.506853806264381,-6.201510225523015,0.8548304894304107,7.873972602739726,11.463991780821917
Origen 1,ARX+GARCH,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,50.88371729694092,31.074578118436047,1.562455290794281,48.280541338156134,29.840991569695074,34.126041679050374,65.73994768775032,0.7929118939588733,8.484931506849316,16.399290410958905
Origen 1,N-BEATSx,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,25.786550827997083,16.48340671539413,0.791811898046252,16.502603780301026,11.659034605139174,17.04170748283825,14.463540978463607,0.8378124788060681,7.698630136986301,12.401386301369861
Origen 1,N-HiTS,2020-07-01 00:00:00,2021-06-30 23:00:00,8760,55.3770317929892,34.39200612849111,1.7004287601181378,-50.85316661895373,-31.211662119557857,-33.698927489263774,-70.0372039644014,0.20378785876299615,17.243835616438357,36.91538904109589
Origen 2,Persistencia,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,17.5189196369863,9.196218970011328,0.37093427163437603,-0.028436228310502038,1.4056516893981708,3.2198552770177833,-4.820273928082192,0.8478551788183348,5.936986301369863,17.49038904109589
Origen 2,XGBoost,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,24.138263097554525,11.567952446561403,0.5110879681020439,-6.671970628276109,2.4043750080110184,8.556306243845553,-32.607918969969035,0.8527141910241361,6.838356164383562,10.654591780821919
Origen 2,ARX+GARCH,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,19.509874952301757,9.896773751326066,0.41308947155800396,-4.603427569685942,1.4694894335200084,6.3015974078115295,-22.538834253840378,0.7859477162096165,8.983561643835616,14.442054794520546
Origen 2,N-BEATSx,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,17.17414532335506,9.370602752314019,0.36363424334752636,2.549057730148524,3.1981426872261305,4.879355789133638,-0.796204272431674,0.8543458565433355,7.534246575342466,13.117739726027398
Origen 2,N-HiTS,2021-07-01 00:00:00,2022-06-30 23:00:00,8760,17.855218516313247,9.589480122140506,0.37805484655791377,-2.0246881493687736,1.161151259589802,2.915005073099828,-11.75078468656357,0.756708017741465,9.887671232876713,17.60360273972603
Origen 3,Persistencia,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,39.74940643835617,14.24712343558387,0.3569001116000317,-1.1303443242009137,2.6011645842672357,12.882892784246573,-16.133743695205478,0.8197770295620748,6.301369863013699,48.096682191780815
Origen 3,XGBoost,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,59.59824735834242,16.5921078618761,0.5351179561975453,-43.742247799127725,-7.086637430916517,7.314953751235753,-111.55595723692677,0.8165605583634572,7.2027397260273975,40.695830136986295
Origen 3,ARX+GARCH,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,49.73888094686905,15.646392890308643,0.4465931381473071,-29.78863318967051,-5.130113370639309,6.086009089248327,-72.49742641904982,0.7393576737994377,8.791780821917808,49.95917534246575
Origen 3,N-BEATSx,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,40.218626359702746,14.154351201142942,0.3611131214861858,-10.668753377399602,0.08154774293525104,11.059398964135575,-34.942272702880025,0.7742688489389213,8.665753424657535,38.45866849315068
Origen 3,N-HiTS,2022-07-01 00:00:00,2023-06-30 23:00:00,8760,37.97296622638943,13.341893688879978,0.3409498933021825,-11.179121354420005,-0.5112934706157192,8.715863214255972,-32.62861132091031,0.8192645933319622,7.838356164383562,35.93556438356164
Origen 4,Persistencia,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,67.18841359289618,16.35117289357167,0.3857392187370573,1.0960076320582886,4.465945696340583,32.026993384510405,-23.239663329914528,0.7671396422852261,6.133879781420765,77.563456284153
Origen 4,XGBoost,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,133.98581794625565,22.24679696981553,0.7692335921129523,-97.55565689036858,-6.0450601960510175,21.857639794556203,-277.57982891712237,0.7446314727684462,6.997267759562842,64.01124863387977
Origen 4,ARX+GARCH,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,80.80345813910841,17.13115217328343,0.46390532455029854,-37.564351176096196,-1.5609534582250588,13.384079227873663,-93.1469400565989,0.6565711804771076,7.918032786885246,81.60846174863389
Origen 4,N-BEATSx,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,66.3550010643874,16.630944981709238,0.3809544667174524,7.397462814480724,6.233921494999367,36.897900069151106,-11.717728822596158,0.7825474854950243,6.284153005464481,54.54810655737706
Origen 4,N-HiTS,2023-07-01 00:00:00,2024-06-30 23:00:00,8784,68.46577653555754,16.84481208481024,0.3930727597033818,-0.4173860866634172,4.380346142360903,29.091869651247077,-22.58546174735911,0.8119381841825121,6.601092896174864,62.354691256830606
Origen 5,Persistencia,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,101.25249744292236,20.66754323634661,0.5701755103254663,0.02243421004566109,7.20962011856354,23.960566397260273,-23.74965818119423,0.8003874435103777,4.465753424657534,99.00597808219179
Origen 5,XGBoost,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,135.4650824365887,20.358504286692767,0.7628342456748199,-95.32840602209751,0.253520734008781,25.351124555981777,-296.8863088672989,0.7657962147365222,5.767123287671233,73.16715616438357
Origen 5,ARX+GARCH,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,102.63870093284179,20.496303585632965,0.5779815329149367,-17.14815261058705,4.160456520914459,19.312944577498676,-62.12671997380947,0.6248399211341635,9.391780821917807,123.45676986301369
Origen 5,N-BEATSx,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,104.58574363192706,21.41712176898328,0.5889457668115103,0.08584152468635224,9.023398847961687,28.670791880936292,-37.20515566478387,0.7710824446664398,6.835616438356165,82.28307945205479
Origen 5,N-HiTS,2024-07-01 00:00:00,2025-06-30 23:00:00,8760,103.05107261703922,22.320121662352737,0.5803036903077812,-2.7857875658187514,10.392503609469333,33.99064185934406,-52.819530591369926,0.7843455050919765,6.284931506849315,87.18095616438356
Origen 6,Persistencia,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,56.399836739969146,15.806792656453652,0.45601506891316546,-3.349179297839506,2.8216170534456286,10.292062652825836,-29.931979720767888,0.8349080928940348,3.9722222222222223,65.45097685185185
Origen 6,XGBoost,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,61.38937341192317,15.967809748808723,0.4963574535870102,-23.725060198705698,1.9060101615398628,19.043316486989585,-93.87563878210045,0.7980141958716943,5.027777777777778,71.01358333333334
Origen 6,ARX+GARCH,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,55.833139118272214,15.479561023107335,0.4514330936815259,-7.7074283311912595,2.239819863153553,10.883701246071517,-41.26119908276912,0.7724307934933073,8.018518518518519,81.0509212962963
Origen 6,N-BEATSx,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,46.82351069790311,12.665310079906291,0.3785866713782318,5.607058440533861,5.249618121447627,11.829433965902538,-17.91757924594491,0.7754744558334191,5.703703703703703,58.821115740740744
Origen 6,N-HiTS,2026-01-01 01:00:00,2026-08-05 00:00:00,5184,46.43820446276535,12.467007871096332,0.37547131751330654,1.3327883946293941,4.418082251564794,12.295198813496274,-25.959628056955925,0.7786465340340575,5.731481481481482,50.90950462962964
