tramo,mae_nbeatsx,mae_nnls_cv,mae_lad_cv,p_nnls_orden_pliegues,p_nnls_cronologico,p_lad_vs_nbeatsx,p_lad_vs_nnls
1-24h,58.682859467013884,57.41758861171046,54.679133497761086,0.5979826104781798,0.6623639351430302,0.07677309630886767,0.003176260884028068
25-48h,76.20331152083334,67.0653830328365,64.31935479886059,0.023112986322117293,0.0763878872333266,0.018854662945861987,0.0009116151047637877
49-72h,98.56203548148147,86.66699243109395,84.50110512267791,0.03710199501607694,0.09025886684590982,0.04345833646772882,0.06896704214318412
