tramo,mae,n,cobertura,ancho_banda
global,85.09882530154051,5184,,
1-24h,64.59104095764866,1728,59.375,151.0025177001953
25-48h,82.01105152522051,1728,48.78472222222222,153.21974182128906
49-72h,108.69438342175235,1728,40.85648148148148,152.00885009765625
