fecha,valor
2019-01-01,12106776000.0
2019-01-02,12039628200.0
2019-01-03,11956390300.0
2019-01-04,11877030500.0
2019-01-05,11802897700.0
2019-01-06,11752163000.0
2019-01-07,11686118500.0
2019-01-08,11626602500.0
2019-01-09,11576952500.0
2019-01-10,11518743400.0
2019-01-11,11451746400.0
2019-01-12,11400469600.0
2019-01-13,11351405200.0
2019-01-14,11291252700.0
2019-01-15,11228881000.0
2019-01-16,11166922400.0
2019-01-17,11099824100.0
2019-01-18,11037972300.0
2019-01-19,10973280800.0
2019-01-20,10941113400.0
2019-01-21,10908006500.0
2019-01-22,10824741700.0
2019-01-23,10736180700.0
2019-01-24,10634442400.0
2019-01-25,10567005200.0
2019-01-26,10487127300.0
2019-01-27,10435498000.0
2019-01-28,10369483200.0
2019-01-29,10330507900.0
2019-01-30,10243972500.0
2019-01-31,10185807400.0
2019-02-01,10122073500.0
2019-02-02,10049594000.0
2019-02-03,10016665100.0
2019-02-04,9913626500.0
2019-02-05,9829888400.0
2019-02-06,9750817100.0
2019-02-07,9659731900.0
2019-02-08,9573991100.0
2019-02-09,9489753100.0
2019-02-10,9441903700.0
2019-02-11,9386859500.0
2019-02-12,9328677800.0
2019-02-13,9250413700.0
2019-02-14,9198153300.0
2019-02-15,9105042300.0
2019-02-16,9019020100.0
2019-02-17,8963916700.0
2019-02-18,8882475400.0
2019-02-19,8827278700.0
2019-02-20,8777176800.0
2019-02-21,8727805000.0
2019-02-22,8692037400.0
2019-02-23,8660985500.0
2019-02-24,8644509500.0
2019-02-25,8613842100.0
2019-02-26,8559565900.0
2019-02-27,8510944300.0
2019-02-28,8457131600.0
2019-03-01,8391267900.0
2019-03-02,8365555600.0
2019-03-03,8314398000.0
2019-03-04,8243123000.0
2019-03-05,8167397000.0
2019-03-06,8246588700.0
2019-03-07,8041277900.0
2019-03-08,7991354900.0
2019-03-09,7935582100.0
2019-03-10,7922253200.0
2019-03-11,7896027800.0
2019-03-12,7853914300.0
2019-03-13,7787861600.0
2019-03-14,7748045300.0
2019-03-15,7701442600.0
2019-03-16,7652765600.0
2019-03-17,7620023500.0
2019-03-18,7566105900.0
2019-03-19,7580352000.0
2019-03-20,7548226900.0
2019-03-21,7519142400.0
2019-03-22,7525397500.0
2019-03-23,7536042900.0
2019-03-24,7543643400.0
2019-03-25,7535861900.0
2019-03-26,7511148100.0
2019-03-27,7450213300.0
2019-03-28,7392382600.0
2019-03-29,7374296800.0
2019-03-30,7357539400.0
2019-03-31,7337299900.0
2019-04-01,7371223400.0
2019-04-02,7470354900.0
2019-04-03,7445852700.0
2019-04-04,7437298900.0
2019-04-05,7445754800.0
2019-04-06,7488393400.0
2019-04-07,7523101700.0
2019-04-08,7511624300.0
2019-04-09,7481912100.0
2019-04-10,7444631500.0
2019-04-11,7408898600.0
2019-04-12,7385122900.0
2019-04-13,7355109800.0
2019-04-14,7344355000.0
2019-04-15,7400800900.0
2019-04-16,7372266600.0
2019-04-17,7358719300.0
2019-04-18,7393639000.0
2019-04-19,7431573000.0
2019-04-20,7485997900.0
2019-04-21,7591036100.0
2019-04-22,7721067000.0
2019-04-23,7790011200.0
2019-04-24,7869671300.0
2019-04-25,7933257400.0
2019-04-26,7999216300.0
2019-04-27,8016137400.0
2019-04-28,8051978300.0
2019-04-29,8033418800.0
2019-04-30,7979163500.0
2019-05-01,7927428800.0
2019-05-02,7857393100.0
2019-05-03,7788093300.0
2019-05-04,7739848900.0
2019-05-05,7704845800.0
2019-05-06,7647021800.0
2019-05-07,7607970800.0
2019-05-08,7621020100.0
2019-05-09,7657889700.0
2019-05-10,7752648100.0
2019-05-11,7911535000.0
2019-05-12,8011597700.0
2019-05-13,8164611700.0
2019-05-14,8325849600.0
2019-05-15,8409040800.0
2019-05-16,8429233500.0
2019-05-17,8491209700.0
2019-05-18,8527361700.0
2019-05-19,8624923600.0
2019-05-20,8689107800.0
2019-05-21,8762642400.0
2019-05-22,8847346800.0
2019-05-23,8952892000.0
2019-05-24,9092439500.0
2019-05-25,9212175100.0
2019-05-26,9299590000.0
2019-05-27,9433903300.0
2019-05-28,9487247600.0
2019-05-29,9544112700.0
2019-05-30,9653870800.0
2019-05-31,9754838200.0
2019-06-01,9913164100.0
2019-06-02,10026395600.0
2019-06-03,10090422600.0
2019-06-04,10106240800.0
2019-06-05,10166878100.0
2019-06-06,10215111100.0
2019-06-07,10307656200.0
2019-06-08,10342602500.0
2019-06-09,10367821400.0
2019-06-10,10496806800.0
2019-06-11,10582219400.0
2019-06-12,10705988800.0
2019-06-13,10767325900.0
2019-06-14,10852067900.0
2019-06-15,10944577900.0
2019-06-16,11007908000.0
2019-06-17,11065579600.0
2019-06-18,11131839600.0
2019-06-19,11150526500.0
2019-06-20,11269373900.0
2019-06-21,11433860600.0
2019-06-22,11572120800.0
2019-06-23,11698789400.0
2019-06-24,11818546300.0
2019-06-25,11868725000.0
2019-06-26,11916695900.0
2019-06-27,11899049600.0
2019-06-28,11880077800.0
2019-06-29,11905425700.0
2019-06-30,11974428500.0
2019-07-01,12084210800.0
2019-07-02,12117433400.0
2019-07-03,12124579600.0
2019-07-04,12108825600.0
2019-07-05,12125744600.0
2019-07-06,12136036800.0
2019-07-07,12131851000.0
2019-07-08,12127540200.0
2019-07-09,12162805300.0
2019-07-10,12132140200.0
2019-07-11,12110497300.0
2019-07-12,12077571200.0
2019-07-13,12125800100.0
2019-07-14,12250089800.0
2019-07-15,12335353100.0
2019-07-16,12350071500.0
2019-07-17,12329386700.0
2019-07-18,12290988700.0
2019-07-19,12321446400.0
2019-07-20,12398533900.0
2019-07-21,12452152200.0
2019-07-22,12497556400.0
2019-07-23,12613339900.0
2019-07-24,12632889700.0
2019-07-25,12649569300.0
2019-07-26,12684407300.0
2019-07-27,12714106600.0
2019-07-28,12787405300.0
2019-07-29,12738729400.0
2019-07-30,12731897600.0
2019-07-31,12703355800.0
2019-08-01,12711269400.0
2019-08-02,12686018700.0
2019-08-03,12723838400.0
2019-08-04,12736851400.0
2019-08-05,12698393900.0
2019-08-06,12677952700.0
2019-08-07,12648982100.0
2019-08-08,12636332300.0
2019-08-09,12591480200.0
2019-08-10,12558213900.0
2019-08-11,12588503700.0
2019-08-12,12568973000.0
2019-08-13,12608329400.0
2019-08-14,12628903000.0
2019-08-15,12665517800.0
2019-08-16,12666636300.0
2019-08-17,12666461300.0
2019-08-18,12660254800.0
2019-08-19,12677138800.0
2019-08-20,12650347400.0
2019-08-21,12616596900.0
2019-08-22,12545628300.0
2019-08-23,12472846100.0
2019-08-24,12413089700.0
2019-08-25,12363987100.0
2019-08-26,12374743900.0
2019-08-27,12290283000.0
2019-08-28,12256569300.0
2019-08-29,12212590600.0
2019-08-30,12136971800.0
2019-08-31,12074579300.0
2019-09-01,12045518800.0
2019-09-02,12042350100.0
