fecha,valor
2019-01-01,63035900.0
2019-01-02,60901300.0
2019-01-03,64058000.0
2019-01-04,62531300.0
2019-01-05,62769100.0
2019-01-06,68701100.0
2019-01-07,73105400.0
2019-01-08,67340400.0
2019-01-09,78001100.0
2019-01-10,74148600.0
2019-01-11,64123700.0
2019-01-12,67859800.0
2019-01-13,69245800.0
2019-01-14,75249400.0
2019-01-15,76075600.0
2019-01-16,74866300.0
2019-01-17,71206200.0
2019-01-18,74096100.0
2019-01-19,70487500.0
2019-01-20,84715100.0
2019-01-21,99163400.0
2019-01-22,73821300.0
2019-01-23,60833700.0
2019-01-24,59325000.0
2019-01-25,67777100.0
2019-01-26,61176300.0
2019-01-27,63514900.0
2019-01-28,71523500.0
2019-01-29,82082100.0
2019-01-30,63806100.0
2019-01-31,71622300.0
2019-02-01,72548500.0
2019-02-02,72581500.0
2019-02-03,68872600.0
2019-02-04,57683900.0
2019-02-05,67261500.0
2019-02-06,72305600.0
2019-02-07,71710100.0
2019-02-08,84816900.0
2019-02-09,80308600.0
2019-02-10,74978100.0
2019-02-11,65427200.0
2019-02-12,74117300.0
2019-02-13,61372900.0
2019-02-14,67370200.0
2019-02-15,56349400.0
2019-02-16,55495100.0
2019-02-17,66607400.0
2019-02-18,65849000.0
2019-02-19,83709700.0
2019-02-20,81827900.0
2019-02-21,75715300.0
2019-02-22,74940500.0
2019-02-23,87375400.0
2019-02-24,87179100.0
2019-02-25,88485100.0
2019-02-26,84367800.0
2019-02-27,93936600.0
2019-02-28,91820500.0
2019-03-01,80952600.0
2019-03-02,102977300.0
2019-03-03,72481300.0
2019-03-04,74048300.0
2019-03-05,71337100.0
2019-03-06,90965900.0
2019-03-07,71695400.0
2019-03-08,88646000.0
2019-03-09,73123100.0
2019-03-10,100111700.0
2019-03-11,101163800.0
2019-03-12,96258700.0
2019-03-13,78366300.0
2019-03-14,90310000.0
2019-03-15,101980300.0
2019-03-16,83550100.0
2019-03-17,88578800.0
2019-03-18,90007000.0
2019-03-19,142849300.0
2019-03-20,117920900.0
2019-03-21,112401100.0
2019-03-22,141974100.0
2019-03-23,147417300.0
2019-03-24,132084000.0
2019-03-25,114393000.0
2019-03-26,122911200.0
2019-03-27,103777600.0
2019-03-28,109044800.0
2019-03-29,122211400.0
2019-03-30,128964500.0
2019-03-31,100677800.0
2019-04-01,166306600.0
2019-04-02,220839000.0
2019-04-03,132915900.0
2019-04-04,133291000.0
2019-04-05,176725800.0
2019-04-06,202339400.0
2019-04-07,175546600.0
2019-04-08,138754100.0
2019-04-09,138237500.0
2019-04-10,129049200.0
2019-04-11,126166000.0
2019-04-12,138178300.0
2019-04-13,126648600.0
2019-04-14,137831200.0
2019-04-15,231763500.0
2019-04-16,141620600.0
2019-04-17,145394300.0
2019-04-18,173020700.0
2019-04-19,175040600.0
2019-04-20,205677100.0
2019-04-21,252147900.0
2019-04-22,325834500.0
2019-04-23,268829100.0
2019-04-24,293884100.0
2019-04-25,241468200.0
2019-04-26,244059400.0
2019-04-27,194148800.0
2019-04-28,187142700.0
2019-04-29,154055100.0
2019-04-30,126197100.0
2019-05-01,106024600.0
2019-05-02,102251800.0
2019-05-03,98057600.0
2019-05-04,108285100.0
2019-05-05,103885400.0
2019-05-06,106883300.0
2019-05-07,117041500.0
2019-05-08,155376300.0
2019-05-09,185244900.0
2019-05-10,230108500.0
2019-05-11,286151700.0
2019-05-12,237626900.0
2019-05-13,308549900.0
2019-05-14,339965600.0
2019-05-15,269666300.0
2019-05-16,211268800.0
2019-05-17,245991000.0
2019-05-18,214290100.0
2019-05-19,256912000.0
2019-05-20,244695700.0
2019-05-21,260891700.0
2019-05-22,269400900.0
2019-05-23,285674500.0
2019-05-24,334169200.0
2019-05-25,297776600.0
2019-05-26,241603500.0
2019-05-27,326039000.0
2019-05-28,242070400.0
2019-05-29,261505700.0
2019-05-30,298506900.0
2019-05-31,278916700.0
2019-06-01,352801100.0
2019-06-02,293743400.0
2019-06-03,248943500.0
2019-06-04,208728500.0
2019-06-05,257710600.0
2019-06-06,230489200.0
2019-06-07,268013700.0
2019-06-08,212450900.0
2019-06-09,185736700.0
2019-06-10,324148500.0
2019-06-11,276450900.0
2019-06-12,322149400.0
2019-06-13,242207900.0
2019-06-14,272658800.0
2019-06-15,267772100.0
2019-06-16,223636000.0
2019-06-17,232507700.0
2019-06-18,247467600.0
2019-06-19,200615700.0
