fecha_hora,HIDRAULICA,TERMICA,COGENERADOR,DESCONOCIDO,SOLAR,EOLICA
2019-01-03 09:00:00,5463260.7,2281735.84,87859.73,66746.04999999999,14440.66,0.0
2019-01-03 10:00:00,5778231.7,2313318.55,83250.3,67163.68000000001,18500.48,0.0
2019-01-03 11:00:00,6059726.559999999,2316415.7499999995,84065.38,67535.62999999999,20686.46,0.0
2019-01-03 12:00:00,6068398.010000001,2284011.4,84484.48000000001,69445.73000000001,20369.92,0.0
2019-01-03 13:00:00,6044524.749999999,2338304.28,88677.23000000001,69473.49,19210.9,0.0
2019-01-03 14:00:00,6116680.499999998,2363053.35,89742.17000000001,69693.5,14737.720000000001,0.0
2019-01-03 15:00:00,6120755.7299999995,2353335.01,84258.12000000001,69949.47,10519.4,0.0
2019-01-03 16:00:00,5900161.379999998,2341626.1299999994,77785.45000000001,70169.43000000001,4579.66,0.0
2019-01-03 17:00:00,5783723.5200000005,2319648.14,78332.72,69552.87,502.48,0.0
2019-01-03 18:00:00,6555772.21,2341781.68,81461.76000000001,69128.85,0.0,0.0
2019-01-03 19:00:00,6735551.650000001,2328153.7600000002,80686.36,69376.89,0.0,0.0
2019-01-03 20:00:00,6520569.329999998,2300352.42,84445.84,67976.72,0.0,0.0
2019-01-03 21:00:00,6175757.400000002,2228127.2499999995,81017.86999999998,65547.35,0.0,0.0
2019-01-03 22:00:00,5521771.109999999,2245302.96,78531.09999999999,65005.759999999995,0.0,0.0
2019-01-03 23:00:00,4970608.28,2194449.29,79864.43000000001,66324.86,0.0,0.0
2019-01-04 00:00:00,4506424.4,2166373.2699999996,74472.14,65029.96000000001,0.0,0.0
2019-01-04 01:00:00,4212817.36,2169458.01,80093.62999999999,64337.67,0.0,0.0
2019-01-04 02:00:00,4046408.91,2164406.42,83234.05,65925.07,0.0,0.0
2019-01-04 03:00:00,3955605.639999999,2164904.8200000003,79471.34,66693.06999999999,0.0,0.0
2019-01-04 04:00:00,4031905.7700000005,2165622.84,83351.91,67240.98,0.0,0.0
2019-01-04 05:00:00,4253825.92,2167295.7700000005,82807.12000000001,65455.96,0.0,0.0
2019-01-04 06:00:00,4307594.369999998,2169947.7700000005,79581.74,63623.549999999996,436.38,0.0
2019-01-04 07:00:00,4789490.069999999,2170652.86,82920.15,63613.200000000004,4291.24,0.0
2019-01-04 08:00:00,5387936.279999998,2167582.2,80849.26000000001,64334.7,6059.96,0.0
2019-01-04 09:00:00,5765295.959999999,2183565.34,79062.7,65875.38,8576.08,0.0
2019-01-04 10:00:00,6084902.44,2231387.1999999997,82667.67,64370.11,10328.3,0.0
2019-01-04 11:00:00,6335407.709999998,2263647.31,78886.18999999999,64637.67999999999,11943.38,0.0
2019-01-04 12:00:00,6312994.62,2237527.96,82284.33,65482.14,14263.619999999999,0.0
2019-01-04 13:00:00,6278790.13,2298955.06,82709.23,67371.21,13341.619999999999,0.0
2019-01-04 14:00:00,6368537.52,2329908.9299999997,71138.84,68038.93,11406.86,0.0
2019-01-04 15:00:00,6346195.98,2331145.46,64826.850000000006,67935.24,7915.120000000001,0.0
2019-01-04 16:00:00,6169051.92,2328388.34,68397.55,69284.81999999999,3882.42,0.0
2019-01-04 17:00:00,5946210.390000001,2304367.5899999994,71189.48000000001,70150.81,501.04,0.0
2019-01-04 18:00:00,6673315.910000001,2340606.5,71333.22,71007.49,0.0,0.0
2019-01-04 19:00:00,6910177.979999999,2305290.1499999994,72850.7,71208.52,0.0,0.0
2019-01-04 20:00:00,6634652.069999999,2311331.6300000004,73896.59,67929.22,0.0,0.0
2019-01-04 21:00:00,6196843.679999998,2313082.46,73325.91,64661.12999999999,0.0,0.0
2019-01-04 22:00:00,5571160.95,2375029.79,73779.83,66800.22,0.0,0.0
2019-01-04 23:00:00,4701848.06,2641722.91,73675.65,70731.65,0.0,0.0
2019-01-05 00:00:00,4487986.469999999,2279564.4400000004,74788.44,71231.36,0.0,0.0
2019-01-05 01:00:00,4497456.889999998,1970354.3399999999,74552.79,69869.66,0.0,0.0
2019-01-05 02:00:00,4447656.249999999,1832239.3800000001,75303.01,65720.64,0.0,0.0
2019-01-05 03:00:00,4269378.9799999995,1901262.2700000003,73126.17,65677.97,0.0,0.0
2019-01-05 04:00:00,4273066.57,1918446.8800000001,77402.63,62754.99999999999,0.0,0.0
2019-01-05 05:00:00,4323429.870000001,1950340.72,77576.65,64228.15000000001,0.0,0.0
2019-01-05 06:00:00,4235856.059999999,1982192.3099999998,75066.28,64112.89,325.34000000000003,0.0
2019-01-05 07:00:00,4469986.7299999995,2144005.24,77585.61,64843.49,3838.8,0.0
2019-01-05 08:00:00,5019368.5200000005,2151644.1499999994,80520.27,64984.100000000006,8205.7,0.0
2019-01-05 09:00:00,5414612.48,2162058.42,73468.84,66362.18,11817.66,0.0
2019-01-05 10:00:00,5764966.680000001,2182655.13,67515.64,68016.73000000001,13463.24,0.0
2019-01-05 11:00:00,5997649.060000001,2172120.54,65819.32,69246.79000000001,14042.7,0.0
2019-01-05 12:00:00,5992085.37,2163501.4,67280.94,70680.35,12677.6,0.0
2019-01-05 13:00:00,5855405.339999999,2175219.4799999995,66993.35999999999,70890.26999999999,12235.94,0.0
2019-01-05 14:00:00,5702881.320000002,2176045.84,65393.47000000001,70890.9,10695.92,0.0
2019-01-05 15:00:00,5631713.960000001,2182340.59,65426.94,70914.37999999999,8885.58,0.0
2019-01-05 16:00:00,5520993.599999999,2157418.95,66940.0,70384.48999999999,3866.52,0.0
2019-01-05 17:00:00,5435423.519999998,2217207.49,66016.81,70089.21,495.58,0.0
2019-01-05 18:00:00,6407085.43,2259899.4699999997,68677.14,68146.26,0.0,0.0
2019-01-05 19:00:00,6643951.430000002,2251958.3100000005,68546.21999999999,68258.31999999999,0.0,0.0
2019-01-05 20:00:00,6411894.809999997,2241629.7800000003,81676.35,66725.04000000001,0.0,0.0
2019-01-05 21:00:00,5868536.179999999,2235479.2500000005,85695.06999999999,66324.20000000001,0.0,0.0
2019-01-05 22:00:00,5326176.0,2243452.1999999993,84211.39,66469.57999999999,0.0,0.0
2019-01-05 23:00:00,4858023.5600000005,2200998.63,85090.46999999999,64823.299999999996,0.0,0.0
2019-01-06 00:00:00,4501571.93,2121103.59,87363.01999999999,64043.58,0.0,0.0
2019-01-06 01:00:00,4226680.029999999,2094842.14,89803.59,64596.34000000001,0.0,0.0
2019-01-06 02:00:00,3993226.9499999983,2140806.6900000004,86635.93000000001,65881.39000000001,0.0,0.0
2019-01-06 03:00:00,3858820.019999999,2166561.4400000004,88298.06,65436.79,0.0,0.0
2019-01-06 04:00:00,3838303.110000001,2162518.9899999998,71222.99,66602.24,0.0,0.0
2019-01-06 05:00:00,3818443.0800000005,2170320.5899999994,73413.43000000001,65703.0,0.0,0.0
2019-01-06 06:00:00,3570395.3099999996,2174815.3400000003,74911.85,63968.0,405.97,0.0
2019-01-06 07:00:00,3754638.5700000003,2170341.9299999997,75889.92,64101.95,3561.52,0.0
2019-01-06 08:00:00,4066934.879999999,2163531.01,69930.52,63594.67999999999,6963.7,0.0
2019-01-06 09:00:00,4334564.330000002,2159639.56,70630.09,58570.57,9175.02,0.0
2019-01-06 10:00:00,4583193.699999999,2164316.9799999995,82772.15000000001,60676.520000000004,10375.16,0.0
2019-01-06 11:00:00,4797939.019999999,2161552.12,84397.42,64027.85999999999,12386.88,0.0
2019-01-06 12:00:00,4880446.339999998,2155693.14,82751.14,64830.509999999995,15518.900000000001,0.0
2019-01-06 13:00:00,4787615.090000003,2178512.3200000003,87074.59,60261.16000000001,13421.9,0.0
2019-01-06 14:00:00,4638907.739999999,2223834.1899999995,86322.21000000002,69979.65000000001,12678.82,0.0
2019-01-06 15:00:00,4567231.26,2189921.4000000004,86038.81999999999,72606.01000000001,8438.62,0.0
2019-01-06 16:00:00,4449287.01,2211454.8200000003,90273.38,72903.59000000001,3853.1,0.0
2019-01-06 17:00:00,4537722.339999999,2222372.44,86767.12000000001,69216.23,531.14,0.0
2019-01-06 18:00:00,5523182.319999998,2227292.64,86730.88,65984.91999999998,0.0,0.0
2019-01-06 19:00:00,5764927.670000001,2227498.7,85339.49999999999,67233.97,0.0,0.0
2019-01-06 20:00:00,5624124.649999999,2198722.3500000006,77625.03,67491.2,0.0,0.0
2019-01-06 21:00:00,5335024.16,2170469.68,71948.47,68349.75,0.0,0.0
2019-01-06 22:00:00,4998308.4399999995,2092648.0899999996,73130.92000000001,66513.73,0.0,0.0
2019-01-06 23:00:00,4639054.3999999985,2044889.7700000003,80124.05,66640.54000000001,0.0,0.0
2019-01-07 00:00:00,4359152.179999999,1931443.39,75915.89,63936.71999999999,0.0,0.0
2019-01-07 01:00:00,4089706.090000001,1946965.65,72308.08,62938.630000000005,0.0,0.0
2019-01-07 02:00:00,3787422.6199999987,2062936.2500000002,73202.45000000001,63984.670000000006,0.0,0.0
2019-01-07 03:00:00,3654901.4000000013,2125081.5599999996,73156.82,65231.880000000005,0.0,0.0
2019-01-07 04:00:00,3623050.6900000004,2134344.4599999995,74382.29999999999,66184.12000000001,0.0,0.0
2019-01-07 05:00:00,3657207.579999999,2145118.9200000004,74928.21,67739.86,0.0,0.0
2019-01-07 06:00:00,3478401.709999998,2171852.9499999997,77274.66,66921.84,246.57,0.0
2019-01-07 07:00:00,3661099.0499999993,2171349.9899999998,77395.58,66378.01999999999,2786.56,0.0
2019-01-07 08:00:00,4014377.5700000008,2221301.0999999996,73654.47,66027.75,4456.139999999999,0.0
2019-01-07 09:00:00,4342427.760000001,2228438.7300000004,74351.13,66179.12,5366.9400000000005,0.0
