fecha,alineacion_despacho,alineacion_media_7d,alineacion_lag1d,alineacion_anomalia_lag1d,alineacion_anomalia_media_7d
2019-02-01,0.9395595265234372,,,,
2019-02-02,0.9264071397214652,,0.9395595265234372,,
2019-02-03,0.9357995996868802,,0.9264071397214652,,
2019-02-04,0.9789160939407653,,0.9357995996868802,,
2019-02-05,0.8998781583603169,,0.9789160939407653,,
2019-02-06,0.9086585521967204,,0.8998781583603169,,
2019-02-07,0.9596204497177938,,0.9086585521967204,,
2019-02-08,0.5911356614382005,0.9355485028781969,0.9596204497177938,,
2019-02-09,0.9191668764348492,0.8857736650088774,0.5911356614382005,,
2019-02-10,0.9578060808450836,0.8847393416822181,0.9191668764348492,,
2019-02-11,0.9124799942446793,0.8878831247048186,0.9578060808450836,,
2019-02-12,0.9571243161270845,0.8783922533196634,0.9124799942446793,,
2019-02-13,0.951794961503828,0.886570275857773,0.9571243161270845,,
2019-02-14,0.8866316622154097,0.8927326200445027,0.951794961503828,,
2019-02-15,0.9537022587149978,0.882305650401305,0.8866316622154097,,
2019-02-16,0.9428679443073205,0.9341008785837046,0.9537022587149978,,
2019-02-17,0.9383148632568364,0.937486745422629,0.9428679443073205,,
2019-02-18,0.9346959612252912,0.9347022857671652,0.9383148632568364,,
2019-02-19,0.8345367277776027,0.9378759953358239,0.9346959612252912,,
2019-02-20,0.8851074609285047,0.9203634827144694,0.8345367277776027,,
2019-02-21,0.883061842001807,0.9108366969179947,0.8851074609285047,,
2019-02-22,0.8704965101777062,0.9103267226017657,0.883061842001807,,
2019-02-23,0.9354058305109993,0.8984401870964385,0.8704965101777062,,
2019-02-24,0.7242454010666437,0.8973741708398212,0.9354058305109993,,
2019-02-25,0.9778138782300079,0.866792819098365,0.7242454010666437,,
2019-02-26,0.9022321617746636,0.8729525215276103,0.9778138782300079,,
2019-02-27,0.901935752719219,0.8826232978129047,0.9022321617746636,,
2019-02-28,0.9083142207868687,0.8850273394972924,0.901935752719219,,
2019-03-01,0.9257194616832523,0.8886348221808726,0.9083142207868687,,
2019-03-02,0.8617348159491548,0.8965238152530935,0.9257194616832523,,
2019-03-03,0.9155896661379954,0.8859993846014014,0.8617348159491548,-0.04177065618642484,
2019-03-04,0.9589405937263744,0.9133342796115945,0.9155896661379954,0.012883189348597113,
2019-03-05,0.8588482621349928,0.9106380961110754,0.9589405937263744,0.055149668470145796,
2019-03-06,0.9000775922910212,0.904440396162551,0.8588482621349928,-0.042377618536172945,
2019-03-07,0.930901017423696,0.9041749446728086,0.9000775922910212,0.0014796616748469216,
2019-03-08,0.9061286918658833,0.9074016299066409,0.930901017423696,0.031268991505409294,
2019-03-09,0.948927016919489,0.9046029485041597,0.9061286918658833,0.006580994625291048,0.00331631870024177
2019-03-10,0.7703195434687552,0.9170589772142075,0.948927016919489,0.04973576743884023,0.016388664932422494
2019-03-11,0.9233087075712472,0.8963061025471731,0.7703195434687552,-0.13484450207957877,-0.004715290985888346
2019-03-12,0.8161188355543149,0.8912158330964407,0.9233087075712472,0.01800660098503326,-0.010021443483761565
2019-03-13,0.9643535520985631,0.8851116292992011,0.8161188355543149,-0.08446036285554004,-0.01603326410081401
2019-03-14,0.9450102239232069,0.8942939092717069,0.9643535520985631,0.06204523509357884,-0.0073810393267094475
2019-03-15,0.9465765491846508,0.8963095102002085,0.9450102239232069,0.04310570999168506,-0.005690079542955766
2019-03-16,0.9302857491257107,0.902087775531461,0.9465765491846508,0.04484598233043502,-0.000223652727935199
2019-03-17,0.9081112459685083,0.899424737275207,0.9302857491257107,0.02710004604115146,-0.003457327213319309
2019-03-18,0.8597613927628904,0.9191092662037431,0.9081112459685083,0.006445243308832116,0.016726922127882245
2019-03-19,0.8015915135094485,0.9100310783739778,0.8597613927628904,-0.0391343915119714,0.008563923199738723
2019-03-20,0.9538066105173983,0.9079557466532826,0.8015915135094485,-0.09274682577383386,0.007380142782839605
2019-03-21,0.8426882449998156,0.9064490407131164,0.9538066105173983,0.0588312495910458,0.006921001996763455
2019-03-22,0.8706551723478595,0.8918316151526319,0.8426882449998156,-0.052558833167277386,-0.006745361311659751
2019-03-23,0.947081868137847,0.8809857041759473,0.8706551723478595,-0.024110162866545326,-0.01659623919694266
2019-03-24,0.8462427526126123,0.8833851497491098,0.947081868137847,0.05018253205224077,-0.01329874119535847
2019-03-25,0.9456592591289263,0.8745467935554103,0.8462427526126123,-0.049848124887490686,-0.0213406509376903
2019-03-26,0.9478460309030559,0.8868179173219869,0.9456592591289263,0.049226600674892484,-0.0087176520538526
2019-03-27,0.8470897151626702,0.9077114198067878,0.9478460309030559,0.043960018121141475,0.010811897074001018
2019-03-28,0.950613673104316,0.8924661490418266,0.8470897151626702,-0.05243882551699952,-0.005083827941434027
2019-03-29,0.9459660388134756,0.9078840673424695,0.950613673104316,0.04947241538032443,0.009492064708223375
2019-03-30,0.9316807995585313,0.9186427625518434,0.9459660388134756,0.04335710488634226,0.019130245815778744
2019-03-31,0.9204316858517493,0.9164426098976554,0.9316807995585313,0.028292979672342566,0.016003166904364714
2019-04-01,0.886747627953198,0.9270410289318177,0.9204316858517493,0.017220125159943978,0.025584345482569666
2019-04-02,0.9346654279506336,0.9186250816209994,0.886747627953198,-0.017297693138742187,0.016080874937764715
2019-04-03,0.9194717621079701,0.916742138342082,0.9346654279506336,0.029984248131605606,0.014084336367831018
2019-04-04,0.9087356077766658,0.9270824307628391,0.9194717621079701,0.016106210009555588,0.023876484300196035
2019-04-05,0.9183922591458171,0.9210998500017463,0.9087356077766658,0.00370714415686213,0.01733858841112999
2019-04-06,0.9005079579484497,0.9171607386206521,0.9183922591458171,0.012753306630853722,0.012966617231774486
2019-04-07,0.9066389951299306,0.9127074755334977,0.9005079579484497,-0.0041178925840057445,0.008336492623724727
2019-04-08,0.9648184380901756,0.9107370911446664,0.9066389951299306,0.001996134488673751,0.0061616368135432665
2019-04-09,0.9289068838234615,0.9218900640213775,0.9648184380901756,0.05964586340989575,0.017153573463348688
2019-04-10,0.9537856055918692,0.921067414860353,0.9289068838234615,0.018448064464691494,0.015505547225218099
2019-04-11,0.9551608045818794,0.92596939250091,0.9537856055918692,0.04231088963241181,0.01924907288562613
2019-04-12,0.923549045601078,0.9326015634730833,0.9551608045818794,0.03905135632150314,0.024298246052003418
2019-04-13,0.7947026539634616,0.9333382472524063,0.923549045601078,0.008799747557284632,0.023733451898636404
2019-04-14,0.7575704874652,0.9182232038259794,0.7947026539634616,-0.11503639174834024,0.00788795201801719
2019-04-15,0.8295844067216964,0.896927702731018,0.7575704874652,-0.14586835618928684,-0.013235546650262895
2019-04-16,0.8281848613599604,0.8776085553926638,0.8295844067216964,-0.0704977255193232,-0.0318274879258656
2019-04-17,0.9090887337466235,0.8632196950407349,0.8281848613599604,-0.06923305806077429,-0.044353362572360715
2019-04-18,0.6657437617118425,0.8568344276342713,0.9090887337466235,0.010026569626430892,-0.048965408287500845
2019-04-19,0.8230268672886382,0.8154891357956945,0.6657437617118425,-0.22879014401509656,-0.08722847976415794
2019-04-20,0.8667828011002608,0.8011288246082032,0.8230268672886382,-0.06714771366400896,-0.0980781170814856
2019-04-21,0.8198295620924452,0.8114259884848888,0.8667828011002608,-0.02419493172240106,-0.08510076564920857
2019-04-22,0.8895528920902268,0.8203201420030667,0.8198295620924452,-0.06945398372170286,-0.07418442672526801
2019-04-23,0.8908083733833038,0.8288870684842852,0.8895528920902268,0.002186978810999496,-0.0638008975352219
2019-04-24,0.8358856288954871,0.8378332844876201,0.8908083733833038,0.001956939411720038,-0.05363089789629415
2019-04-25,0.8850646205749122,0.827375698080315,0.8358856288954871,-0.04930668406831529,-0.062107076995543596
2019-04-26,0.9546333826178247,0.8587072493464678,0.8850646205749122,0.0019650212887146745,-0.029142053380713424
2019-04-27,0.8019541350866698,0.87750818010778,0.9546333826178247,0.0679489944164553,-0.009842523654932813
2019-04-28,0.8033602279316784,0.8682469421058385,0.8019541350866698,-0.07977493518077816,-0.017782524148986685
2019-04-29,0.9749221880994761,0.8658941800828719,0.8033602279316784,-0.07361531530637633,-0.018377000089654323
2019-04-30,0.8764714572315958,0.8780897937984788,0.9749221880994761,0.09650526524338987,-0.004902959170741413
2019-05-01,0.859066282537625,0.8760416629196633,0.8764714572315958,-0.0004801246704851936,-0.005251111182485018
2019-05-02,0.8225256997106686,0.8793531848685402,0.859066282537625,-0.016962587850603672,-0.0006305260085262157
2019-05-03,0.4997036820116215,0.8704190533165054,0.8225256997106686,-0.04976517973622796,-0.008020554726375164
2019-05-04,0.7811945656226631,0.8054290960870479,0.4997036820116215,-0.35859492809872995,-0.06895540079997306
2019-05-05,0.7836874509122601,0.8024634433064755,0.7811945656226631,-0.07285267641588822,-0.06796650669070306
2019-05-06,0.9507434162161003,0.7996530465894158,0.7836874509122601,-0.0658696308518395,-0.06685998034005494
2019-05-07,0.9381304643363534,0.7961989363203621,0.9507434162161003,0.0995118191764125,-0.06643047263533743
2019-05-08,0.8667781422175381,0.805007365906756,0.9381304643363534,0.08584915165645146,-0.05409771887434648
2019-05-09,0.9615783599813348,0.8061090601467437,0.8667781422175381,0.017764839400057464,-0.049136657838537746
2019-05-10,0.8670289098033481,0.825973725899696,0.9615783599813348,0.1114760079585917,-0.026102202453563508
2019-05-11,0.9364506872447358,0.878448758441371,0.8670289098033481,0.019818447640222336,0.027956851223429675
2019-05-12,0.8913618358815557,0.9006282043873816,0.9364506872447358,0.0898638956595148,0.05120207580563011
2019-05-13,0.9372007753799242,0.9160102593829951,0.8913618358815557,0.04584795128698538,0.0671617303968908
2019-05-14,0.8994428830379124,0.9140755964063986,0.9372007753799242,0.08693695340480523,0.06536532100094691
2019-05-15,0.9311165929965294,0.9085487990780499,0.8994428830379124,0.04444998121036958,0.05945115379436378
2019-05-16,0.9618043437057541,0.9177400063321913,0.9311165929965294,0.0727392849598254,0.06730464601718777
2019-05-17,0.9475325960033396,0.9177722897213941,0.9618043437057541,0.09897305292419034,0.06551850958370187
2019-05-18,0.8924806659701007,0.929272816321393,0.9475325960033396,0.08341984314655215,0.07460442322746327
2019-05-19,0.840013535538154,0.9229913847107308,0.8924806659701007,0.02081001630470447,0.06473958331963323
2019-05-20,0.9614718500043549,0.915655913233102,0.840013535538154,-0.032223336402225966,0.05358654222117446
2019-05-21,0.8911707112669373,0.9191232096080207,0.9614718500043549,0.08607867643383837,0.05346393122532205
2019-05-22,0.8845783262307472,0.9179414707835957,0.8911707112669373,0.013399499390604364,0.04902814810821273
2019-05-23,0.9348223248496682,0.9112931469599126,0.8845783262307472,0.006972933216396915,0.03963295500200866
2019-05-24,0.9317356705911761,0.9074385728376145,0.9348223248496682,0.055749800119772486,0.03345820460137754
2019-05-25,0.8298768897697494,0.9051818692073054,0.9317356705911761,0.049468144471424,0.028607961933502093
2019-05-26,0.9119681185614917,0.8962384726072553,0.8298768897697494,-0.05055104532316379,0.01841352455809234
2019-05-27,0.8233037634048118,0.9065176987534463,0.9119681185614917,0.03296235893712296,0.0277257667494279
2019-05-28,0.7922062817466639,0.8867794006677974,0.8233037634048118,-0.05641365049682834,0.0073697200450469425
2019-05-29,0.9137210678821415,0.872641625022044,0.7922062817466639,-0.08713933394880913,-0.006992970432012128
2019-05-30,0.9189205399451943,0.876804873829386,0.9137210678821415,0.03641548952724627,-0.0027868909590336483
2019-05-31,0.9383148632568364,0.8745331902716041,0.9189205399451943,0.04019999216651238,-0.0050082920952136635
