fecha_hora,precio_bolsa,demanda,generacion,volumen_embalses,aportes_hidricos,es_pandemia,anio,mes,oni,precio_lag24h,precio_lag168h,precio_media_24h,precio_media_7d,precio_media_30d,hora,hora_sin,hora_cos,dia_semana,dia_semana_sin,dia_semana_cos,dia_anio,dia_anio_sin,dia_anio_cos,volumen_embalses_delta_1d,volumen_embalses_delta_7d,volumen_embalses_media_7d,volumen_embalses_media_30d,volumen_embalses_vs_media30d,aportes_hidricos_delta_1d,aportes_hidricos_delta_7d,aportes_hidricos_media_7d,aportes_hidricos_media_30d,aportes_hidricos_vs_media30d,precio_std_24h,precio_std_7d,precio_rango_24h,ratio_volatilidad,demanda_lag24h,demanda_lag48h,demanda_lag72h,demanda_media_24h
2026-01-01 00:00:00,327.90985,8334369.68,8518585.3,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,190.85788,298.107235,271.5221294642857,278.6079628611111,0,0.0,1.0,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13755186910.119047,14123851863.055555,0.9604001466116655,4196564.120000005,-10223642.39,141951447.87291667,184741748.2088889,0.7171610565262867,20.374137626259472,67.60673012425774,56.40392000000003,0.3013625653660936,8983188.76,9040326.34,8784066.37,9687487.302083334
2026-01-01 01:00:00,307.90985,8268581.14,8457018.23,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,200.85788,297.67373833333335,271.6567075,278.60313105555554,1,0.25881904510252074,0.9659258262890683,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13753453263.095238,14122641476.11111,0.9604824581113143,4196564.120000005,-10223642.39,141890592.85869047,184521648.72244444,0.7180164942558553,20.843523789746218,67.5835155122339,56.40392000000003,0.30841135788464785,8615759.31,8706014.15,8466900.47,9683726.683750002
2026-01-01 02:00:00,296.32185,8148820.81,8331631.01,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,210.85788,297.2402416666667,271.7912855357143,278.59829925,2,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13751719616.071428,14121431089.166666,0.9605647837212561,4196564.120000005,-10223642.39,141829737.8444643,184301549.236,0.7188739751739457,21.29336291898804,67.56002324225429,56.40392000000003,0.3151769626045727,8380341.69,8415620.36,8238985.61,9682256.739166668
2026-01-01 03:00:00,296.32185,7994492.52,8176273.02,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,210.85788,296.80674500000003,271.9258635714286,278.59346744444446,3,0.7071067811865476,0.7071067811865476,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13749985969.047619,14120220702.222221,0.9606471234451194,4196564.120000005,-10223642.39,141768882.8302381,184081449.74955556,0.719733506609456,21.724869281351662,67.5362530245716,56.40392000000003,0.32167714832280586,8182549.15,8277441.1,8142956.55,9678302.907916667
2026-01-01 04:00:00,296.32185,7865140.3,8042190.81,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,210.85788,296.3732483333334,272.0604416071429,278.5886356388889,4,0.8660254037844386,0.5000000000000001,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13748252322.02381,14119010315.277779,0.9607294772865339,4196564.120000005,-10223642.39,141708027.8160119,183861350.2631111,0.7205950959263783,22.139114856966685,67.5122045655999,56.40392000000003,0.32792759471296284,8158977.59,8320949.85,8202724.75,9671554.06375
2026-01-01 05:00:00,296.32185,7757108.82,7928634.55,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,200.85788,295.93975166666667,272.1950196428572,278.5838038333334,5,0.9659258262890683,0.25881904510252074,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13746518675.0,14117799928.333334,0.960811845249131,4196564.120000005,-10223642.39,141647172.8017857,183641250.77666667,0.7214587505240082,22.53705145918988,67.48787756789584,56.40392000000003,0.3339422170524861,8241805.8,8467022.08,8420250.51,9662170.052083334
2026-01-01 06:00:00,296.32185,7362896.72,7501128.23,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,190.85788,294.42288,272.3295976785714,278.55119425,6,1.0,6.123233995736766e-17,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13744785027.97619,14116589541.38889,0.960894227336543,4196564.120000005,-10223642.39,141586317.78755954,183421151.2902222,0.7223244778371574,22.93219526393759,67.46327173013937,56.40392000000003,0.3399211849029341,8196045.92,8564823.61,8547905.84,9646804.315
2026-01-01 07:00:00,296.32185,7208279.14,7327605.35,13564549400.0,132489587.33,0,2026,1,-0.4,271.30327,121.86188,293.98938333333336,272.4641757142857,278.51858466666664,7,0.9659258262890683,-0.25881904510252063,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13743051380.952381,14115379154.444445,0.9609766235524033,4196564.120000005,-10223642.39,141525462.7733333,183201051.80377778,0.7231922853363658,23.2787324668687,67.43838674711446,56.40392000000003,0.3451851918427563,8486540.94,9049051.24,8994523.88,9623366.385833332
2026-01-01 08:00:00,272.90985,7290792.12,7391857.86,13564549400.0,132489587.33,0,2026,1,-0.4,270.30327,115.41988,293.51421999999997,272.6350632738095,278.48458619444443,8,0.8660254037844387,-0.4999999999999998,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13741317733.928572,14114168767.5,0.9610590339003469,4196564.120000005,-10223642.39,141464607.75910717,182980952.31733334,0.7240621805281182,23.653703477096137,67.3960551978852,57.40392000000003,0.3509656968444996,8847365.76,9495210.88,9411006.88,9596372.839166667
2026-01-01 09:00:00,104.99185,7381988.16,7468771.46,13564549400.0,132489587.33,0,2026,1,-0.4,270.30327,115.41988,293.0390566666667,272.80595083333327,278.4505877222222,9,0.7071067811865476,-0.7071067811865475,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13739584086.904762,14112958380.555555,0.9611414583840098,4196564.120000005,-10223642.39,141403752.74488094,182760852.8308889,0.7249341709550591,24.013013089859285,67.35326087556682,57.40392000000003,0.35652339289440826,9102261.86,9746829.83,9710030.85,9569515.840416666
